date, weight 
1991-01-01, 1.79605e-07
1991-01-02, 1.73496e-07
1991-01-03, 1.67547e-07
1991-01-04, 1.62093e-07
1991-01-05, 1.65445e-07
1991-01-06, 1.64386e-07
1991-01-07, 1.48128e-07
1991-01-08, 1.43171e-07
1991-01-09, 1.61906e-07
1991-01-10, 1.79184e-07
1991-01-11, 1.39033e-07
1991-01-12, 1.29252e-07
1991-01-13, 1.24721e-07
1991-01-14, 1.21117e-07
1991-01-15, 1.17852e-07
1991-01-16, 1.14793e-07
1991-01-17, 1.11893e-07
1991-01-18, 1.09130e-07
1991-01-19, 1.06490e-07
1991-01-20, 1.03963e-07
1991-01-21, 1.01544e-07
1991-01-22, 9.92210e-08
1991-01-23, 9.69911e-08
1991-01-24, 9.48550e-08
1991-01-25, 9.28035e-08
1991-01-26, 9.08325e-08
1991-01-27, 8.89385e-08
1991-01-28, 8.71160e-08
1991-01-29, 8.53620e-08
1991-01-30, 8.36736e-08
1991-01-31, 8.20472e-08
1991-02-01, 8.04796e-08
1991-02-02, 7.89680e-08
1991-02-03, 7.74946e-08
1991-02-04, 3.86401e-07
1991-02-05, 6.01448e-07
1991-02-06, 1.61814e-07
1991-02-07, 1.03216e-07
1991-02-08, 5.06629e-07
1991-02-09, 2.33165e-06
1991-02-10, 1.62554e-06
1991-02-11, 5.21835e-07
1991-02-12, 3.68458e-07
1991-02-13, 1.64304e-07
1991-02-14, 1.17153e-07
1991-02-15, 9.73579e-08
1991-02-16, 8.64857e-08
1991-02-17, 7.97750e-08
1991-02-18, 8.05824e-08
1991-02-19, 1.59410e-07
1991-02-20, 9.58649e-07
1991-02-21, 3.62189e-06
1991-02-22, 9.24446e-06
1991-02-23, 7.68847e-06
1991-02-24, 7.21419e-06
1991-02-25, 1.57183e-05
1991-02-26, 1.12147e-05
1991-02-27, 8.44876e-06
1991-02-28, 7.99620e-06
1991-03-01, 1.83887e-06
1991-03-02, 9.31956e-07
1991-03-03, 9.76738e-07
1991-03-04, 1.12012e-06
1991-03-05, 3.18858e-06
1991-03-06, 1.35332e-05
1991-03-07, 3.61328e-05
1991-03-08, 3.67749e-05
1991-03-09, 1.10464e-05
1991-03-10, 4.27575e-06
1991-03-11, 2.95453e-06
1991-03-12, 5.37041e-06
1991-03-13, 1.04711e-05
1991-03-14, 2.86876e-05
1991-03-15, 7.13913e-05
1991-03-16, 7.87850e-05
1991-03-17, 5.15659e-05
1991-03-18, 2.26385e-05
1991-03-19, 1.65442e-05
1991-03-20, 1.58657e-05
1991-03-21, 8.01030e-06
1991-03-22, 1.58119e-05
1991-03-23, 4.88187e-05
1991-03-24, 1.06247e-04
1991-03-25, 1.97303e-04
1991-03-26, 2.47538e-04
1991-03-27, 3.12948e-04
1991-03-28, 3.18523e-04
1991-03-29, 3.37742e-04
1991-03-30, 3.24057e-04
1991-03-31, 2.07888e-04
1991-04-01, 1.46021e-04
1991-04-02, 1.43123e-04
1991-04-03, 2.18449e-04
1991-04-04, 3.03396e-04
1991-04-05, 3.26593e-04
1991-04-06, 3.86276e-04
1991-04-07, 4.30899e-04
1991-04-08, 5.63445e-04
1991-04-09, 5.34650e-04
1991-04-10, 5.35743e-04
1991-04-11, 7.38555e-04
1991-04-12, 9.23102e-04
1991-04-13, 9.48744e-04
1991-04-14, 7.64220e-04
1991-04-15, 8.42582e-04
1991-04-16, 9.60366e-04
1991-04-17, 0.00139
1991-04-18, 0.00117
1991-04-19, 6.61252e-04
1991-04-20, 7.88759e-04
1991-04-21, 0.00102
1991-04-22, 9.60147e-04
1991-04-23, 8.11980e-04
1991-04-24, 5.80642e-04
1991-04-25, 5.23963e-04
1991-04-26, 4.45425e-04
1991-04-27, 4.47100e-04
1991-04-28, 4.11146e-04
1991-04-29, 4.31936e-04
1991-04-30, 6.26955e-04
1991-05-01, 6.02573e-04
1991-05-02, 4.50830e-04
1991-05-03, 2.80544e-04
1991-05-04, 2.17407e-04
1991-05-05, 2.08002e-04
1991-05-06, 2.35812e-04
1991-05-07, 4.47730e-04
1991-05-08, 7.94593e-04
1991-05-09, 8.19548e-04
1991-05-10, 5.27332e-04
1991-05-11, 3.17573e-04
1991-05-12, 3.02501e-04
1991-05-13, 3.12518e-04
1991-05-14, 4.36909e-04
1991-05-15, 5.07401e-04
1991-05-16, 5.00144e-04
1991-05-17, 4.24783e-04
1991-05-18, 2.99293e-04
1991-05-19, 3.46049e-04
1991-05-20, 4.13931e-04
1991-05-21, 3.92791e-04
1991-05-22, 3.37321e-04
1991-05-23, 3.37107e-04
1991-05-24, 3.21505e-04
1991-05-25, 2.02716e-04
1991-05-26, 1.34880e-04
1991-05-27, 1.40684e-04
1991-05-28, 1.47894e-04
1991-05-29, 1.13617e-04
1991-05-30, 8.14683e-05
1991-05-31, 6.67579e-05
1991-06-01, 9.11250e-05
1991-06-02, 8.96256e-05
1991-06-03, 4.97113e-05
1991-06-04, 1.07759e-04
1991-06-05, 1.54049e-04
1991-06-06, 1.34635e-04
1991-06-07, 1.16404e-04
1991-06-08, 1.42664e-04
1991-06-09, 1.03602e-04
1991-06-10, 8.27215e-05
1991-06-11, 3.69084e-05
1991-06-12, 5.85794e-05
1991-06-13, 2.02489e-04
1991-06-14, 1.43803e-04
1991-06-15, 1.70306e-04
1991-06-16, 4.13904e-04
1991-06-17, 2.17448e-04
1991-06-18, 1.25472e-04
1991-06-19, 1.78323e-04
1991-06-20, 2.07180e-04
1991-06-21, 2.24085e-04
1991-06-22, 1.50618e-04
1991-06-23, 9.32696e-05
1991-06-24, 8.15086e-05
1991-06-25, 9.75877e-05
1991-06-26, 1.49538e-04
1991-06-27, 1.25335e-04
1991-06-28, 1.37227e-04
1991-06-29, 9.96824e-05
1991-06-30, 6.63196e-05
1991-07-01, 4.46722e-05
1991-07-02, 5.04302e-05
1991-07-03, 6.96083e-05
1991-07-04, 7.66188e-05
1991-07-05, 1.57337e-04
1991-07-06, 1.51152e-04
1991-07-07, 1.41321e-04
1991-07-08, 1.27164e-04
1991-07-09, 1.22476e-04
1991-07-10, 1.41010e-04
1991-07-11, 1.00207e-04
1991-07-12, 1.84430e-04
1991-07-13, 2.67295e-04
1991-07-14, 1.03444e-04
1991-07-15, 1.74872e-04
1991-07-16, 2.40806e-04
1991-07-17, 1.42385e-04
1991-07-18, 1.95778e-04
1991-07-19, 1.80161e-04
1991-07-20, 1.65228e-04
1991-07-21, 2.67804e-04
1991-07-22, 2.51417e-04
1991-07-23, 1.19270e-04
1991-07-24, 1.22823e-04
1991-07-25, 1.03280e-04
1991-07-26, 8.17344e-05
1991-07-27, 1.02658e-04
1991-07-28, 1.16247e-04
1991-07-29, 7.63297e-05
