date, weight 
1991-01-01, 9.44245e-08
1991-01-02, 9.19104e-08
1991-01-03, 8.95061e-08
1991-01-04, 8.72105e-08
1991-01-05, 8.50153e-08
1991-01-06, 8.29177e-08
1991-01-07, 8.09063e-08
1991-01-08, 7.89761e-08
1991-01-09, 7.71285e-08
1991-01-10, 7.53581e-08
1991-01-11, 7.36592e-08
1991-01-12, 7.20275e-08
1991-01-13, 7.04595e-08
1991-01-14, 6.89520e-08
1991-01-15, 6.75020e-08
1991-01-16, 6.61067e-08
1991-01-17, 6.47634e-08
1991-01-18, 6.34696e-08
1991-01-19, 6.22230e-08
1991-01-20, 6.10213e-08
1991-01-21, 5.98624e-08
1991-01-22, 5.87426e-08
1991-01-23, 5.76620e-08
1991-01-24, 5.66204e-08
1991-01-25, 5.56143e-08
1991-01-26, 5.46423e-08
1991-01-27, 5.37028e-08
1991-01-28, 5.27945e-08
1991-01-29, 5.19159e-08
1991-01-30, 5.10658e-08
1991-01-31, 5.02430e-08
1991-02-01, 4.94464e-08
1991-02-02, 4.86750e-08
1991-02-03, 4.79275e-08
1991-02-04, 4.72032e-08
1991-02-05, 4.65010e-08
1991-02-06, 4.58201e-08
1991-02-07, 4.51596e-08
1991-02-08, 4.45162e-08
1991-02-09, 4.38875e-08
1991-02-10, 4.32798e-08
1991-02-11, 4.26937e-08
1991-02-12, 4.21245e-08
1991-02-13, 4.15714e-08
1991-02-14, 4.10338e-08
1991-02-15, 4.05112e-08
1991-02-16, 4.00031e-08
1991-02-17, 3.95088e-08
1991-02-18, 3.90279e-08
1991-02-19, 3.85583e-08
1991-02-20, 2.11532e-07
1991-02-21, 3.26237e-07
1991-02-22, 8.18576e-08
1991-02-23, 5.16794e-08
1991-02-24, 4.36400e-08
1991-02-25, 4.01590e-08
1991-02-26, 4.02499e-08
1991-02-27, 3.98281e-08
1991-02-28, 3.64016e-08
1991-03-01, 3.55528e-08
1991-03-02, 3.49979e-08
1991-03-03, 3.45051e-08
1991-03-04, 3.40473e-08
1991-03-05, 5.05925e-08
1991-03-06, 6.32150e-08
1991-03-07, 3.74707e-08
1991-03-08, 2.08572e-07
1991-03-09, 2.99925e-07
1991-03-10, 6.63493e-08
1991-03-11, 7.27646e-08
1991-03-12, 7.86726e-08
1991-03-13, 4.14489e-08
1991-03-14, 7.74551e-07
1991-03-15, 5.25604e-06
1991-03-16, 1.74586e-05
1991-03-17, 1.33234e-05
1991-03-18, 1.77295e-05
1991-03-19, 2.00137e-05
1991-03-20, 4.92486e-06
1991-03-21, 2.31239e-06
1991-03-22, 2.85741e-06
1991-03-23, 3.53439e-06
