date, Precipitation Correction $W$, Rain-Snow Partitioning $V$, Percolation $U$, Potential Melt $T$, Convolution (dlyd runoff) $S$, Convolution (srfc runoff) $R$, Snow Balance $Q$, Baseflow $P$, Evaporation $O$, Quickflow $N$, Infiltration $M$
1991-01-01, 0.00406, 0.01147, 0.23922, 0.00719, 0.00000, 0.00001, 0.00181, 0.06603, 0.15928, 0.42847, 0.08246
1991-01-02, 0.00402, 0.01120, 0.24190, 0.00699, 0.00000, 0.00001, 0.00174, 0.06648, 0.15903, 0.42644, 0.08219
1991-01-03, 0.00397, 0.01095, 0.24459, 0.00679, 0.00000, 0.00001, 0.00168, 0.06691, 0.15880, 0.42439, 0.08191
1991-01-04, 0.00393, 0.01070, 0.24728, 0.00661, 0.00000, 0.00001, 0.00162, 0.06732, 0.15856, 0.42234, 0.08164
1991-01-05, 0.00388, 0.01046, 0.24996, 0.00643, 0.00000, 0.00001, 0.00157, 0.06772, 0.15830, 0.42028, 0.08138
1991-01-06, 0.00384, 0.01023, 0.25261, 0.00626, 0.00000, 0.00002, 0.00152, 0.06811, 0.15803, 0.41825, 0.08112
1991-01-07, 0.00380, 0.01001, 0.25527, 0.00608, 0.00000, 0.00001, 0.00148, 0.06848, 0.15777, 0.41626, 0.08085
1991-01-08, 0.00376, 0.00979, 0.25794, 0.00590, 0.00000, 0.00000, 0.00142, 0.06884, 0.15751, 0.41428, 0.08057
1991-01-09, 0.00372, 0.00957, 0.26058, 0.00574, 0.00000, 0.00000, 0.00137, 0.06918, 0.15724, 0.41231, 0.08029
1991-01-10, 0.00368, 0.00937, 0.26319, 0.00559, 0.00000, 0.00000, 0.00133, 0.06951, 0.15694, 0.41035, 0.08004
1991-01-11, 0.00364, 0.00917, 0.26580, 0.00544, 0.00000, 0.00000, 0.00129, 0.06983, 0.15665, 0.40840, 0.07978
1991-01-12, 0.00361, 0.00898, 0.26839, 0.00530, 0.00000, 0.00000, 0.00125, 0.07013, 0.15635, 0.40647, 0.07953
1991-01-13, 0.00357, 0.00880, 0.27097, 0.00516, 0.00000, 0.00000, 0.00121, 0.07043, 0.15604, 0.40454, 0.07928
1991-01-14, 0.00354, 0.00862, 0.27353, 0.00502, 0.00000, 0.00000, 0.00117, 0.07071, 0.15574, 0.40264, 0.07903
1991-01-15, 0.00350, 0.00845, 0.27608, 0.00490, 0.00000, 0.00000, 0.00114, 0.07097, 0.15543, 0.40074, 0.07879
1991-01-16, 0.00347, 0.00828, 0.27861, 0.00477, 0.00000, 0.00000, 0.00111, 0.07123, 0.15512, 0.39886, 0.07855
1991-01-17, 0.00344, 0.00812, 0.28113, 0.00465, 0.00000, 0.00000, 0.00108, 0.07148, 0.15481, 0.39700, 0.07831
1991-01-18, 0.00340, 0.00796, 0.28362, 0.00453, 0.00000, 0.00000, 0.00105, 0.07171, 0.15450, 0.39515, 0.07807
1991-01-19, 0.00337, 0.00780, 0.28611, 0.00442, 0.00000, 0.00000, 0.00102, 0.07194, 0.15418, 0.39332, 0.07784
1991-01-20, 0.00334, 0.00765, 0.28857, 0.00431, 0.00000, 0.00000, 0.00099, 0.07215, 0.15387, 0.39150, 0.07761
1991-01-21, 0.00331, 0.00751, 0.29101, 0.00421, 0.00000, 0.00000, 0.00097, 0.07235, 0.15356, 0.38970, 0.07739
1991-01-22, 0.00328, 0.00736, 0.29344, 0.00410, 0.00000, 0.00000, 0.00094, 0.07255, 0.15326, 0.38789, 0.07717
1991-01-23, 0.00325, 0.00722, 0.29585, 0.00400, 0.00000, 0.00000, 0.00092, 0.07274, 0.15297, 0.38610, 0.07695
1991-01-24, 0.00322, 0.00709, 0.29823, 0.00391, 0.00000, 0.00000, 0.00089, 0.07292, 0.15266, 0.38436, 0.07673
1991-01-25, 0.00319, 0.00695, 0.30059, 0.00382, 0.00000, 0.00000, 0.00087, 0.07308, 0.15235, 0.38263, 0.07652
1991-01-26, 0.00316, 0.00682, 0.30294, 0.00372, 0.00000, 0.00000, 0.00085, 0.07324, 0.15204, 0.38092, 0.07631
1991-01-27, 0.00314, 0.00670, 0.30526, 0.00364, 0.00000, 0.00000, 0.00083, 0.07339, 0.15173, 0.37922, 0.07610
