date, weight 
1991-01-01, 1.08436e-07
1991-01-02, 1.05337e-07
1991-01-03, 1.02379e-07
1991-01-04, 9.95605e-08
1991-01-05, 9.68716e-08
1991-01-06, 9.43137e-08
1991-01-07, 9.18595e-08
1991-01-08, 8.95019e-08
1991-01-09, 8.72544e-08
1991-01-10, 8.51131e-08
1991-01-11, 8.30660e-08
1991-01-12, 8.11033e-08
1991-01-13, 7.92205e-08
1991-01-14, 7.74147e-08
1991-01-15, 7.56817e-08
1991-01-16, 7.40172e-08
1991-01-17, 7.24177e-08
1991-01-18, 7.08799e-08
1991-01-19, 6.94007e-08
1991-01-20, 6.79773e-08
1991-01-21, 6.66069e-08
1991-01-22, 6.52845e-08
1991-01-23, 6.40104e-08
1991-01-24, 6.27845e-08
1991-01-25, 6.16023e-08
1991-01-26, 6.04618e-08
1991-01-27, 5.93610e-08
1991-01-28, 5.82982e-08
1991-01-29, 5.72716e-08
1991-01-30, 5.62797e-08
1991-01-31, 5.53210e-08
1991-02-01, 5.43940e-08
1991-02-02, 5.34974e-08
1991-02-03, 5.26297e-08
1991-02-04, 5.17896e-08
1991-02-05, 5.09762e-08
1991-02-06, 5.01886e-08
1991-02-07, 4.94852e-08
1991-02-08, 4.87776e-08
1991-02-09, 4.79564e-08
1991-02-10, 4.72523e-08
1991-02-11, 4.65788e-08
1991-02-12, 4.59251e-08
1991-02-13, 4.52905e-08
1991-02-14, 4.46744e-08
1991-02-15, 4.40761e-08
1991-02-16, 4.34948e-08
1991-02-17, 4.29299e-08
1991-02-18, 4.23809e-08
1991-02-19, 4.18516e-08
1991-02-20, 1.42881e-07
1991-02-21, 2.01739e-07
1991-02-22, 6.18758e-08
1991-02-23, 4.70218e-08
1991-02-24, 4.29948e-08
1991-02-25, 4.10256e-08
1991-02-26, 4.25497e-08
1991-02-27, 4.27331e-08
1991-02-28, 3.85183e-08
1991-03-01, 3.77239e-08
1991-03-02, 3.72237e-08
1991-03-03, 3.67593e-08
1991-03-04, 3.63155e-08
1991-03-05, 4.67301e-08
1991-03-06, 5.48234e-08
1991-03-07, 3.77905e-08
1991-03-08, 9.72503e-08
1991-03-09, 1.28949e-07
1991-03-10, 4.54396e-08
1991-03-11, 6.39080e-08
