date, weight 
1991-01-01, 7.20713e-07
1991-01-02, 2.02046e-05
1991-01-03, 4.07933e-05
1991-01-04, 2.06262e-05
1991-01-05, 7.93764e-06
1991-01-06, 3.34821e-06
1991-01-07, 1.83155e-06
1991-01-08, 1.16722e-06
1991-01-09, 8.17760e-07
1991-01-10, 6.13555e-07
1991-01-11, 4.86936e-07
1991-01-12, 5.29714e-07
1991-01-13, 5.52588e-07
1991-01-14, 3.26621e-07
1991-01-15, 3.21979e-07
1991-01-16, 3.55190e-07
1991-01-17, 2.78873e-07
1991-01-18, 2.11496e-07
1991-01-19, 1.79804e-07
1991-01-20, 1.71432e-07
1991-01-21, 1.71535e-06
1991-01-22, 2.63339e-06
1991-01-23, 1.31241e-06
1991-01-24, 1.02168e-06
1991-01-25, 4.12057e-07
1991-01-26, 2.58700e-07
1991-01-27, 1.86828e-07
1991-01-28, 1.03530e-06
1991-01-29, 1.95973e-06
1991-01-30, 8.10593e-07
1991-01-31, 3.28028e-07
1991-02-01, 2.12178e-06
1991-02-02, 9.19929e-06
1991-02-03, 9.95429e-06
1991-02-04, 4.26782e-06
1991-02-05, 1.57957e-06
1991-02-06, 8.04645e-07
1991-02-07, 8.78455e-07
1991-02-08, 1.73482e-06
1991-02-09, 1.84978e-06
1991-02-10, 4.13001e-06
1991-02-11, 1.12795e-05
1991-02-12, 8.60118e-06
1991-02-13, 2.29189e-06
1991-02-14, 1.09535e-06
1991-02-15, 6.57097e-07
1991-02-16, 5.47025e-07
1991-02-17, 9.76611e-07
1991-02-18, 1.20195e-06
1991-02-19, 4.94738e-07
1991-02-20, 6.03382e-07
1991-02-21, 9.75951e-07
1991-02-22, 1.64298e-05
1991-02-23, 2.55379e-05
1991-02-24, 8.23972e-06
1991-02-25, 3.92056e-06
1991-02-26, 6.91999e-06
1991-02-27, 1.71343e-05
1991-02-28, 1.75696e-05
1991-03-01, 8.79762e-06
1991-03-02, 3.59880e-06
1991-03-03, 2.90535e-06
1991-03-04, 5.52525e-06
1991-03-05, 9.90852e-06
1991-03-06, 9.54024e-06
1991-03-07, 6.43311e-06
1991-03-08, 2.84735e-06
1991-03-09, 3.01074e-06
1991-03-10, 1.56631e-05
1991-03-11, 3.11810e-05
1991-03-12, 4.90644e-05
1991-03-13, 5.95411e-05
1991-03-14, 6.54445e-05
1991-03-15, 1.08233e-04
1991-03-16, 1.19038e-04
1991-03-17, 1.11320e-04
1991-03-18, 1.13681e-04
