date, weight 
1991-01-01, 8.05154e-06
1991-01-02, 3.59172e-06
1991-01-03, 2.10540e-06
1991-01-04, 1.42991e-06
1991-01-05, 1.34004e-06
1991-01-06, 3.51648e-06
1991-01-07, 4.31018e-06
1991-01-08, 4.02600e-06
1991-01-09, 7.13596e-06
1991-01-10, 7.44455e-06
1991-01-11, 3.21324e-06
1991-01-12, 1.15213e-06
1991-01-13, 1.11027e-06
1991-01-14, 1.17314e-06
1991-01-15, 5.15906e-07
1991-01-16, 3.82343e-07
1991-01-17, 3.18688e-07
1991-01-18, 2.78044e-07
1991-01-19, 6.48286e-07
1991-01-20, 3.89116e-05
1991-01-21, 5.39855e-05
1991-01-22, 1.27257e-05
1991-01-23, 6.98573e-06
1991-01-24, 2.94612e-06
1991-01-25, 2.73342e-06
1991-01-26, 5.75618e-06
1991-01-27, 6.20806e-06
1991-01-28, 1.81556e-06
1991-01-29, 9.31914e-07
1991-01-30, 6.32210e-07
1991-01-31, 4.87967e-07
1991-02-01, 2.89274e-05
1991-02-02, 1.66844e-04
1991-02-03, 1.52381e-04
1991-02-04, 1.46811e-04
1991-02-05, 1.12126e-04
1991-02-06, 3.01201e-05
1991-02-07, 1.62213e-05
1991-02-08, 1.13633e-05
1991-02-09, 6.36979e-06
1991-02-10, 6.09913e-06
1991-02-11, 5.92572e-06
1991-02-12, 3.08933e-06
1991-02-13, 1.43939e-05
1991-02-14, 2.27308e-05
1991-02-15, 1.06610e-05
1991-02-16, 1.12097e-05
1991-02-17, 7.02780e-06
1991-02-18, 9.08507e-06
1991-02-19, 3.98541e-06
1991-02-20, 2.39582e-06
1991-02-21, 1.48108e-06
1991-02-22, 1.54673e-06
1991-02-23, 5.16955e-06
1991-02-24, 6.61484e-06
1991-02-25, 1.74472e-06
1991-02-26, 1.78569e-06
1991-02-27, 1.49832e-05
1991-02-28, 1.78498e-04
1991-03-01, 2.88610e-04
1991-03-02, 1.79803e-04
1991-03-03, 1.84343e-04
1991-03-04, 8.83953e-05
1991-03-05, 1.21548e-04
1991-03-06, 1.52176e-04
1991-03-07, 1.10117e-04
1991-03-08, 1.16837e-04
1991-03-09, 6.87279e-05
1991-03-10, 4.42481e-05
1991-03-11, 6.53832e-05
1991-03-12, 5.08548e-05
1991-03-13, 3.97503e-05
1991-03-14, 1.10076e-04
1991-03-15, 2.52173e-04
1991-03-16, 3.15729e-04
1991-03-17, 2.28106e-04
1991-03-18, 1.58224e-04
1991-03-19, 9.10821e-05
1991-03-20, 5.94711e-05
1991-03-21, 5.87182e-05
1991-03-22, 7.44099e-05
1991-03-23, 1.92283e-04
1991-03-24, 3.27383e-04
1991-03-25, 2.54646e-04
1991-03-26, 2.66500e-04
1991-03-27, 5.17009e-04
1991-03-28, 7.10405e-04
1991-03-29, 4.41588e-04
