date, Precipitation Correction $W$, Rain-Snow Partitioning $V$, Percolation $U$, Potential Melt $T$, Convolution (dlyd runoff) $S$, Convolution (srfc runoff) $R$, Snow Balance $Q$, Baseflow $P$, Evaporation $O$, Quickflow $N$, Infiltration $M$
1991-01-01, 0.00482, 0.00560, 0.22749, 0.02813, 0.00007, 0.00004, 0.01106, 0.05745, 0.15946, 0.42588, 0.07999
1991-01-02, 0.00515, 0.01820, 0.22912, 0.02234, 0.00008, 0.00015, 0.01618, 0.05758, 0.15760, 0.41452, 0.07907
1991-01-03, 0.00517, 0.02015, 0.23213, 0.01880, 0.00007, 0.00040, 0.01610, 0.05822, 0.15720, 0.41315, 0.07862
1991-01-04, 0.00579, 0.01687, 0.23182, 0.01724, 0.00007, 0.00022, 0.02403, 0.05785, 0.15501, 0.41360, 0.07751
1991-01-05, 0.00452, 0.00934, 0.23231, 0.02649, 0.00011, 0.00011, 0.01990, 0.05707, 0.15364, 0.41848, 0.07804
1991-01-06, 0.00427, 0.00721, 0.23285, 0.03296, 0.00019, 0.00010, 0.02050, 0.05724, 0.15132, 0.41638, 0.07698
1991-01-07, 0.00417, 0.00628, 0.23511, 0.03526, 0.00026, 0.00008, 0.02196, 0.05786, 0.15026, 0.41241, 0.07636
1991-01-08, 0.00410, 0.00550, 0.23413, 0.04913, 0.00027, 0.00006, 0.02265, 0.05731, 0.14701, 0.40442, 0.07541
1991-01-09, 0.00424, 0.00510, 0.23351, 0.03993, 0.00025, 0.00006, 0.02163, 0.05613, 0.14467, 0.41603, 0.07845
1991-01-10, 0.00436, 0.00475, 0.23900, 0.03349, 0.00022, 0.00007, 0.01278, 0.05758, 0.14584, 0.42323, 0.07868
1991-01-11, 0.00444, 0.00446, 0.24240, 0.03408, 0.00026, 0.00010, 0.01119, 0.05848, 0.14578, 0.42059, 0.07823
1991-01-12, 0.00441, 0.00843, 0.24329, 0.03466, 0.00037, 0.00025, 0.01370, 0.05833, 0.14491, 0.41335, 0.07829
