date, Precipitation Correction $W$, Rain-Snow Partitioning $V$, Percolation $U$, Potential Melt $T$, Convolution (dlyd runoff) $S$, Convolution (srfc runoff) $R$, Snow Balance $Q$, Baseflow $P$, Evaporation $O$, Quickflow $N$, Infiltration $M$
1991-01-01, 0.00489, 0.00340, 0.22544, 0.02232, 0.00010, 0.00005, 0.00591, 0.05541, 0.16595, 0.43631, 0.08022
1991-01-02, 0.00481, 0.00506, 0.22862, 0.01993, 0.00013, 0.00016, 0.00626, 0.05591, 0.16564, 0.43311, 0.08038
1991-01-03, 0.00471, 0.00749, 0.23072, 0.01790, 0.00011, 0.00038, 0.00781, 0.05626, 0.16444, 0.43030, 0.07987
1991-01-04, 0.00534, 0.01542, 0.22524, 0.01641, 0.00010, 0.00022, 0.02088, 0.05499, 0.15756, 0.42693, 0.07691
1991-01-05, 0.00460, 0.00771, 0.22750, 0.02535, 0.00018, 0.00017, 0.01793, 0.05511, 0.15702, 0.42713, 0.07729
1991-01-06, 0.00423, 0.00383, 0.23135, 0.03064, 0.00033, 0.00019, 0.01433, 0.05589, 0.15729, 0.42456, 0.07737
1991-01-07, 0.00426, 0.00370, 0.23633, 0.02748, 0.00044, 0.00014, 0.01378, 0.05703, 0.15825, 0.42134, 0.07727
1991-01-08, 0.00433, 0.00356, 0.23403, 0.03734, 0.00046, 0.00009, 0.01389, 0.05590, 0.15383, 0.41961, 0.07695
1991-01-09, 0.00443, 0.00315, 0.23168, 0.03693, 0.00040, 0.00007, 0.01630, 0.05471, 0.15021, 0.42348, 0.07865
1991-01-10, 0.00484, 0.00298, 0.23675, 0.03265, 0.00032, 0.00008, 0.00897, 0.05600, 0.15100, 0.42787, 0.07853
1991-01-11, 0.00491, 0.00287, 0.24015, 0.03309, 0.00033, 0.00010, 0.00810, 0.05669, 0.15104, 0.42432, 0.07841
1991-01-12, 0.00518, 0.00914, 0.23892, 0.03395, 0.00043, 0.00022, 0.01285, 0.05597, 0.14877, 0.41671, 0.07786
