date, weight 
1991-01-01, 6.39744e-06
1991-01-02, 2.84044e-06
1991-01-03, 1.67937e-06
1991-01-04, 1.12542e-06
1991-01-05, 9.82834e-07
1991-01-06, 8.48989e-07
1991-01-07, 5.54384e-07
1991-01-08, 1.98299e-06
1991-01-09, 3.50440e-05
1991-01-10, 4.57368e-05
1991-01-11, 1.51389e-05
1991-01-12, 4.36354e-06
1991-01-13, 2.35635e-06
1991-01-14, 1.53004e-06
1991-01-15, 1.00920e-06
1991-01-16, 7.51358e-07
1991-01-17, 5.93354e-07
1991-01-18, 4.87835e-07
1991-01-19, 4.15147e-07
1991-01-20, 2.22893e-06
1991-01-21, 3.45936e-06
1991-01-22, 8.21300e-07
1991-01-23, 4.50004e-07
1991-01-24, 3.31670e-07
1991-01-25, 3.11563e-07
1991-01-26, 3.83520e-07
1991-01-27, 3.46027e-07
1991-01-28, 2.17704e-07
1991-01-29, 1.88262e-07
1991-01-30, 1.72218e-07
1991-01-31, 1.60451e-07
1991-02-01, 1.72261e-05
1991-02-02, 1.01890e-04
1991-02-03, 1.50535e-04
1991-02-04, 8.53269e-05
1991-02-05, 3.52161e-05
1991-02-06, 2.04638e-05
1991-02-07, 1.49955e-05
1991-02-08, 2.08654e-05
1991-02-09, 2.07436e-05
1991-02-10, 1.23886e-05
1991-02-11, 5.08113e-06
1991-02-12, 3.12057e-06
1991-02-13, 4.82070e-06
1991-02-14, 6.05520e-06
1991-02-15, 2.13175e-06
1991-02-16, 1.38427e-06
1991-02-17, 3.10800e-06
1991-02-18, 4.42045e-06
1991-02-19, 2.16577e-06
1991-02-20, 1.66170e-06
1991-02-21, 8.64991e-07
1991-02-22, 6.31814e-07
1991-02-23, 1.66063e-06
1991-02-24, 2.12350e-06
1991-02-25, 7.79298e-07
1991-02-26, 6.78004e-07
1991-02-27, 4.13751e-06
1991-02-28, 9.36593e-05
1991-03-01, 3.17455e-04
1991-03-02, 2.44639e-04
1991-03-03, 2.26442e-04
1991-03-04, 1.14783e-04
1991-03-05, 1.87811e-04
1991-03-06, 2.79961e-04
1991-03-07, 1.90900e-04
1991-03-08, 1.42992e-04
1991-03-09, 7.41191e-05
1991-03-10, 5.41416e-05
1991-03-11, 1.29019e-04
1991-03-12, 1.17749e-04
1991-03-13, 3.84678e-05
1991-03-14, 5.60731e-05
1991-03-15, 1.63017e-04
1991-03-16, 2.14537e-04
1991-03-17, 8.58788e-05
1991-03-18, 4.14383e-05
1991-03-19, 3.18798e-05
1991-03-20, 4.69691e-05
1991-03-21, 5.92029e-05
1991-03-22, 6.29119e-05
1991-03-23, 9.88879e-05
1991-03-24, 2.83190e-04
1991-03-25, 3.35119e-04
