date, Precipitation Correction $W$, Rain-Snow Partitioning $V$, Percolation $U$, Potential Melt $T$, Convolution (dlyd runoff) $S$, Convolution (srfc runoff) $R$, Snow Balance $Q$, Baseflow $P$, Evaporation $O$, Quickflow $N$, Infiltration $M$
1991-01-01, 0.00394, 0.00502, 0.24070, 0.00404, 0.00000, 0.00001, 0.00065, 0.06945, 0.15960, 0.43148, 0.08511
1991-01-02, 0.00390, 0.00490, 0.24320, 0.00389, 0.00000, 0.00000, 0.00063, 0.06989, 0.15934, 0.42948, 0.08477
1991-01-03, 0.00386, 0.00478, 0.24570, 0.00375, 0.00000, 0.00000, 0.00061, 0.07030, 0.15907, 0.42750, 0.08443
1991-01-04, 0.00382, 0.00467, 0.24819, 0.00362, 0.00000, 0.00000, 0.00058, 0.07070, 0.15881, 0.42550, 0.08411
1991-01-05, 0.00378, 0.00456, 0.25067, 0.00350, 0.00000, 0.00000, 0.00056, 0.07108, 0.15855, 0.42351, 0.08379
1991-01-06, 0.00374, 0.00445, 0.25314, 0.00338, 0.00000, 0.00000, 0.00055, 0.07145, 0.15827, 0.42155, 0.08347
1991-01-07, 0.00370, 0.00435, 0.25561, 0.00326, 0.00000, 0.00000, 0.00053, 0.07181, 0.15798, 0.41961, 0.08315
1991-01-08, 0.00433, 0.00430, 0.25417, 0.00316, 0.00000, 0.00000, 0.01142, 0.07105, 0.15466, 0.41526, 0.08164
1991-01-09, 0.00408, 0.00435, 0.25320, 0.01047, 0.00000, 0.00001, 0.00532, 0.06940, 0.15311, 0.41720, 0.08287
1991-01-10, 0.00400, 0.00431, 0.25547, 0.01124, 0.00000, 0.00002, 0.00561, 0.07008, 0.15225, 0.41541, 0.08162
1991-01-11, 0.00374, 0.00432, 0.25817, 0.01272, 0.00001, 0.00002, 0.00617, 0.07043, 0.15228, 0.41061, 0.08151
1991-01-12, 0.00369, 0.00430, 0.26075, 0.01242, 0.00004, 0.00013, 0.00626, 0.07064, 0.15237, 0.40770, 0.08170
1991-01-13, 0.00365, 0.00425, 0.26313, 0.01178, 0.00004, 0.00044, 0.00612, 0.07085, 0.15226, 0.40581, 0.08168
1991-01-14, 0.00361, 0.00417, 0.26557, 0.01110, 0.00003, 0.00024, 0.00582, 0.07112, 0.15208, 0.40478, 0.08149
1991-01-15, 0.00357, 0.00406, 0.26794, 0.01049, 0.00004, 0.00006, 0.00546, 0.07141, 0.15180, 0.40398, 0.08119
1991-01-16, 0.00354, 0.00394, 0.27026, 0.00994, 0.00008, 0.00005, 0.00509, 0.07171, 0.15146, 0.40313, 0.08079
1991-01-17, 0.00351, 0.00383, 0.27261, 0.00944, 0.00013, 0.00004, 0.00474, 0.07200, 0.15110, 0.40219, 0.08039
1991-01-18, 0.00348, 0.00372, 0.27496, 0.00900, 0.00016, 0.00003, 0.00443, 0.07230, 0.15075, 0.40118, 0.08000
1991-01-19, 0.00345, 0.00362, 0.27732, 0.00859, 0.00015, 0.00002, 0.00415, 0.07259, 0.15040, 0.40009, 0.07963
1991-01-20, 0.00342, 0.00352, 0.27966, 0.00822, 0.00013, 0.00001, 0.00391, 0.07286, 0.15006, 0.39893, 0.07928
1991-01-21, 0.00339, 0.00342, 0.28200, 0.00788, 0.00012, 0.00001, 0.00369, 0.07313, 0.14975, 0.39765, 0.07895
1991-01-22, 0.00336, 0.00332, 0.28435, 0.00756, 0.00011, 0.00001, 0.00349, 0.07339, 0.14946, 0.39630, 0.07864
1991-01-23, 0.00333, 0.00324, 0.28668, 0.00727, 0.00011, 0.00001, 0.00331, 0.07363, 0.14916, 0.39492, 0.07834
1991-01-24, 0.00330, 0.00316, 0.28900, 0.00700, 0.00012, 0.00001, 0.00314, 0.07387, 0.14886, 0.39349, 0.07806
1991-01-25, 0.00327, 0.00309, 0.29131, 0.00674, 0.00013, 0.00000, 0.00298, 0.07409, 0.14857, 0.39203, 0.07778
1991-01-26, 0.00324, 0.00302, 0.29362, 0.00649, 0.00013, 0.00000, 0.00283, 0.07431, 0.14829, 0.39055, 0.07752
1991-01-27, 0.00321, 0.00295, 0.29591, 0.00625, 0.00013, 0.00000, 0.00270, 0.07451, 0.14802, 0.38904, 0.07727
1991-01-28, 0.00318, 0.00289, 0.29819, 0.00602, 0.00012, 0.00000, 0.00257, 0.07471, 0.14776, 0.38753, 0.07703
1991-01-29, 0.00315, 0.00283, 0.30046, 0.00580, 0.00011, 0.00000, 0.00244, 0.07490, 0.14749, 0.38601, 0.07680
1991-01-30, 0.00312, 0.00277, 0.30270, 0.00559, 0.00010, 0.00000, 0.00233, 0.07508, 0.14724, 0.38450, 0.07658
1991-01-31, 0.00309, 0.00272, 0.30493, 0.00538, 0.00008, 0.00000, 0.00222, 0.07525, 0.14698, 0.38298, 0.07637
1991-02-01, 0.00306, 0.00266, 0.30715, 0.00518, 0.00006, 0.00000, 0.00212, 0.07541, 0.14676, 0.38143, 0.07616
1991-02-02, 0.00301, 0.00260, 0.30637, 0.00945, 0.00005, 0.00000, 0.00376, 0.07468, 0.14557, 0.37899, 0.07552
1991-02-03, 0.00306, 0.00256, 0.29887, 0.01259, 0.00004, 0.00000, 0.00856, 0.07121, 0.14408, 0.38274, 0.07630
1991-02-04, 0.00391, 0.00403, 0.27974, 0.02927, 0.00003, 0.00000, 0.01747, 0.06373, 0.14127, 0.38532, 0.07523
1991-02-05, 0.00400, 0.00380, 0.28130, 0.03167, 0.00002, 0.00001, 0.01949, 0.06380, 0.14097, 0.38031, 0.07462
1991-02-06, 0.00380, 0.00310, 0.28820, 0.02917, 0.00001, 0.00004, 0.01870, 0.06549, 0.14229, 0.37420, 0.07500
1991-02-07, 0.00353, 0.00308, 0.28848, 0.03170, 0.00001, 0.00003, 0.01818, 0.06489, 0.14183, 0.37331, 0.07496
1991-02-08, 0.00357, 0.00342, 0.28838, 0.03388, 0.00001, 0.00007, 0.01785, 0.06426, 0.14134, 0.37239, 0.07483
1991-02-09, 0.00371, 0.00363, 0.29061, 0.03519, 0.00003, 0.00006, 0.01811, 0.06466, 0.14100, 0.36899, 0.07403
1991-02-10, 0.00355, 0.00353, 0.29530, 0.03201, 0.00005, 0.00003, 0.01843, 0.06570, 0.14189, 0.36538, 0.07413
1991-02-11, 0.00321, 0.00341, 0.30078, 0.02629, 0.00007, 0.00002, 0.01746, 0.06696, 0.14228, 0.36507, 0.07445
1991-02-12, 0.00299, 0.00319, 0.30583, 0.02220, 0.00006, 0.00002, 0.01566, 0.06819, 0.14227, 0.36524, 0.07437
1991-02-13, 0.00287, 0.00299, 0.31049, 0.01918, 0.00004, 0.00002, 0.01364, 0.06929, 0.14214, 0.36524, 0.07413
1991-02-14, 0.00280, 0.00283, 0.31475, 0.01680, 0.00001, 0.00001, 0.01166, 0.07022, 0.14202, 0.36499, 0.07390
1991-02-15, 0.00275, 0.00269, 0.31856, 0.01490, 0.00000, 0.00001, 0.01002, 0.07098, 0.14192, 0.36446, 0.07370
1991-02-16, 0.00271, 0.00256, 0.32197, 0.01339, 0.00000, 0.00001, 0.00878, 0.07160, 0.14183, 0.36363, 0.07351
1991-02-17, 0.00270, 0.00388, 0.32403, 0.01215, 0.00001, 0.00001, 0.00927, 0.07178, 0.14116, 0.36201, 0.07299
1991-02-18, 0.00326, 0.01351, 0.31909, 0.01111, 0.00003, 0.00001, 0.01748, 0.06976, 0.13698, 0.35827, 0.07050
1991-02-19, 0.00339, 0.01419, 0.32194, 0.01021, 0.00004, 0.00001, 0.01715, 0.07019, 0.13695, 0.35559, 0.07034
1991-02-20, 0.00279, 0.00539, 0.33119, 0.00937, 0.00005, 0.00000, 0.00839, 0.07266, 0.14055, 0.35729, 0.07232
1991-02-21, 0.00259, 0.00280, 0.33531, 0.00867, 0.00005, 0.00000, 0.00587, 0.07347, 0.14132, 0.35732, 0.07260
1991-02-22, 0.00255, 0.00233, 0.33794, 0.00814, 0.00005, 0.00000, 0.00520, 0.07383, 0.14134, 0.35616, 0.07245
1991-02-23, 0.00253, 0.00217, 0.34030, 0.00763, 0.00005, 0.00000, 0.00475, 0.07409, 0.14130, 0.35487, 0.07230
1991-02-24, 0.00250, 0.00208, 0.34262, 0.00701, 0.00004, 0.00000, 0.00431, 0.07433, 0.14128, 0.35364, 0.07219
1991-02-25, 0.00363, 0.01038, 0.33488, 0.00654, 0.00004, 0.00001, 0.01864, 0.07207, 0.13637, 0.34791, 0.06954
1991-02-26, 0.00253, 0.00381, 0.33358, 0.01914, 0.00003, 0.00001, 0.01479, 0.07081, 0.13605, 0.34888, 0.07037
1991-02-27, 0.00238, 0.00267, 0.33582, 0.02095, 0.00002, 0.00001, 0.01335, 0.07093, 0.13635, 0.34712, 0.07039
1991-02-28, 0.00245, 0.00216, 0.33855, 0.02169, 0.00002, 0.00000, 0.01396, 0.07156, 0.13582, 0.34414, 0.06964
1991-03-01, 0.00247, 0.00251, 0.34150, 0.02211, 0.00001, 0.00001, 0.01360, 0.07179, 0.13661, 0.33923, 0.07017
1991-03-02, 0.00268, 0.01005, 0.32574, 0.03008, 0.00000, 0.00002, 0.02413, 0.06696, 0.13284, 0.33778, 0.06972
1991-03-03, 0.00283, 0.01279, 0.32014, 0.03186, 0.00000, 0.00002, 0.03011, 0.06560, 0.13057, 0.33808, 0.06799
1991-03-04, 0.00248, 0.00412, 0.32056, 0.04036, 0.00000, 0.00002, 0.02792, 0.06483, 0.13256, 0.33758, 0.06957
1991-03-05, 0.00224, 0.00247, 0.30549, 0.07033, 0.00000, 0.00001, 0.03456, 0.06160, 0.12509, 0.33138, 0.06682
1991-03-06, 0.00233, 0.00196, 0.30620, 0.07615, 0.00000, 0.00004, 0.03027, 0.06140, 0.12527, 0.32907, 0.06730
1991-03-07, 0.00242, 0.00215, 0.30687, 0.07886, 0.00000, 0.00008, 0.03163, 0.06149, 0.12446, 0.32565, 0.06639
1991-03-08, 0.00244, 0.00233, 0.31146, 0.07561, 0.00001, 0.00007, 0.02867, 0.06190, 0.12679, 0.32271, 0.06804
1991-03-09, 0.00240, 0.00221, 0.31478, 0.06828, 0.00003, 0.00012, 0.02693, 0.06195, 0.12890, 0.32451, 0.06990
1991-03-10, 0.00364, 0.00543, 0.30531, 0.06533, 0.00006, 0.00023, 0.04367, 0.06005, 0.12472, 0.32378, 0.06776
1991-03-11, 0.00317, 0.00744, 0.29744, 0.07582, 0.00010, 0.00025, 0.04245, 0.05791, 0.12215, 0.32604, 0.06722
1991-03-12, 0.00267, 0.00640, 0.29889, 0.07480, 0.00016, 0.00028, 0.04054, 0.05780, 0.12303, 0.32739, 0.06804
1991-03-13, 0.00252, 0.00374, 0.30287, 0.07358, 0.00020, 0.00042, 0.03794, 0.05829, 0.12453, 0.32695, 0.06897
1991-03-14, 0.00520, 0.00547, 0.28656, 0.08787, 0.00019, 0.00025, 0.05751, 0.05500, 0.11890, 0.31768, 0.06537
1991-03-15, 0.00516, 0.00244, 0.28808, 0.09411, 0.00015, 0.00018, 0.05066, 0.05501, 0.11916, 0.31925, 0.06580
1991-03-16, 0.00647, 0.01317, 0.27769, 0.09624, 0.00012, 0.00018, 0.06270, 0.05381, 0.11338, 0.31415, 0.06208
1991-03-17, 0.00655, 0.01385, 0.28311, 0.09368, 0.00014, 0.00017, 0.06089, 0.05482, 0.11479, 0.30954, 0.06248
1991-03-18, 0.00643, 0.00669, 0.29709, 0.08134, 0.00007, 0.00013, 0.04971, 0.05646, 0.12100, 0.31443, 0.06665
1991-03-19, 0.00694, 0.00406, 0.28136, 0.09695, 0.00009, 0.00010, 0.04866, 0.04898, 0.12111, 0.32478, 0.06698
1991-03-20, 0.00646, 0.00318, 0.27200, 0.11460, 0.00016, 0.00010, 0.05079, 0.04650, 0.11798, 0.32243, 0.06579
1991-03-21, 0.00610, 0.00281, 0.27526, 0.11241, 0.00025, 0.00013, 0.04850, 0.04708, 0.11893, 0.32291, 0.06562
1991-03-22, 0.00562, 0.00306, 0.28101, 0.10474, 0.00027, 0.00016, 0.04745, 0.04832, 0.12054, 0.32285, 0.06598
1991-03-23, 0.00594, 0.01012, 0.25209, 0.11865, 0.00021, 0.00019, 0.07868, 0.04331, 0.11203, 0.31552, 0.06326
1991-03-24, 0.00487, 0.00771, 0.25131, 0.10448, 0.00007, 0.00027, 0.07531, 0.04075, 0.11417, 0.33319, 0.06788
1991-03-25, 0.00456, 0.00631, 0.23620, 0.12476, 0.00016, 0.00029, 0.08149, 0.03849, 0.10993, 0.33041, 0.06739
1991-03-26, 0.00662, 0.01845, 0.22587, 0.12340, 0.00028, 0.00026, 0.09373, 0.03694, 0.10707, 0.32214, 0.06524
1991-03-27, 0.01071, 0.02457, 0.20882, 0.13090, 0.00042, 0.00025, 0.10437, 0.03266, 0.10115, 0.32322, 0.06293
