date, weight 
1991-01-01, 9.33970e-08
1991-01-02, 9.10152e-08
1991-01-03, 8.87345e-08
1991-01-04, 8.65553e-08
1991-01-05, 8.44691e-08
1991-01-06, 8.24715e-08
1991-01-07, 8.05539e-08
1991-01-08, 7.88989e-08
1991-01-09, 7.72406e-08
1991-01-10, 7.52646e-08
1991-01-11, 7.36217e-08
1991-01-12, 7.20560e-08
1991-01-13, 7.05504e-08
1991-01-14, 6.91014e-08
1991-01-15, 6.77064e-08
1991-01-16, 6.63626e-08
1991-01-17, 6.50678e-08
1991-01-18, 6.38196e-08
1991-01-19, 6.26159e-08
1991-01-20, 6.14546e-08
1991-01-21, 6.03338e-08
1991-01-22, 5.92509e-08
1991-01-23, 5.82049e-08
1991-01-24, 5.71951e-08
1991-01-25, 5.62190e-08
1991-01-26, 5.52753e-08
1991-01-27, 5.43625e-08
1991-01-28, 5.34793e-08
1991-01-29, 5.26245e-08
1991-01-30, 5.17968e-08
1991-01-31, 5.09952e-08
1991-02-01, 5.02187e-08
1991-02-02, 4.94661e-08
1991-02-03, 4.87365e-08
1991-02-04, 4.80265e-08
1991-02-05, 4.73380e-08
1991-02-06, 4.66723e-08
1991-02-07, 4.60263e-08
1991-02-08, 4.53989e-08
1991-02-09, 4.47841e-08
1991-02-10, 4.41874e-08
1991-02-11, 4.36128e-08
1991-02-12, 4.30543e-08
1991-02-13, 4.25114e-08
1991-02-14, 4.19835e-08
1991-02-15, 4.14700e-08
1991-02-16, 4.09704e-08
1991-02-17, 4.04837e-08
1991-02-18, 4.01698e-08
1991-02-19, 3.97933e-08
1991-02-20, 2.58015e-07
1991-02-21, 4.06001e-07
1991-02-22, 9.28572e-08
1991-02-23, 5.44397e-08
1991-02-24, 4.52502e-08
1991-02-25, 4.14946e-08
1991-02-26, 4.37430e-08
1991-02-27, 4.48957e-08
1991-02-28, 3.90242e-08
1991-03-01, 3.68042e-08
1991-03-02, 3.61990e-08
1991-03-03, 3.56858e-08
1991-03-04, 3.68946e-08
1991-03-05, 5.85443e-08
1991-03-06, 5.68075e-08
1991-03-07, 5.39852e-08
1991-03-08, 6.83413e-07
1991-03-09, 8.94689e-07
1991-03-10, 3.49112e-07
1991-03-11, 3.39839e-07
1991-03-12, 1.91007e-07
1991-03-13, 8.76217e-08
1991-03-14, 4.34747e-07
1991-03-15, 2.04131e-06
1991-03-16, 9.09550e-06
1991-03-17, 8.85408e-06
1991-03-18, 1.93182e-05
1991-03-19, 2.41620e-05
1991-03-20, 5.28838e-06
1991-03-21, 2.34422e-06
1991-03-22, 2.02351e-06
1991-03-23, 1.83640e-06
1991-03-24, 1.95707e-06
1991-03-25, 3.76773e-06
1991-03-26, 2.43442e-05
1991-03-27, 6.78471e-05
1991-03-28, 4.84266e-05
1991-03-29, 8.74254e-05
1991-03-30, 7.24924e-05
1991-03-31, 2.41237e-05
1991-04-01, 5.15687e-05
1991-04-02, 1.03182e-04
1991-04-03, 8.29690e-05
1991-04-04, 4.12761e-05
1991-04-05, 5.74385e-05
1991-04-06, 7.48457e-05
1991-04-07, 8.83858e-05
1991-04-08, 1.06666e-04
1991-04-09, 1.35162e-04
1991-04-10, 1.80845e-04
1991-04-11, 2.12290e-04
1991-04-12, 2.73853e-04
1991-04-13, 3.97185e-04
1991-04-14, 2.70000e-04
1991-04-15, 2.53753e-04
1991-04-16, 4.92572e-04
1991-04-17, 8.40273e-04
1991-04-18, 6.56743e-04
1991-04-19, 3.95599e-04
1991-04-20, 4.24996e-04
1991-04-21, 3.84100e-04
1991-04-22, 3.49776e-04
1991-04-23, 5.43338e-04
1991-04-24, 6.81842e-04
1991-04-25, 5.33884e-04
1991-04-26, 5.35565e-04
1991-04-27, 4.41044e-04
1991-04-28, 3.45358e-04
1991-04-29, 4.78817e-04
1991-04-30, 6.66159e-04
1991-05-01, 7.19519e-04
1991-05-02, 5.27654e-04
1991-05-03, 3.60195e-04
1991-05-04, 3.34667e-04
1991-05-05, 3.51377e-04
1991-05-06, 3.87157e-04
1991-05-07, 6.03536e-04
1991-05-08, 6.71214e-04
1991-05-09, 9.29855e-04
1991-05-10, 0.00108
1991-05-11, 7.58994e-04
1991-05-12, 6.66552e-04
1991-05-13, 8.31678e-04
1991-05-14, 8.61581e-04
1991-05-15, 6.88402e-04
1991-05-16, 5.63560e-04
1991-05-17, 4.13908e-04
1991-05-18, 3.34660e-04
1991-05-19, 5.21943e-04
1991-05-20, 9.08078e-04
1991-05-21, 9.46478e-04
1991-05-22, 6.93741e-04
1991-05-23, 6.34581e-04
1991-05-24, 4.38038e-04
1991-05-25, 4.46252e-04
1991-05-26, 7.30485e-04
1991-05-27, 0.00108
1991-05-28, 0.00128
1991-05-29, 0.00129
1991-05-30, 0.00129
1991-05-31, 0.00156
1991-06-01, 0.00146
1991-06-02, 9.61691e-04
1991-06-03, 6.33548e-04
1991-06-04, 5.03384e-04
1991-06-05, 4.99251e-04
1991-06-06, 3.52198e-04
1991-06-07, 1.80678e-04
1991-06-08, 1.37457e-04
1991-06-09, 1.44426e-04
1991-06-10, 1.49853e-04
1991-06-11, 1.52991e-04
1991-06-12, 1.39669e-04
1991-06-13, 1.14833e-04
1991-06-14, 1.10422e-04
1991-06-15, 1.21664e-04
1991-06-16, 1.40597e-04
1991-06-17, 1.26545e-04
1991-06-18, 6.76939e-05
1991-06-19, 7.29609e-05
1991-06-20, 9.25562e-05
1991-06-21, 1.34453e-04
1991-06-22, 6.73214e-05
1991-06-23, 3.21374e-05
1991-06-24, 4.39040e-05
1991-06-25, 8.21698e-05
1991-06-26, 7.21946e-05
1991-06-27, 5.58726e-05
1991-06-28, 3.75491e-05
1991-06-29, 3.35510e-05
1991-06-30, 2.46180e-05
1991-07-01, 3.75539e-05
1991-07-02, 3.44823e-05
1991-07-03, 2.74690e-05
1991-07-04, 4.77688e-05
1991-07-05, 5.93657e-05
1991-07-06, 1.82057e-04
1991-07-07, 1.97821e-04
1991-07-08, 1.12145e-04
1991-07-09, 6.52148e-05
1991-07-10, 6.86473e-05
1991-07-11, 1.56880e-04
1991-07-12, 7.64035e-05
1991-07-13, 9.02248e-05
1991-07-14, 1.12834e-04
1991-07-15, 7.58012e-05
1991-07-16, 1.21171e-04
1991-07-17, 2.06339e-04
1991-07-18, 1.47453e-04
1991-07-19, 1.21001e-04
1991-07-20, 5.86360e-05
1991-07-21, 6.92837e-05
1991-07-22, 6.00891e-05
1991-07-23, 4.98377e-05
1991-07-24, 4.24955e-05
1991-07-25, 6.94290e-05
1991-07-26, 1.36651e-04
1991-07-27, 1.40137e-04
1991-07-28, 7.56078e-05
1991-07-29, 8.57855e-05
1991-07-30, 8.57022e-05
1991-07-31, 1.69632e-04
1991-08-01, 1.90424e-04
1991-08-02, 1.50499e-04
1991-08-03, 1.00691e-04
1991-08-04, 5.38232e-05
1991-08-05, 2.68036e-05
1991-08-06, 3.75878e-05
1991-08-07, 6.86138e-05
1991-08-08, 5.08235e-05
1991-08-09, 6.84470e-05
1991-08-10, 1.13152e-04
1991-08-11, 9.05139e-05
1991-08-12, 2.20730e-04
1991-08-13, 3.54667e-04
1991-08-14, 2.27204e-04
1991-08-15, 1.37638e-04
1991-08-16, 1.61953e-04
1991-08-17, 1.36828e-04
1991-08-18, 7.80704e-05
1991-08-19, 3.67133e-05
1991-08-20, 7.21324e-05
1991-08-21, 9.14954e-05
1991-08-22, 1.22463e-04
1991-08-23, 1.49160e-04
1991-08-24, 1.73628e-04
1991-08-25, 2.07136e-04
1991-08-26, 2.17092e-04
1991-08-27, 1.47645e-04
1991-08-28, 4.85153e-05
1991-08-29, 3.62637e-05
1991-08-30, 6.97423e-05
1991-08-31, 4.69524e-05
1991-09-01, 8.37878e-05
1991-09-02, 1.22988e-04
1991-09-03, 8.68713e-05
1991-09-04, 5.46633e-05
1991-09-05, 3.02332e-05
1991-09-06, 3.44582e-05
1991-09-07, 5.06944e-05
1991-09-08, 1.26606e-04
1991-09-09, 2.49428e-04
1991-09-10, 1.63818e-04
1991-09-11, 1.31195e-04
1991-09-12, 1.21463e-04
1991-09-13, 1.22568e-04
1991-09-14, 1.33761e-04
1991-09-15, 8.83240e-05
1991-09-16, 3.85607e-05
1991-09-17, 4.16961e-05
1991-09-18, 6.12578e-05
1991-09-19, 9.65106e-05
1991-09-20, 6.43533e-05
1991-09-21, 6.78293e-05
1991-09-22, 5.92265e-05
1991-09-23, 3.27945e-05
1991-09-24, 3.54920e-05
1991-09-25, 4.33177e-05
1991-09-26, 3.42713e-05
1991-09-27, 2.13023e-05
1991-09-28, 2.27191e-05
1991-09-29, 2.14216e-05
1991-09-30, 3.69243e-05
1991-10-01, 4.06304e-05
1991-10-02, 3.83784e-05
1991-10-03, 4.49201e-05
1991-10-04, 2.42235e-05
1991-10-05, 1.19590e-05
1991-10-06, 1.24660e-05
1991-10-07, 1.50150e-05
1991-10-08, 1.29774e-05
1991-10-09, 3.12598e-05
1991-10-10, 4.31922e-05
1991-10-11, 2.64405e-05
1991-10-12, 1.82979e-05
1991-10-13, 3.84621e-05
1991-10-14, 7.13584e-05
1991-10-15, 3.91365e-05
1991-10-16, 2.04310e-05
1991-10-17, 1.76918e-05
1991-10-18, 1.84240e-05
1991-10-19, 2.22499e-05
1991-10-20, 1.84064e-05
1991-10-21, 1.68613e-05
1991-10-22, 2.19506e-05
1991-10-23, 2.02770e-05
1991-10-24, 1.23792e-05
1991-10-25, 1.23345e-05
1991-10-26, 1.17480e-05
1991-10-27, 2.17328e-05
1991-10-28, 2.90909e-05
1991-10-29, 2.40922e-05
1991-10-30, 2.87645e-05
1991-10-31, 2.23943e-05
1991-11-01, 1.33201e-05
1991-11-02, 7.10222e-06
1991-11-03, 5.30828e-06
1991-11-04, 1.02846e-05
1991-11-05, 1.67072e-05
1991-11-06, 8.50365e-06
1991-11-07, 4.33800e-06
1991-11-08, 7.15678e-06
1991-11-09, 8.71000e-06
1991-11-10, 2.85017e-06
1991-11-11, 1.91913e-06
1991-11-12, 1.86418e-06
1991-11-13, 2.53654e-06
1991-11-14, 2.90253e-06
1991-11-15, 1.45014e-06
1991-11-16, 1.31424e-06
1991-11-17, 9.59107e-07
1991-11-18, 2.24853e-06
1991-11-19, 4.64329e-06
1991-11-20, 2.64299e-06
1991-11-21, 1.14646e-06
1991-11-22, 8.09878e-07
1991-11-23, 6.74878e-07
1991-11-24, 5.95237e-07
1991-11-25, 5.38229e-07
1991-11-26, 4.93924e-07
1991-11-27, 4.57489e-07
1991-11-28, 4.25906e-07
1991-11-29, 3.97638e-07
1991-11-30, 3.73167e-07
1991-12-01, 3.51281e-07
1991-12-02, 3.30809e-07
1991-12-03, 3.11898e-07
1991-12-04, 2.95051e-07
1991-12-05, 2.79909e-07
1991-12-06, 2.65994e-07
1991-12-07, 2.53124e-07
1991-12-08, 2.41279e-07
1991-12-09, 2.30355e-07
1991-12-10, 2.20150e-07
1991-12-11, 2.10523e-07
1991-12-12, 2.01596e-07
1991-12-13, 1.93350e-07
1991-12-14, 1.85608e-07
1991-12-15, 1.78292e-07
1991-12-16, 1.71346e-07
1991-12-17, 1.64843e-07
1991-12-18, 1.58759e-07
1991-12-19, 1.53012e-07
1991-12-20, 1.47600e-07
1991-12-21, 1.42513e-07
1991-12-22, 1.37729e-07
1991-12-23, 1.33201e-07
1991-12-24, 1.28859e-07
1991-12-25, 1.24724e-07
1991-12-26, 1.20846e-07
1991-12-27, 1.17186e-07
1991-12-28, 1.13672e-07
1991-12-29, 1.10330e-07
1991-12-30, 1.07173e-07
1991-12-31, 1.04158e-07
