date, Precipitation Correction $W$, Rain-Snow Partitioning $V$, Percolation $U$, Potential Melt $T$, Convolution (dlyd runoff) $S$, Convolution (srfc runoff) $R$, Snow Balance $Q$, Baseflow $P$, Evaporation $O$, Quickflow $N$, Infiltration $M$
1991-01-01, 0.00942, 0.04717, 0.15725, 0.08699, 0.00050, 0.00074, 0.04724, 0.03971, 0.10305, 0.43111, 0.07681
1991-01-02, 0.00807, 0.04545, 0.15915, 0.08942, 0.00061, 0.00087, 0.04358, 0.03963, 0.10418, 0.43160, 0.07744
1991-01-03, 0.00768, 0.05602, 0.15426, 0.08403, 0.00056, 0.00073, 0.05468, 0.03865, 0.10033, 0.42799, 0.07507
1991-01-04, 0.00756, 0.05199, 0.15041, 0.10094, 0.00044, 0.00064, 0.06236, 0.03747, 0.09624, 0.41874, 0.07321
1991-01-05, 0.00691, 0.04080, 0.16184, 0.08761, 0.00041, 0.00080, 0.04954, 0.04001, 0.10275, 0.43089, 0.07845
1991-01-06, 0.00612, 0.03277, 0.16847, 0.08403, 0.00050, 0.00085, 0.04161, 0.04251, 0.10453, 0.43994, 0.07866
1991-01-07, 0.00635, 0.04225, 0.16946, 0.09110, 0.00064, 0.00069, 0.03690, 0.04319, 0.10334, 0.42955, 0.07652
1991-01-08, 0.00811, 0.04475, 0.16968, 0.06976, 0.00083, 0.00057, 0.04976, 0.04243, 0.10336, 0.43407, 0.07669
1991-01-09, 0.00742, 0.03068, 0.17304, 0.07646, 0.00097, 0.00059, 0.04356, 0.04326, 0.10448, 0.44173, 0.07781
1991-01-10, 0.00829, 0.02698, 0.17575, 0.08399, 0.00103, 0.00057, 0.03826, 0.04447, 0.10437, 0.43914, 0.07717
1991-01-11, 0.00789, 0.02616, 0.17426, 0.08935, 0.00103, 0.00062, 0.04324, 0.04363, 0.10379, 0.43288, 0.07715
1991-01-12, 0.00879, 0.02323, 0.16317, 0.10101, 0.00099, 0.00071, 0.06277, 0.03930, 0.09846, 0.42638, 0.07518
1991-01-13, 0.00730, 0.02303, 0.16346, 0.10768, 0.00089, 0.00066, 0.05681, 0.03881, 0.09858, 0.42690, 0.07588
1991-01-14, 0.00717, 0.03943, 0.15587, 0.10282, 0.00077, 0.00058, 0.07260, 0.03725, 0.09292, 0.41824, 0.07235
1991-01-15, 0.00691, 0.05832, 0.13658, 0.11278, 0.00066, 0.00054, 0.10113, 0.03189, 0.08253, 0.40257, 0.06610
1991-01-16, 0.00650, 0.04675, 0.13363, 0.13800, 0.00057, 0.00047, 0.10517, 0.03065, 0.08191, 0.39040, 0.06593
1991-01-17, 0.00593, 0.03233, 0.15249, 0.13183, 0.00051, 0.00038, 0.08365, 0.03654, 0.08976, 0.39611, 0.07049
1991-01-18, 0.00510, 0.02246, 0.14942, 0.15125, 0.00046, 0.00032, 0.07669, 0.03502, 0.08917, 0.40012, 0.06998
1991-01-19, 0.00510, 0.01991, 0.15248, 0.13566, 0.00044, 0.00034, 0.07373, 0.03490, 0.09240, 0.41227, 0.07277
1991-01-20, 0.00533, 0.04062, 0.14583, 0.14984, 0.00038, 0.00034, 0.08546, 0.03287, 0.08754, 0.38354, 0.06825
1991-01-21, 0.00517, 0.04105, 0.14687, 0.15478, 0.00044, 0.00029, 0.08444, 0.03356, 0.08704, 0.37914, 0.06723
1991-01-22, 0.00558, 0.03835, 0.15460, 0.14024, 0.00051, 0.00034, 0.08392, 0.03536, 0.09117, 0.37940, 0.07054
