date, weight 
1991-01-01, 1.03505e-06
1991-01-02, 9.79321e-07
1991-01-03, 1.00514e-06
1991-01-04, 6.88824e-07
1991-01-05, 4.54168e-06
1991-01-06, 9.53553e-06
1991-01-07, 4.92325e-06
1991-01-08, 4.35005e-06
1991-01-09, 7.51935e-06
1991-01-10, 3.55253e-05
1991-01-11, 3.23586e-05
1991-01-12, 1.29760e-05
1991-01-13, 1.02483e-05
1991-01-14, 7.07016e-06
1991-01-15, 2.44119e-06
1991-01-16, 1.41355e-06
1991-01-17, 1.00027e-06
1991-01-18, 3.70746e-06
1991-01-19, 4.12605e-05
1991-01-20, 1.44328e-04
1991-01-21, 1.16577e-04
1991-01-22, 4.07051e-05
1991-01-23, 1.90504e-05
1991-01-24, 1.45728e-05
1991-01-25, 6.45276e-06
1991-01-26, 1.42024e-05
1991-01-27, 2.22670e-05
1991-01-28, 6.96358e-06
1991-01-29, 3.15913e-06
1991-01-30, 2.21202e-06
1991-01-31, 2.38700e-06
1991-02-01, 5.83637e-05
1991-02-02, 1.98195e-04
1991-02-03, 1.63678e-04
1991-02-04, 1.11526e-04
1991-02-05, 9.04675e-05
1991-02-06, 4.84735e-05
1991-02-07, 2.52292e-05
1991-02-08, 1.33641e-05
1991-02-09, 2.05992e-05
1991-02-10, 2.00451e-05
1991-02-11, 7.36689e-06
1991-02-12, 4.79222e-06
1991-02-13, 5.79642e-06
1991-02-14, 2.99649e-05
1991-02-15, 1.73713e-04
1991-02-16, 1.63399e-04
1991-02-17, 8.02480e-05
1991-02-18, 9.84565e-05
1991-02-19, 3.92528e-05
1991-02-20, 1.40147e-05
1991-02-21, 1.01656e-05
1991-02-22, 2.41783e-05
1991-02-23, 7.90449e-05
1991-02-24, 6.27210e-05
1991-02-25, 1.80674e-05
1991-02-26, 3.77666e-05
1991-02-27, 1.44586e-04
1991-02-28, 4.38107e-04
1991-03-01, 3.17711e-04
1991-03-02, 2.24605e-04
1991-03-03, 1.38388e-04
1991-03-04, 8.59974e-05
1991-03-05, 1.28490e-04
1991-03-06, 1.51264e-04
1991-03-07, 1.19962e-04
1991-03-08, 7.81547e-05
1991-03-09, 4.95618e-05
1991-03-10, 8.82130e-05
1991-03-11, 1.40754e-04
1991-03-12, 1.33807e-04
1991-03-13, 3.14374e-04
1991-03-14, 3.58089e-04
1991-03-15, 3.30892e-04
1991-03-16, 3.22939e-04
1991-03-17, 2.44736e-04
1991-03-18, 1.77813e-04
1991-03-19, 1.21805e-04
1991-03-20, 8.88159e-05
1991-03-21, 1.15701e-04
1991-03-22, 1.63966e-04
1991-03-23, 1.92191e-04
1991-03-24, 1.97126e-04
1991-03-25, 1.78509e-04
1991-03-26, 2.41261e-04
1991-03-27, 4.31804e-04
1991-03-28, 5.07120e-04
1991-03-29, 3.76136e-04
1991-03-30, 2.77073e-04
1991-03-31, 2.74046e-04
1991-04-01, 4.95156e-04
