date, weight 
1991-01-01, 9.36777e-06
1991-01-02, 3.95267e-06
1991-01-03, 2.22119e-06
1991-01-04, 2.22915e-06
1991-01-05, 2.20920e-06
1991-01-06, 9.92018e-07
1991-01-07, 7.19590e-07
1991-01-08, 1.58440e-05
1991-01-09, 1.04869e-04
1991-01-10, 9.35298e-05
1991-01-11, 3.05695e-05
1991-01-12, 9.63714e-06
1991-01-13, 5.72266e-06
1991-01-14, 4.01712e-06
1991-01-15, 2.48772e-06
1991-01-16, 1.83213e-06
1991-01-17, 1.41560e-06
1991-01-18, 1.13197e-06
1991-01-19, 9.30961e-07
1991-01-20, 5.33931e-06
1991-01-21, 8.12754e-06
1991-01-22, 1.87760e-06
1991-01-23, 1.00157e-06
1991-01-24, 6.98895e-07
1991-01-25, 5.96395e-07
1991-01-26, 5.38199e-07
1991-01-27, 4.08324e-07
1991-01-28, 3.57584e-07
1991-01-29, 3.21625e-07
1991-01-30, 2.92652e-07
1991-01-31, 3.23852e-07
1991-02-01, 1.70584e-05
1991-02-02, 7.62657e-05
1991-02-03, 9.53650e-05
1991-02-04, 7.32130e-05
1991-02-05, 4.90252e-05
1991-02-06, 1.46342e-05
1991-02-07, 2.99873e-05
1991-02-08, 1.35398e-04
1991-02-09, 2.42839e-04
1991-02-10, 1.27393e-04
1991-02-11, 3.23249e-05
1991-02-12, 1.67655e-05
1991-02-13, 1.06577e-05
1991-02-14, 7.42199e-06
1991-02-15, 6.46157e-06
1991-02-16, 5.78262e-06
1991-02-17, 1.08539e-05
1991-02-18, 1.28633e-05
1991-02-19, 3.87750e-06
1991-02-20, 2.46375e-06
1991-02-21, 1.85436e-06
1991-02-22, 2.07553e-06
1991-02-23, 2.22035e-06
1991-02-24, 1.26126e-06
1991-02-25, 3.38313e-06
1991-02-26, 5.23150e-05
1991-02-27, 8.33171e-05
1991-02-28, 1.45259e-04
1991-03-01, 4.01537e-04
1991-03-02, 2.95573e-04
1991-03-03, 2.70276e-04
1991-03-04, 2.04921e-04
1991-03-05, 3.16527e-04
1991-03-06, 3.90315e-04
1991-03-07, 1.99338e-04
1991-03-08, 7.97138e-05
1991-03-09, 5.44240e-05
1991-03-10, 4.11725e-05
1991-03-11, 4.05939e-05
1991-03-12, 5.66334e-05
1991-03-13, 8.35148e-05
1991-03-14, 7.34962e-05
1991-03-15, 1.80577e-04
1991-03-16, 3.05312e-04
1991-03-17, 1.40966e-04
1991-03-18, 9.76330e-05
1991-03-19, 1.12177e-04
1991-03-20, 1.35436e-04
1991-03-21, 2.29633e-04
1991-03-22, 3.81853e-04
1991-03-23, 5.53549e-04
1991-03-24, 4.74772e-04
1991-03-25, 2.82942e-04
1991-03-26, 3.04089e-04
1991-03-27, 4.81235e-04
1991-03-28, 3.94316e-04
1991-03-29, 2.95855e-04
1991-03-30, 2.35457e-04
1991-03-31, 2.23998e-04
1991-04-01, 6.10487e-04
1991-04-02, 0.00105
1991-04-03, 8.03528e-04
1991-04-04, 6.80146e-04
1991-04-05, 5.16492e-04
1991-04-06, 6.09596e-04
1991-04-07, 7.23643e-04
1991-04-08, 0.00103
1991-04-09, 0.00101
1991-04-10, 6.20836e-04
1991-04-11, 5.61798e-04
1991-04-12, 6.64928e-04
1991-04-13, 9.61980e-04
1991-04-14, 9.41088e-04
1991-04-15, 7.46442e-04
1991-04-16, 6.05007e-04
1991-04-17, 4.45174e-04
1991-04-18, 4.78080e-04
1991-04-19, 5.52401e-04
1991-04-20, 4.75075e-04
1991-04-21, 3.53420e-04
1991-04-22, 3.11089e-04
1991-04-23, 2.88102e-04
1991-04-24, 1.98041e-04
1991-04-25, 1.30359e-04
1991-04-26, 1.30759e-04
1991-04-27, 1.10442e-04
1991-04-28, 7.00192e-05
1991-04-29, 5.46942e-05
1991-04-30, 8.64859e-05
1991-05-01, 1.06445e-04
1991-05-02, 9.87032e-05
1991-05-03, 8.65212e-05
1991-05-04, 8.31072e-05
1991-05-05, 9.97950e-05
1991-05-06, 6.49050e-05
