date, weight 
1991-01-01, 4.05935e-06
1991-01-02, 2.10332e-06
1991-01-03, 1.29666e-06
1991-01-04, 8.92478e-07
1991-01-05, 6.58323e-07
1991-01-06, 5.34187e-07
1991-01-07, 6.60265e-07
1991-01-08, 4.07875e-06
1991-01-09, 1.45511e-05
1991-01-10, 9.12075e-06
1991-01-11, 2.25489e-06
1991-01-12, 1.10575e-06
1991-01-13, 6.85668e-07
1991-01-14, 4.86506e-07
1991-01-15, 3.78690e-07
1991-01-16, 3.13084e-07
1991-01-17, 2.68488e-07
1991-01-18, 2.50628e-07
1991-01-19, 3.08605e-06
1991-01-20, 4.69434e-06
1991-01-21, 1.01667e-06
1991-01-22, 4.84420e-07
1991-01-23, 3.11347e-07
1991-01-24, 2.38543e-07
1991-01-25, 2.00700e-07
1991-01-26, 1.76606e-07
1991-01-27, 1.62041e-07
1991-01-28, 1.44335e-07
1991-01-29, 1.35202e-07
1991-01-30, 1.56273e-07
1991-01-31, 7.24036e-07
1991-02-01, 6.04973e-06
1991-02-02, 2.24907e-05
1991-02-03, 2.35566e-05
1991-02-04, 8.82350e-06
1991-02-05, 3.51464e-06
1991-02-06, 2.18409e-06
1991-02-07, 1.09404e-06
1991-02-08, 8.34673e-07
1991-02-09, 1.80666e-06
1991-02-10, 2.37574e-06
1991-02-11, 9.46080e-07
1991-02-12, 7.53209e-07
1991-02-13, 6.28001e-07
1991-02-14, 1.49635e-06
1991-02-15, 1.53675e-06
1991-02-16, 7.43712e-07
1991-02-17, 1.10274e-06
1991-02-18, 7.67332e-07
1991-02-19, 3.41017e-07
1991-02-20, 2.40197e-07
1991-02-21, 1.92785e-07
1991-02-22, 3.86732e-07
1991-02-23, 1.65260e-06
1991-02-24, 1.33719e-06
1991-02-25, 5.71755e-07
1991-02-26, 1.19175e-06
1991-02-27, 4.07181e-06
1991-02-28, 3.12132e-05
1991-03-01, 8.06747e-05
1991-03-02, 6.15125e-05
1991-03-03, 5.41707e-05
1991-03-04, 3.67846e-05
1991-03-05, 2.61285e-05
1991-03-06, 1.93187e-05
1991-03-07, 2.01835e-05
1991-03-08, 1.42840e-05
1991-03-09, 9.43731e-06
1991-03-10, 1.17743e-05
1991-03-11, 1.58058e-05
1991-03-12, 3.56327e-05
1991-03-13, 4.68391e-05
1991-03-14, 3.01317e-05
1991-03-15, 2.13125e-05
1991-03-16, 2.24618e-05
1991-03-17, 1.39516e-05
1991-03-18, 6.66426e-06
1991-03-19, 4.03142e-06
1991-03-20, 3.12686e-06
1991-03-21, 2.85351e-06
1991-03-22, 2.36331e-06
1991-03-23, 4.55444e-06
1991-03-24, 1.27124e-05
1991-03-25, 1.70538e-05
1991-03-26, 8.80329e-06
1991-03-27, 3.45772e-06
1991-03-28, 2.15202e-06
1991-03-29, 3.73690e-06
1991-03-30, 5.05213e-06
1991-03-31, 1.66890e-05
1991-04-01, 7.24013e-05
1991-04-02, 9.76954e-05
1991-04-03, 8.08590e-05
1991-04-04, 8.92493e-05
1991-04-05, 7.41288e-05
1991-04-06, 5.86495e-05
1991-04-07, 2.17972e-05
1991-04-08, 2.07954e-05
1991-04-09, 2.74049e-05
1991-04-10, 4.44329e-05
1991-04-11, 4.32358e-05
1991-04-12, 4.07271e-05
1991-04-13, 6.76682e-05
1991-04-14, 4.99294e-05
1991-04-15, 2.39517e-05
1991-04-16, 2.13028e-05
1991-04-17, 7.05982e-05
1991-04-18, 2.24962e-04
1991-04-19, 3.85744e-04
1991-04-20, 4.23917e-04
