date, Precipitation Correction $W$, Rain-Snow Partitioning $V$, Percolation $U$, Potential Melt $T$, Convolution (dlyd runoff) $S$, Convolution (srfc runoff) $R$, Snow Balance $Q$, Baseflow $P$, Evaporation $O$, Quickflow $N$, Infiltration $M$
1991-01-01, 0.00579, 0.00855, 0.21307, 0.03702, 0.00035, 0.00041, 0.02158, 0.06638, 0.11814, 0.44480, 0.08391
1991-01-02, 0.00487, 0.01002, 0.20845, 0.05093, 0.00042, 0.00052, 0.02544, 0.06453, 0.11473, 0.43867, 0.08142
1991-01-03, 0.00419, 0.00970, 0.20796, 0.05609, 0.00052, 0.00044, 0.02616, 0.06445, 0.11323, 0.43723, 0.08002
1991-01-04, 0.00380, 0.00880, 0.21718, 0.03553, 0.00067, 0.00059, 0.02189, 0.06774, 0.11626, 0.44590, 0.08165
1991-01-05, 0.00348, 0.00536, 0.22361, 0.02868, 0.00082, 0.00083, 0.01619, 0.06957, 0.11835, 0.45035, 0.08277
1991-01-06, 0.00331, 0.00332, 0.22750, 0.02560, 0.00090, 0.00086, 0.01283, 0.07066, 0.11914, 0.45293, 0.08295
1991-01-07, 0.00313, 0.00298, 0.23011, 0.02370, 0.00092, 0.00072, 0.01167, 0.07133, 0.11924, 0.45357, 0.08264
1991-01-08, 0.00311, 0.00254, 0.22638, 0.02716, 0.00092, 0.00059, 0.01342, 0.06829, 0.11824, 0.45605, 0.08331
1991-01-09, 0.00289, 0.00245, 0.22922, 0.02678, 0.00091, 0.00051, 0.01059, 0.06916, 0.11831, 0.45615, 0.08302
1991-01-10, 0.00282, 0.00369, 0.23061, 0.02858, 0.00091, 0.00053, 0.01199, 0.06982, 0.11724, 0.45212, 0.08169
1991-01-11, 0.00274, 0.00436, 0.23252, 0.02870, 0.00097, 0.00059, 0.01190, 0.06987, 0.11767, 0.44840, 0.08228
1991-01-12, 0.00264, 0.00225, 0.23671, 0.02538, 0.00103, 0.00078, 0.00920, 0.07080, 0.11885, 0.44905, 0.08330
1991-01-13, 0.00257, 0.00194, 0.23922, 0.02324, 0.00102, 0.00087, 0.00840, 0.07132, 0.11903, 0.44901, 0.08338
1991-01-14, 0.00251, 0.00181, 0.24154, 0.02162, 0.00101, 0.00057, 0.00783, 0.07187, 0.11898, 0.44911, 0.08313
1991-01-15, 0.00245, 0.00172, 0.24379, 0.02010, 0.00109, 0.00045, 0.00739, 0.07243, 0.11884, 0.44903, 0.08273
1991-01-16, 0.00240, 0.00164, 0.24601, 0.01877, 0.00122, 0.00042, 0.00699, 0.07294, 0.11870, 0.44855, 0.08236
1991-01-17, 0.00235, 0.00157, 0.24822, 0.01765, 0.00130, 0.00033, 0.00661, 0.07345, 0.11855, 0.44794, 0.08202
