date, weight 
1991-01-01, 4.01462e-07
1991-01-02, 5.38520e-07
1991-01-03, 5.32024e-07
1991-01-04, 3.96219e-07
1991-01-05, 3.82938e-07
1991-01-06, 5.01015e-07
1991-01-07, 1.12192e-06
1991-01-08, 6.24272e-06
1991-01-09, 2.09605e-05
1991-01-10, 1.41087e-05
1991-01-11, 3.32232e-06
1991-01-12, 1.60551e-06
1991-01-13, 1.01678e-06
1991-01-14, 6.12502e-07
1991-01-15, 4.43157e-07
1991-01-16, 4.06606e-07
1991-01-17, 3.85646e-07
1991-01-18, 2.60762e-07
1991-01-19, 1.28654e-06
1991-01-20, 1.96147e-06
1991-01-21, 4.96291e-07
1991-01-22, 2.78535e-07
1991-01-23, 2.09008e-07
1991-01-24, 1.97132e-07
1991-01-25, 1.88634e-07
1991-01-26, 5.87586e-07
1991-01-27, 7.87539e-07
1991-01-28, 2.80220e-07
1991-01-29, 2.14801e-07
1991-01-30, 2.14069e-07
1991-01-31, 1.81192e-07
1991-02-01, 3.18089e-06
1991-02-02, 2.13205e-05
1991-02-03, 3.01695e-05
1991-02-04, 1.78434e-05
1991-02-05, 9.48458e-06
1991-02-06, 7.26713e-06
1991-02-07, 5.30485e-06
1991-02-08, 5.54398e-06
1991-02-09, 7.48600e-06
1991-02-10, 5.93411e-06
1991-02-11, 2.25330e-06
1991-02-12, 1.34694e-06
1991-02-13, 1.34249e-06
1991-02-14, 1.42280e-06
1991-02-15, 8.95121e-07
1991-02-16, 1.87048e-06
1991-02-17, 8.12422e-06
1991-02-18, 6.67041e-06
1991-02-19, 2.00136e-06
1991-02-20, 1.08816e-06
1991-02-21, 7.34717e-07
1991-02-22, 6.09464e-07
1991-02-23, 5.98239e-07
1991-02-24, 4.49372e-07
1991-02-25, 3.83928e-07
1991-02-26, 3.62706e-07
1991-02-27, 2.59886e-06
1991-02-28, 2.04755e-05
1991-03-01, 3.81474e-05
1991-03-02, 4.60470e-05
1991-03-03, 5.38479e-05
1991-03-04, 4.12869e-05
1991-03-05, 4.18265e-05
1991-03-06, 4.16947e-05
1991-03-07, 4.22204e-05
1991-03-08, 2.66640e-05
1991-03-09, 2.07845e-05
1991-03-10, 2.22868e-05
1991-03-11, 2.40678e-05
1991-03-12, 4.33499e-05
1991-03-13, 5.92570e-05
1991-03-14, 4.97015e-05
1991-03-15, 4.33390e-05
1991-03-16, 5.05481e-05
1991-03-17, 3.51924e-05
1991-03-18, 1.84594e-05
1991-03-19, 9.68817e-06
1991-03-20, 7.85523e-06
1991-03-21, 7.60754e-06
1991-03-22, 7.66992e-06
1991-03-23, 1.86063e-05
1991-03-24, 4.18363e-05
1991-03-25, 4.53803e-05
1991-03-26, 2.84160e-05
1991-03-27, 1.39018e-05
1991-03-28, 8.26609e-06
1991-03-29, 1.36934e-05
1991-03-30, 3.26749e-05
1991-03-31, 5.10167e-05
1991-04-01, 1.20523e-04
1991-04-02, 1.79709e-04
1991-04-03, 1.91136e-04
1991-04-04, 2.45995e-04
1991-04-05, 2.03818e-04
1991-04-06, 1.28041e-04
1991-04-07, 6.09008e-05
1991-04-08, 6.43697e-05
1991-04-09, 8.14359e-05
1991-04-10, 1.17236e-04
1991-04-11, 1.22440e-04
1991-04-12, 1.04682e-04
1991-04-13, 1.45810e-04
1991-04-14, 1.64409e-04
1991-04-15, 9.62756e-05
1991-04-16, 7.70297e-05
1991-04-17, 1.88806e-04
1991-04-18, 4.12418e-04
1991-04-19, 6.39886e-04
1991-04-20, 7.17974e-04
1991-04-21, 7.99858e-04
1991-04-22, 9.30583e-04
1991-04-23, 0.00113
1991-04-24, 0.00114
1991-04-25, 0.00103
1991-04-26, 0.00107
1991-04-27, 0.00111
1991-04-28, 0.00113
1991-04-29, 9.80940e-04
1991-04-30, 8.51722e-04
1991-05-01, 9.27832e-04
1991-05-02, 0.00116
1991-05-03, 0.00139
1991-05-04, 0.00124
1991-05-05, 0.00110
1991-05-06, 9.99068e-04
1991-05-07, 9.80764e-04
1991-05-08, 9.53832e-04
1991-05-09, 7.64625e-04
1991-05-10, 6.73823e-04
1991-05-11, 7.03197e-04
1991-05-12, 6.90630e-04
1991-05-13, 7.68572e-04
1991-05-14, 9.92955e-04
1991-05-15, 0.00112
1991-05-16, 9.90670e-04
1991-05-17, 8.99597e-04
1991-05-18, 9.71857e-04
1991-05-19, 7.93893e-04
1991-05-20, 5.89412e-04
1991-05-21, 5.52128e-04
1991-05-22, 5.90609e-04
1991-05-23, 5.67585e-04
1991-05-24, 6.50505e-04
1991-05-25, 8.01656e-04
1991-05-26, 9.03401e-04
1991-05-27, 9.69693e-04
1991-05-28, 8.63594e-04
1991-05-29, 6.63568e-04
1991-05-30, 5.77501e-04
1991-05-31, 5.45471e-04
1991-06-01, 4.99695e-04
1991-06-02, 4.39114e-04
1991-06-03, 3.90895e-04
1991-06-04, 3.60216e-04
1991-06-05, 3.31003e-04
1991-06-06, 2.87154e-04
1991-06-07, 2.24867e-04
1991-06-08, 1.44277e-04
1991-06-09, 9.93855e-05
1991-06-10, 8.97587e-05
1991-06-11, 9.58002e-05
1991-06-12, 8.16155e-05
1991-06-13, 8.61265e-05
1991-06-14, 8.52287e-05
1991-06-15, 7.81136e-05
1991-06-16, 6.79180e-05
1991-06-17, 5.07436e-05
1991-06-18, 4.12278e-05
1991-06-19, 3.13528e-05
1991-06-20, 2.47720e-05
1991-06-21, 2.92815e-05
1991-06-22, 4.45219e-05
1991-06-23, 6.99894e-05
1991-06-24, 3.48990e-05
1991-06-25, 2.94945e-05
1991-06-26, 3.33396e-05
1991-06-27, 2.90921e-05
1991-06-28, 5.01572e-05
1991-06-29, 5.45639e-05
1991-06-30, 4.70545e-05
1991-07-01, 1.14428e-04
1991-07-02, 1.35454e-04
1991-07-03, 8.37996e-05
1991-07-04, 5.62627e-05
1991-07-05, 5.61524e-05
1991-07-06, 5.15506e-05
1991-07-07, 5.10645e-05
1991-07-08, 3.08575e-05
1991-07-09, 2.68964e-05
1991-07-10, 2.24744e-05
1991-07-11, 3.03410e-05
1991-07-12, 2.68665e-05
1991-07-13, 2.05788e-05
1991-07-14, 3.95816e-05
1991-07-15, 5.36506e-05
1991-07-16, 3.27666e-05
1991-07-17, 3.38883e-05
1991-07-18, 6.89789e-05
1991-07-19, 6.74577e-05
1991-07-20, 6.02459e-05
1991-07-21, 4.94809e-05
1991-07-22, 3.77315e-05
1991-07-23, 3.15472e-05
1991-07-24, 2.61019e-05
1991-07-25, 1.61646e-05
1991-07-26, 1.33637e-05
1991-07-27, 9.83059e-06
1991-07-28, 2.22202e-05
1991-07-29, 5.06630e-05
1991-07-30, 8.46787e-05
1991-07-31, 5.77500e-05
1991-08-01, 3.93562e-05
1991-08-02, 4.25472e-05
1991-08-03, 2.08055e-05
1991-08-04, 1.74983e-05
1991-08-05, 1.94044e-05
1991-08-06, 7.55869e-05
1991-08-07, 9.17173e-05
1991-08-08, 4.08544e-05
1991-08-09, 3.31921e-05
1991-08-10, 3.71844e-05
1991-08-11, 6.37863e-05
1991-08-12, 4.21775e-05
1991-08-13, 1.99955e-05
1991-08-14, 1.14039e-05
1991-08-15, 1.53228e-05
1991-08-16, 2.19030e-05
1991-08-17, 2.13877e-05
1991-08-18, 2.70679e-05
1991-08-19, 1.53032e-05
1991-08-20, 1.20972e-05
1991-08-21, 2.40866e-05
1991-08-22, 2.50569e-05
1991-08-23, 2.50418e-05
1991-08-24, 4.23259e-05
1991-08-25, 3.99835e-05
1991-08-26, 3.96068e-05
1991-08-27, 5.42552e-05
1991-08-28, 4.99284e-05
1991-08-29, 3.08412e-05
1991-08-30, 3.07791e-05
1991-08-31, 3.32136e-05
