date, Precipitation Correction $W$, Rain-Snow Partitioning $V$, Percolation $U$, Potential Melt $T$, Convolution (dlyd runoff) $S$, Convolution (srfc runoff) $R$, Snow Balance $Q$, Baseflow $P$, Evaporation $O$, Quickflow $N$, Infiltration $M$
1991-01-01, 0.00496, 0.03272, 0.19581, 0.03743, 0.00010, 0.00009, 0.05086, 0.05925, 0.11084, 0.42939, 0.07857
1991-01-02, 0.00491, 0.03720, 0.19605, 0.03301, 0.00009, 0.00010, 0.05471, 0.05899, 0.11020, 0.42664, 0.07811
1991-01-03, 0.00581, 0.04834, 0.18886, 0.03126, 0.00008, 0.00010, 0.06746, 0.05716, 0.10553, 0.42074, 0.07467
1991-01-04, 0.00567, 0.04950, 0.18989, 0.03016, 0.00008, 0.00010, 0.06890, 0.05750, 0.10478, 0.41954, 0.07388
1991-01-05, 0.00495, 0.03336, 0.19629, 0.05188, 0.00007, 0.00012, 0.05417, 0.05846, 0.10722, 0.41781, 0.07567
1991-01-06, 0.00504, 0.02792, 0.19812, 0.05523, 0.00006, 0.00015, 0.05495, 0.05879, 0.10682, 0.41775, 0.07517
1991-01-07, 0.00447, 0.02014, 0.20528, 0.04627, 0.00005, 0.00019, 0.05168, 0.06063, 0.10986, 0.42396, 0.07746
1991-01-08, 0.00392, 0.01791, 0.21130, 0.04052, 0.00004, 0.00023, 0.03723, 0.06196, 0.11257, 0.43459, 0.07973
1991-01-09, 0.00360, 0.01414, 0.21808, 0.03803, 0.00004, 0.00024, 0.02850, 0.06387, 0.11496, 0.43756, 0.08098
1991-01-10, 0.00340, 0.01265, 0.22311, 0.03668, 0.00003, 0.00014, 0.02536, 0.06569, 0.11566, 0.43657, 0.08071
1991-01-11, 0.00327, 0.01236, 0.22653, 0.03417, 0.00005, 0.00009, 0.02314, 0.06635, 0.11661, 0.43592, 0.08152
1991-01-12, 0.00316, 0.00996, 0.23032, 0.03132, 0.00007, 0.00027, 0.02007, 0.06724, 0.11751, 0.43784, 0.08224
1991-01-13, 0.00304, 0.00899, 0.23349, 0.02870, 0.00008, 0.00041, 0.01815, 0.06800, 0.11796, 0.43875, 0.08243
