date, weight 
1991-01-01, 1.02291e-05
1991-01-02, 6.68652e-06
1991-01-03, 1.64486e-05
1991-01-04, 2.81669e-05
1991-01-05, 3.35246e-05
1991-01-06, 2.45421e-05
1991-01-07, 1.44837e-05
1991-01-08, 1.13152e-05
1991-01-09, 1.00814e-05
1991-01-10, 2.07265e-05
1991-01-11, 1.50207e-05
1991-01-12, 1.02873e-05
1991-01-13, 3.60250e-05
1991-01-14, 5.57020e-05
1991-01-15, 2.64983e-05
1991-01-16, 2.71178e-05
1991-01-17, 3.15656e-05
1991-01-18, 1.73501e-05
1991-01-19, 2.12453e-05
1991-01-20, 2.00920e-05
1991-01-21, 1.29621e-05
1991-01-22, 1.56696e-05
1991-01-23, 7.78170e-06
1991-01-24, 7.39638e-06
1991-01-25, 3.11439e-05
1991-01-26, 1.47381e-04
1991-01-27, 1.27309e-04
1991-01-28, 3.62433e-05
1991-01-29, 1.78230e-05
1991-01-30, 1.79682e-05
1991-01-31, 2.33869e-05
1991-02-01, 5.67255e-05
1991-02-02, 1.08216e-04
1991-02-03, 1.22686e-04
1991-02-04, 1.59888e-04
1991-02-05, 1.61866e-04
1991-02-06, 1.77268e-04
1991-02-07, 1.32831e-04
1991-02-08, 1.04330e-04
1991-02-09, 1.45080e-04
1991-02-10, 9.90479e-05
1991-02-11, 4.46889e-05
1991-02-12, 2.36611e-05
1991-02-13, 2.03802e-05
1991-02-14, 2.39761e-05
1991-02-15, 4.34225e-05
1991-02-16, 6.49658e-05
1991-02-17, 8.38038e-05
1991-02-18, 6.79627e-05
1991-02-19, 4.01168e-05
1991-02-20, 2.50769e-05
1991-02-21, 2.12225e-05
1991-02-22, 3.50562e-05
1991-02-23, 4.56174e-05
1991-02-24, 4.65244e-05
1991-02-25, 4.01050e-05
1991-02-26, 3.98805e-05
1991-02-27, 8.26887e-05
1991-02-28, 1.53594e-04
1991-03-01, 1.63983e-04
1991-03-02, 1.44763e-04
1991-03-03, 1.47045e-04
1991-03-04, 2.12454e-04
1991-03-05, 2.23394e-04
1991-03-06, 1.30119e-04
1991-03-07, 8.56229e-05
1991-03-08, 9.68939e-05
1991-03-09, 1.04082e-04
1991-03-10, 1.38826e-04
1991-03-11, 1.38748e-04
1991-03-12, 1.27553e-04
1991-03-13, 2.51808e-04
1991-03-14, 3.02993e-04
1991-03-15, 3.27896e-04
1991-03-16, 4.00670e-04
1991-03-17, 4.54273e-04
1991-03-18, 3.15353e-04
1991-03-19, 2.01931e-04
1991-03-20, 1.48787e-04
1991-03-21, 1.46693e-04
1991-03-22, 1.71699e-04
1991-03-23, 2.73332e-04
1991-03-24, 3.86204e-04
1991-03-25, 3.86117e-04
1991-03-26, 3.39153e-04
1991-03-27, 2.66013e-04
1991-03-28, 2.59713e-04
1991-03-29, 3.12638e-04
1991-03-30, 3.84303e-04
1991-03-31, 5.50568e-04
1991-04-01, 7.87253e-04
1991-04-02, 7.97519e-04
1991-04-03, 6.91847e-04
1991-04-04, 5.71664e-04
1991-04-05, 5.54107e-04
1991-04-06, 4.65600e-04
1991-04-07, 3.38661e-04
1991-04-08, 4.06745e-04
1991-04-09, 5.09398e-04
1991-04-10, 8.59842e-04
1991-04-11, 8.63558e-04
1991-04-12, 5.68517e-04
1991-04-13, 5.77488e-04
1991-04-14, 8.33502e-04
1991-04-15, 9.87103e-04
1991-04-16, 6.33367e-04
1991-04-17, 5.50165e-04
1991-04-18, 8.25910e-04
1991-04-19, 0.00118
1991-04-20, 0.00115
1991-04-21, 0.00106
1991-04-22, 0.00108
1991-04-23, 0.00115
1991-04-24, 0.00102
1991-04-25, 9.31912e-04
1991-04-26, 8.60160e-04
1991-04-27, 7.09509e-04
1991-04-28, 6.71916e-04
1991-04-29, 7.07556e-04
1991-04-30, 6.48687e-04
1991-05-01, 6.67201e-04
1991-05-02, 6.03550e-04
1991-05-03, 6.32246e-04
1991-05-04, 5.70390e-04
1991-05-05, 4.51284e-04
1991-05-06, 3.65944e-04
1991-05-07, 2.99723e-04
1991-05-08, 2.82536e-04
1991-05-09, 2.28495e-04
1991-05-10, 1.70906e-04
1991-05-11, 1.53422e-04
1991-05-12, 1.38940e-04
1991-05-13, 1.46206e-04
1991-05-14, 1.90190e-04
1991-05-15, 2.40018e-04
1991-05-16, 1.89460e-04
1991-05-17, 1.22770e-04
1991-05-18, 9.21820e-05
1991-05-19, 8.38045e-05
1991-05-20, 8.04854e-05
1991-05-21, 8.37439e-05
1991-05-22, 1.12839e-04
1991-05-23, 8.31309e-05
1991-05-24, 4.75347e-05
1991-05-25, 3.37540e-05
1991-05-26, 2.99817e-05
1991-05-27, 2.43773e-05
1991-05-28, 1.75927e-05
1991-05-29, 2.41686e-05
1991-05-30, 3.82974e-05
1991-05-31, 2.91411e-05
1991-06-01, 2.36430e-05
1991-06-02, 3.81457e-05
1991-06-03, 3.56382e-05
1991-06-04, 3.70145e-05
1991-06-05, 4.82920e-05
1991-06-06, 9.26869e-05
1991-06-07, 9.01310e-05
1991-06-08, 4.21563e-05
