date, Precipitation Correction $W$, Rain-Snow Partitioning $V$, Percolation $U$, Potential Melt $T$, Convolution (dlyd runoff) $S$, Convolution (srfc runoff) $R$, Snow Balance $Q$, Baseflow $P$, Evaporation $O$, Quickflow $N$, Infiltration $M$
1991-01-01, 0.00591, 0.05708, 0.13862, 0.06335, 0.00080, 0.00150, 0.03749, 0.03283, 0.10033, 0.46947, 0.09262
1991-01-02, 0.00645, 0.03956, 0.14037, 0.06086, 0.00082, 0.00145, 0.04352, 0.03255, 0.10197, 0.47859, 0.09389
1991-01-03, 0.00719, 0.05266, 0.13251, 0.06279, 0.00072, 0.00108, 0.07280, 0.03157, 0.09479, 0.45683, 0.08706
1991-01-04, 0.00668, 0.05614, 0.13380, 0.07730, 0.00056, 0.00099, 0.05498, 0.03203, 0.09529, 0.45470, 0.08754
1991-01-05, 0.00671, 0.04543, 0.13609, 0.08248, 0.00046, 0.00093, 0.05196, 0.03247, 0.09659, 0.45855, 0.08833
1991-01-06, 0.00617, 0.03982, 0.13477, 0.09981, 0.00040, 0.00087, 0.05007, 0.03165, 0.09552, 0.45367, 0.08724
1991-01-07, 0.00594, 0.04410, 0.13418, 0.12068, 0.00038, 0.00073, 0.05109, 0.03260, 0.09351, 0.43177, 0.08502
1991-01-08, 0.00775, 0.05040, 0.12631, 0.12999, 0.00041, 0.00058, 0.07660, 0.03120, 0.08653, 0.41201, 0.07822
1991-01-09, 0.00761, 0.04721, 0.13068, 0.12737, 0.00046, 0.00057, 0.06678, 0.03189, 0.08941, 0.41727, 0.08075
1991-01-10, 0.00861, 0.04110, 0.13735, 0.11555, 0.00050, 0.00059, 0.05717, 0.03357, 0.09354, 0.42792, 0.08411
1991-01-11, 0.00877, 0.03632, 0.14066, 0.10815, 0.00054, 0.00059, 0.05523, 0.03514, 0.09442, 0.43605, 0.08413
1991-01-12, 0.00944, 0.02876, 0.12969, 0.13109, 0.00054, 0.00048, 0.08067, 0.03175, 0.08762, 0.42169, 0.07827
1991-01-13, 0.00934, 0.02639, 0.13494, 0.13219, 0.00056, 0.00053, 0.06223, 0.03265, 0.09136, 0.42826, 0.08154
1991-01-14, 0.00901, 0.05535, 0.12179, 0.12548, 0.00068, 0.00060, 0.09503, 0.02857, 0.08230, 0.40708, 0.07411
1991-01-15, 0.00910, 0.05932, 0.10495, 0.14817, 0.00070, 0.00052, 0.12213, 0.02229, 0.07495, 0.38932, 0.06855
1991-01-16, 0.00767, 0.04148, 0.11099, 0.16479, 0.00070, 0.00063, 0.10103, 0.02301, 0.07987, 0.39651, 0.07334
1991-01-17, 0.00684, 0.03041, 0.11620, 0.17694, 0.00066, 0.00096, 0.09261, 0.02547, 0.08183, 0.39374, 0.07433
1991-01-18, 0.00690, 0.02903, 0.11929, 0.17525, 0.00065, 0.00078, 0.08899, 0.02712, 0.08248, 0.39491, 0.07459
1991-01-19, 0.00625, 0.04037, 0.12284, 0.15045, 0.00070, 0.00070, 0.09209, 0.02694, 0.08555, 0.39658, 0.07753
