date, weight 
1991-01-01, 2.82008e-05
1991-01-02, 1.73832e-05
1991-01-03, 1.90669e-05
1991-01-04, 2.80353e-05
1991-01-05, 3.12855e-05
1991-01-06, 2.30979e-05
1991-01-07, 1.19091e-05
1991-01-08, 1.13853e-05
1991-01-09, 1.44329e-05
1991-01-10, 3.25103e-05
1991-01-11, 3.33213e-05
1991-01-12, 4.20875e-05
1991-01-13, 3.13222e-05
1991-01-14, 1.39236e-05
1991-01-15, 8.14560e-06
1991-01-16, 6.55888e-06
1991-01-17, 5.50915e-06
1991-01-18, 1.51237e-05
1991-01-19, 8.70840e-05
1991-01-20, 8.66188e-05
1991-01-21, 6.38929e-05
1991-01-22, 7.07019e-05
1991-01-23, 2.92268e-05
1991-01-24, 1.34114e-05
1991-01-25, 1.00194e-05
1991-01-26, 3.94874e-05
1991-01-27, 5.36480e-05
1991-01-28, 1.79519e-05
1991-01-29, 1.03248e-05
1991-01-30, 1.71400e-05
1991-01-31, 3.34820e-05
1991-02-01, 1.82653e-04
1991-02-02, 2.91112e-04
1991-02-03, 1.84548e-04
1991-02-04, 1.67737e-04
1991-02-05, 1.39942e-04
1991-02-06, 1.25905e-04
1991-02-07, 8.91221e-05
1991-02-08, 7.84298e-05
1991-02-09, 7.78493e-05
1991-02-10, 4.53907e-05
1991-02-11, 2.80083e-05
1991-02-12, 1.98412e-05
1991-02-13, 3.06216e-05
1991-02-14, 4.76358e-05
1991-02-15, 1.04204e-04
1991-02-16, 9.33842e-05
1991-02-17, 9.80723e-05
1991-02-18, 1.06026e-04
1991-02-19, 7.83743e-05
1991-02-20, 3.99537e-05
1991-02-21, 2.34137e-05
1991-02-22, 2.62705e-05
1991-02-23, 4.50348e-05
1991-02-24, 3.58241e-05
1991-02-25, 2.95708e-05
1991-02-26, 8.95933e-05
1991-02-27, 1.50356e-04
1991-02-28, 2.97321e-04
1991-03-01, 3.41021e-04
1991-03-02, 2.37739e-04
1991-03-03, 1.09844e-04
1991-03-04, 9.41641e-05
1991-03-05, 1.31291e-04
1991-03-06, 8.32006e-05
1991-03-07, 4.36219e-05
1991-03-08, 6.18623e-05
1991-03-09, 7.45743e-05
1991-03-10, 9.13195e-05
1991-03-11, 9.13076e-05
1991-03-12, 9.55798e-05
1991-03-13, 2.11472e-04
1991-03-14, 2.40967e-04
1991-03-15, 2.64700e-04
1991-03-16, 2.91019e-04
1991-03-17, 2.49418e-04
1991-03-18, 1.32205e-04
1991-03-19, 8.02407e-05
1991-03-20, 8.61326e-05
1991-03-21, 1.03167e-04
1991-03-22, 8.01429e-05
1991-03-23, 9.82511e-05
1991-03-24, 1.43042e-04
1991-03-25, 1.60859e-04
1991-03-26, 1.25398e-04
1991-03-27, 1.05368e-04
1991-03-28, 1.27131e-04
1991-03-29, 1.57365e-04
1991-03-30, 2.24897e-04
1991-03-31, 3.40348e-04
1991-04-01, 6.29182e-04
1991-04-02, 6.69280e-04
1991-04-03, 5.30751e-04
1991-04-04, 3.67008e-04
1991-04-05, 3.44296e-04
1991-04-06, 3.19127e-04
1991-04-07, 2.68218e-04
1991-04-08, 3.41290e-04
1991-04-09, 3.66336e-04
1991-04-10, 4.94276e-04
1991-04-11, 5.43645e-04
1991-04-12, 3.86345e-04
1991-04-13, 3.60604e-04
1991-04-14, 5.09343e-04
1991-04-15, 6.14558e-04
1991-04-16, 3.66455e-04
1991-04-17, 4.07263e-04
1991-04-18, 8.70569e-04
1991-04-19, 0.00130
1991-04-20, 0.00119
1991-04-21, 0.00103
1991-04-22, 0.00107
1991-04-23, 0.00120
1991-04-24, 0.00111
1991-04-25, 0.00106
1991-04-26, 0.00102
