date, Precipitation Correction $W$, Rain-Snow Partitioning $V$, Percolation $U$, Potential Melt $T$, Convolution (dlyd runoff) $S$, Convolution (srfc runoff) $R$, Snow Balance $Q$, Baseflow $P$, Evaporation $O$, Quickflow $N$, Infiltration $M$
1991-01-01, 0.00938, 0.03099, 0.14588, 0.08572, 0.00095, 0.00124, 0.04195, 0.03278, 0.10036, 0.46227, 0.08848
1991-01-02, 0.01467, 0.03471, 0.13949, 0.10056, 0.00104, 0.00152, 0.05548, 0.03134, 0.09520, 0.44226, 0.08372
1991-01-03, 0.00960, 0.03937, 0.13585, 0.10156, 0.00108, 0.00161, 0.05366, 0.02972, 0.09434, 0.44966, 0.08356
1991-01-04, 0.00742, 0.03752, 0.13880, 0.10151, 0.00114, 0.00159, 0.04143, 0.03087, 0.09543, 0.46000, 0.08428
1991-01-05, 0.00765, 0.03565, 0.14272, 0.09523, 0.00125, 0.00148, 0.03977, 0.03178, 0.09764, 0.46082, 0.08600
1991-01-06, 0.00804, 0.03269, 0.14457, 0.09093, 0.00132, 0.00130, 0.04001, 0.03192, 0.09875, 0.46371, 0.08677
1991-01-07, 0.00803, 0.03077, 0.14564, 0.10462, 0.00146, 0.00126, 0.03704, 0.03274, 0.09812, 0.45453, 0.08578
1991-01-08, 0.01003, 0.02867, 0.13832, 0.12508, 0.00155, 0.00132, 0.05642, 0.03078, 0.09200, 0.43531, 0.08053
1991-01-09, 0.00986, 0.02787, 0.14456, 0.10617, 0.00150, 0.00143, 0.04796, 0.03175, 0.09613, 0.44841, 0.08436
1991-01-10, 0.01136, 0.02372, 0.14555, 0.10718, 0.00144, 0.00132, 0.04609, 0.03196, 0.09621, 0.45104, 0.08413
1991-01-11, 0.01365, 0.02239, 0.14554, 0.10191, 0.00138, 0.00121, 0.05568, 0.03312, 0.09396, 0.44979, 0.08138
1991-01-12, 0.01182, 0.02959, 0.14117, 0.09334, 0.00136, 0.00121, 0.06516, 0.03183, 0.09253, 0.45080, 0.08119
1991-01-13, 0.01077, 0.03018, 0.14240, 0.09843, 0.00136, 0.00114, 0.05894, 0.03253, 0.09248, 0.45096, 0.08082
1991-01-14, 0.00846, 0.02450, 0.15084, 0.09847, 0.00136, 0.00100, 0.05104, 0.03492, 0.09574, 0.45115, 0.08253
1991-01-15, 0.00831, 0.03784, 0.13341, 0.10685, 0.00135, 0.00088, 0.08454, 0.02904, 0.08770, 0.43302, 0.07707
1991-01-16, 0.00764, 0.03283, 0.13416, 0.11381, 0.00137, 0.00093, 0.07856, 0.02915, 0.08797, 0.43597, 0.07761
1991-01-17, 0.00847, 0.02305, 0.13356, 0.14585, 0.00140, 0.00095, 0.07387, 0.02902, 0.08740, 0.41954, 0.07690
1991-01-18, 0.00819, 0.03759, 0.13520, 0.13185, 0.00138, 0.00090, 0.07734, 0.02968, 0.08751, 0.41358, 0.07680
1991-01-19, 0.00688, 0.03608, 0.14191, 0.11287, 0.00134, 0.00087, 0.07047, 0.03089, 0.09143, 0.42722, 0.08003
1991-01-20, 0.00628, 0.02853, 0.14094, 0.12966, 0.00125, 0.00069, 0.06818, 0.02949, 0.09144, 0.42321, 0.08034
1991-01-21, 0.00728, 0.02943, 0.13366, 0.14700, 0.00115, 0.00063, 0.07159, 0.02711, 0.08716, 0.41790, 0.07709
1991-01-22, 0.00823, 0.03172, 0.14044, 0.14087, 0.00105, 0.00076, 0.06589, 0.02983, 0.08938, 0.41369, 0.07814
1991-01-23, 0.00868, 0.03815, 0.14147, 0.14141, 0.00096, 0.00101, 0.07412, 0.03106, 0.08764, 0.39972, 0.07577
