date, weight 
1991-01-01, 9.04410e-06
1991-01-02, 3.85077e-06
1991-01-03, 2.24048e-06
1991-01-04, 1.31930e-06
1991-01-05, 1.75108e-06
1991-01-06, 2.24888e-06
1991-01-07, 8.32431e-07
1991-01-08, 1.75172e-05
1991-01-09, 4.09570e-05
1991-01-10, 1.62977e-05
1991-01-11, 4.26283e-06
1991-01-12, 2.09800e-06
1991-01-13, 1.27657e-06
1991-01-14, 8.82732e-07
1991-01-15, 6.67802e-07
1991-01-16, 5.31430e-07
1991-01-17, 4.36088e-07
1991-01-18, 3.66975e-07
1991-01-19, 3.15787e-07
1991-01-20, 1.13197e-06
1991-01-21, 1.75472e-06
1991-01-22, 6.75367e-07
1991-01-23, 3.13928e-07
1991-01-24, 2.35013e-07
1991-01-25, 1.97695e-07
1991-01-26, 1.67471e-06
1991-01-27, 2.82783e-06
1991-01-28, 6.72850e-07
1991-01-29, 3.30511e-07
1991-01-30, 2.33949e-07
1991-01-31, 1.83713e-07
1991-02-01, 3.98191e-06
1991-02-02, 1.64050e-05
1991-02-03, 2.10108e-05
1991-02-04, 1.38776e-05
1991-02-05, 4.40038e-06
1991-02-06, 2.69881e-06
1991-02-07, 2.27176e-06
1991-02-08, 3.11793e-06
1991-02-09, 4.99561e-06
1991-02-10, 5.05458e-06
1991-02-11, 6.52590e-06
1991-02-12, 1.74712e-06
1991-02-13, 1.60778e-06
1991-02-14, 1.61074e-06
1991-02-15, 9.04300e-07
1991-02-16, 8.57990e-07
1991-02-17, 3.98577e-07
1991-02-18, 2.98567e-07
1991-02-19, 2.36270e-07
1991-02-20, 2.01511e-07
1991-02-21, 1.76693e-07
1991-02-22, 1.57695e-07
1991-02-23, 1.42559e-07
1991-02-24, 1.30170e-07
1991-02-25, 1.19811e-07
1991-02-26, 1.58450e-07
1991-02-27, 7.52330e-07
1991-02-28, 6.77240e-06
1991-03-01, 1.17148e-04
1991-03-02, 1.33031e-04
1991-03-03, 1.35020e-04
1991-03-04, 5.41131e-05
1991-03-05, 5.45548e-05
1991-03-06, 6.77405e-05
1991-03-07, 9.30293e-05
1991-03-08, 1.63122e-04
1991-03-09, 1.09011e-04
1991-03-10, 4.18910e-05
1991-03-11, 7.34356e-05
1991-03-12, 1.02321e-04
1991-03-13, 1.08939e-04
1991-03-14, 1.61038e-04
1991-03-15, 1.14279e-04
1991-03-16, 9.35296e-05
1991-03-17, 7.39131e-05
1991-03-18, 4.98155e-05
1991-03-19, 2.45186e-05
1991-03-20, 1.48131e-05
1991-03-21, 1.54812e-05
1991-03-22, 1.52044e-05
1991-03-23, 2.12988e-05
1991-03-24, 7.70419e-05
1991-03-25, 1.25780e-04
1991-03-26, 8.07624e-05
1991-03-27, 9.77835e-05
1991-03-28, 1.76262e-04
1991-03-29, 1.75133e-04
1991-03-30, 1.33481e-04
1991-03-31, 8.06315e-05
1991-04-01, 2.24937e-04
1991-04-02, 3.87519e-04
1991-04-03, 5.55664e-04
1991-04-04, 5.87375e-04
1991-04-05, 6.00311e-04
1991-04-06, 6.09619e-04
1991-04-07, 5.13783e-04
1991-04-08, 5.37794e-04
1991-04-09, 6.03858e-04
1991-04-10, 5.79589e-04
1991-04-11, 5.76883e-04
1991-04-12, 6.31557e-04
1991-04-13, 7.74498e-04
1991-04-14, 0.00115
1991-04-15, 0.00123
1991-04-16, 9.27623e-04
1991-04-17, 8.75073e-04
1991-04-18, 0.00146
1991-04-19, 0.00177
1991-04-20, 0.00134
1991-04-21, 0.00125
1991-04-22, 0.00148
1991-04-23, 0.00172
1991-04-24, 0.00138
1991-04-25, 0.00107
1991-04-26, 0.00104
1991-04-27, 8.99899e-04
1991-04-28, 8.38900e-04
1991-04-29, 9.99530e-04
1991-04-30, 0.00101
1991-05-01, 9.09753e-04
1991-05-02, 6.85036e-04
1991-05-03, 6.10861e-04
1991-05-04, 6.11431e-04
1991-05-05, 6.82558e-04
1991-05-06, 4.95229e-04
1991-05-07, 2.33431e-04
1991-05-08, 1.46920e-04
1991-05-09, 1.09471e-04
1991-05-10, 9.18434e-05
1991-05-11, 9.01569e-05
1991-05-12, 1.15174e-04
1991-05-13, 1.46103e-04
1991-05-14, 2.01569e-04
1991-05-15, 2.10458e-04
1991-05-16, 9.17814e-05
1991-05-17, 6.02905e-05
1991-05-18, 8.70238e-05
