date, Precipitation Correction $W$, Rain-Snow Partitioning $V$, Percolation $U$, Potential Melt $T$, Convolution (dlyd runoff) $S$, Convolution (srfc runoff) $R$, Snow Balance $Q$, Baseflow $P$, Evaporation $O$, Quickflow $N$, Infiltration $M$
1991-01-01, 0.00959, 0.03017, 0.15278, 0.07548, 0.00128, 0.00133, 0.01658, 0.02822, 0.13585, 0.46304, 0.08568
1991-01-02, 0.00876, 0.03192, 0.15545, 0.06935, 0.00140, 0.00117, 0.01514, 0.02920, 0.13534, 0.46716, 0.08512
1991-01-03, 0.00836, 0.02438, 0.15614, 0.08000, 0.00153, 0.00094, 0.01673, 0.02918, 0.13531, 0.46331, 0.08412
1991-01-04, 0.01093, 0.01607, 0.15594, 0.09096, 0.00157, 0.00083, 0.02099, 0.02949, 0.13430, 0.45638, 0.08253
1991-01-05, 0.01282, 0.01211, 0.15739, 0.08898, 0.00155, 0.00078, 0.02191, 0.03054, 0.13333, 0.45964, 0.08096
1991-01-06, 0.01129, 0.00949, 0.16087, 0.08979, 0.00155, 0.00085, 0.01854, 0.03162, 0.13417, 0.46061, 0.08124
1991-01-07, 0.01088, 0.00806, 0.16508, 0.08631, 0.00149, 0.00085, 0.01668, 0.03276, 0.13577, 0.46012, 0.08200
1991-01-08, 0.01011, 0.00745, 0.16944, 0.07752, 0.00139, 0.00089, 0.01602, 0.03377, 0.13762, 0.46245, 0.08336
1991-01-09, 0.00938, 0.00664, 0.16188, 0.08278, 0.00127, 0.00080, 0.02070, 0.03227, 0.13201, 0.46815, 0.08411
1991-01-10, 0.00794, 0.00559, 0.16342, 0.08822, 0.00109, 0.00064, 0.02014, 0.03313, 0.13131, 0.46563, 0.08286
1991-01-11, 0.00947, 0.00559, 0.16537, 0.08828, 0.00096, 0.00054, 0.02387, 0.03384, 0.13149, 0.45827, 0.08231
1991-01-12, 0.01002, 0.00614, 0.14943, 0.10949, 0.00092, 0.00050, 0.03957, 0.02925, 0.12294, 0.45195, 0.07978
1991-01-13, 0.01100, 0.00724, 0.15441, 0.10313, 0.00090, 0.00049, 0.03156, 0.02984, 0.12586, 0.45282, 0.08275
1991-01-14, 0.01283, 0.00736, 0.15565, 0.10470, 0.00086, 0.00055, 0.03319, 0.03089, 0.12426, 0.44881, 0.08090
1991-01-15, 0.01345, 0.00627, 0.15813, 0.10692, 0.00085, 0.00053, 0.03397, 0.03155, 0.12439, 0.44275, 0.08119
1991-01-16, 0.01047, 0.00547, 0.15924, 0.11427, 0.00085, 0.00068, 0.03584, 0.03145, 0.12442, 0.43532, 0.08198
1991-01-17, 0.00938, 0.00552, 0.16072, 0.11006, 0.00081, 0.00120, 0.03495, 0.03157, 0.12500, 0.43839, 0.08240
1991-01-18, 0.01005, 0.01156, 0.14659, 0.12492, 0.00064, 0.00087, 0.05549, 0.02737, 0.11616, 0.42831, 0.07803
1991-01-19, 0.00992, 0.02575, 0.14527, 0.12285, 0.00073, 0.00072, 0.04873, 0.02631, 0.11367, 0.42811, 0.07795
1991-01-20, 0.01004, 0.03450, 0.14415, 0.11583, 0.00094, 0.00078, 0.05290, 0.02635, 0.11191, 0.42655, 0.07607
1991-01-21, 0.01368, 0.03512, 0.14652, 0.11862, 0.00103, 0.00054, 0.05359, 0.02671, 0.11347, 0.41473, 0.07599
1991-01-22, 0.01414, 0.02667, 0.15720, 0.11260, 0.00105, 0.00051, 0.04285, 0.02988, 0.11856, 0.41932, 0.07723
1991-01-23, 0.01476, 0.02848, 0.15900, 0.11680, 0.00096, 0.00045, 0.04488, 0.03105, 0.11746, 0.41115, 0.07501
1991-01-24, 0.01324, 0.02791, 0.15558, 0.12494, 0.00084, 0.00045, 0.05039, 0.03010, 0.11498, 0.40757, 0.07401
1991-01-25, 0.01179, 0.02022, 0.15774, 0.11048, 0.00078, 0.00054, 0.04052, 0.02921, 0.11530, 0.43441, 0.07901
