date, Precipitation Correction $W$, Rain-Snow Partitioning $V$, Percolation $U$, Potential Melt $T$, Convolution (dlyd runoff) $S$, Convolution (srfc runoff) $R$, Snow Balance $Q$, Baseflow $P$, Evaporation $O$, Quickflow $N$, Infiltration $M$
1991-01-01, 0.00964, 0.00607, 0.21417, 0.04260, 0.00038, 0.00015, 0.01020, 0.05004, 0.16218, 0.42589, 0.07868
1991-01-02, 0.01056, 0.00575, 0.21681, 0.04071, 0.00041, 0.00023, 0.01048, 0.05067, 0.16138, 0.42478, 0.07821
1991-01-03, 0.01123, 0.00797, 0.21819, 0.03855, 0.00045, 0.00034, 0.01288, 0.05093, 0.15994, 0.42214, 0.07739
1991-01-04, 0.00884, 0.01787, 0.21627, 0.03210, 0.00048, 0.00037, 0.02242, 0.05033, 0.15692, 0.41902, 0.07538
1991-01-05, 0.00736, 0.01365, 0.20948, 0.05597, 0.00048, 0.00032, 0.02830, 0.04865, 0.15048, 0.41140, 0.07391
1991-01-06, 0.00656, 0.01128, 0.20966, 0.06852, 0.00047, 0.00024, 0.02250, 0.04861, 0.14867, 0.40957, 0.07394
1991-01-07, 0.00834, 0.01098, 0.21414, 0.06359, 0.00047, 0.00019, 0.02508, 0.04984, 0.14835, 0.40512, 0.07389
1991-01-08, 0.00622, 0.00890, 0.22275, 0.04518, 0.00047, 0.00022, 0.01614, 0.05097, 0.15304, 0.41811, 0.07799
1991-01-09, 0.00637, 0.00820, 0.21734, 0.05054, 0.00048, 0.00028, 0.01975, 0.04980, 0.14745, 0.42115, 0.07863
1991-01-10, 0.00740, 0.00756, 0.22096, 0.05557, 0.00050, 0.00032, 0.01462, 0.05076, 0.14754, 0.41649, 0.07828
1991-01-11, 0.00715, 0.00708, 0.22452, 0.05351, 0.00056, 0.00037, 0.01347, 0.05154, 0.14789, 0.41559, 0.07833
1991-01-12, 0.00671, 0.00665, 0.22657, 0.05416, 0.00056, 0.00043, 0.01310, 0.05173, 0.14772, 0.41401, 0.07836
1991-01-13, 0.00634, 0.00633, 0.22889, 0.05322, 0.00051, 0.00040, 0.01297, 0.05199, 0.14766, 0.41326, 0.07842
1991-01-14, 0.00599, 0.00605, 0.23412, 0.04562, 0.00045, 0.00037, 0.01099, 0.05312, 0.14890, 0.41536, 0.07902
1991-01-15, 0.00569, 0.00580, 0.23752, 0.04159, 0.00043, 0.00037, 0.00991, 0.05379, 0.14913, 0.41685, 0.07893
1991-01-16, 0.00544, 0.00556, 0.24065, 0.03859, 0.00046, 0.00034, 0.00910, 0.05437, 0.14913, 0.41762, 0.07875
1991-01-17, 0.00523, 0.00533, 0.24369, 0.03612, 0.00053, 0.00027, 0.00846, 0.05493, 0.14905, 0.41787, 0.07851
1991-01-18, 0.00505, 0.00512, 0.24672, 0.03395, 0.00061, 0.00022, 0.00789, 0.05552, 0.14902, 0.41768, 0.07823
1991-01-19, 0.00493, 0.00490, 0.24835, 0.03666, 0.00065, 0.00021, 0.00858, 0.05571, 0.14841, 0.41404, 0.07756
1991-01-20, 0.00494, 0.00555, 0.24275, 0.04758, 0.00064, 0.00024, 0.01681, 0.05351, 0.14367, 0.40766, 0.07666
1991-01-21, 0.00483, 0.00542, 0.24753, 0.04118, 0.00061, 0.00028, 0.01527, 0.05488, 0.14390, 0.40977, 0.07633
1991-01-22, 0.00469, 0.00506, 0.25094, 0.03999, 0.00056, 0.00031, 0.01519, 0.05556, 0.14409, 0.40729, 0.07631
1991-01-23, 0.00465, 0.00672, 0.25281, 0.03779, 0.00051, 0.00032, 0.01693, 0.05569, 0.14391, 0.40466, 0.07601
1991-01-24, 0.00456, 0.00735, 0.25512, 0.03584, 0.00047, 0.00035, 0.01750, 0.05595, 0.14384, 0.40307, 0.07594
1991-01-25, 0.00524, 0.00468, 0.25396, 0.03399, 0.00044, 0.00033, 0.03496, 0.05498, 0.14078, 0.39660, 0.07405
1991-01-26, 0.00445, 0.00433, 0.25762, 0.03937, 0.00041, 0.00030, 0.01563, 0.05451, 0.14327, 0.40310, 0.07701
1991-01-27, 0.00440, 0.00421, 0.26005, 0.03910, 0.00040, 0.00033, 0.01502, 0.05521, 0.14251, 0.40311, 0.07565
1991-01-28, 0.00438, 0.00422, 0.26270, 0.03919, 0.00041, 0.00037, 0.01485, 0.05561, 0.14257, 0.39998, 0.07572
1991-01-29, 0.00432, 0.00409, 0.26576, 0.03754, 0.00043, 0.00032, 0.01417, 0.05607, 0.14282, 0.39838, 0.07611
1991-01-30, 0.00448, 0.00637, 0.25580, 0.05802, 0.00038, 0.00051, 0.01838, 0.05412, 0.13652, 0.39086, 0.07456
1991-01-31, 0.00463, 0.02009, 0.24687, 0.05965, 0.00030, 0.00033, 0.03169, 0.05115, 0.12896, 0.38496, 0.07138
1991-02-01, 0.00466, 0.02073, 0.22918, 0.08546, 0.00027, 0.00023, 0.04779, 0.04486, 0.12272, 0.37390, 0.07022
1991-02-02, 0.00434, 0.00690, 0.21571, 0.11452, 0.00017, 0.00012, 0.05117, 0.03900, 0.12110, 0.37493, 0.07205
1991-02-03, 0.00463, 0.00578, 0.22530, 0.09716, 0.00014, 0.00014, 0.04634, 0.04163, 0.12543, 0.37997, 0.07349
1991-02-04, 0.00793, 0.00572, 0.22279, 0.09876, 0.00014, 0.00022, 0.05253, 0.03950, 0.12735, 0.37210, 0.07295
1991-02-05, 0.00760, 0.00574, 0.23242, 0.09334, 0.00023, 0.00041, 0.04576, 0.04189, 0.13089, 0.36724, 0.07448
1991-02-06, 0.00601, 0.00488, 0.24050, 0.09237, 0.00026, 0.00072, 0.03974, 0.04398, 0.13331, 0.36309, 0.07512
1991-02-07, 0.00531, 0.00439, 0.24667, 0.08814, 0.00022, 0.00092, 0.03420, 0.04558, 0.13444, 0.36507, 0.07506
1991-02-08, 0.00523, 0.00400, 0.25178, 0.08427, 0.00028, 0.00059, 0.03021, 0.04689, 0.13491, 0.36719, 0.07466
1991-02-09, 0.01022, 0.00905, 0.24776, 0.08593, 0.00038, 0.00061, 0.03924, 0.04663, 0.13025, 0.35856, 0.07137
1991-02-10, 0.01223, 0.01064, 0.24781, 0.08576, 0.00040, 0.00078, 0.04212, 0.04692, 0.12854, 0.35520, 0.06961
1991-02-11, 0.00694, 0.00423, 0.25944, 0.07086, 0.00059, 0.00089, 0.02794, 0.04830, 0.13566, 0.37100, 0.07416
1991-02-12, 0.00684, 0.00358, 0.26294, 0.07331, 0.00059, 0.00080, 0.02548, 0.04899, 0.13600, 0.36766, 0.07381
1991-02-13, 0.00833, 0.00934, 0.25820, 0.06531, 0.00052, 0.00081, 0.03274, 0.04769, 0.13420, 0.36981, 0.07305
1991-02-14, 0.00944, 0.01639, 0.23387, 0.08166, 0.00053, 0.00069, 0.05711, 0.04285, 0.12321, 0.36548, 0.06877
1991-02-15, 0.00936, 0.01343, 0.20412, 0.14240, 0.00057, 0.00051, 0.07525, 0.03529, 0.10714, 0.34774, 0.06420
1991-02-16, 0.00751, 0.00712, 0.20959, 0.15071, 0.00061, 0.00042, 0.06595, 0.03639, 0.10876, 0.34843, 0.06452
1991-02-17, 0.00675, 0.00757, 0.22083, 0.12748, 0.00064, 0.00035, 0.06394, 0.03821, 0.11397, 0.35278, 0.06749
1991-02-18, 0.00627, 0.00677, 0.23082, 0.11631, 0.00064, 0.00029, 0.05639, 0.03993, 0.11847, 0.35467, 0.06946
1991-02-19, 0.00613, 0.00568, 0.24037, 0.10571, 0.00063, 0.00029, 0.04905, 0.04174, 0.12231, 0.35740, 0.07069
1991-02-20, 0.00566, 0.00480, 0.24826, 0.09579, 0.00063, 0.00030, 0.04249, 0.04322, 0.12525, 0.36169, 0.07191
1991-02-21, 0.00518, 0.00420, 0.25455, 0.08731, 0.00063, 0.00046, 0.03744, 0.04451, 0.12699, 0.36639, 0.07234
1991-02-22, 0.00477, 0.00377, 0.26013, 0.07918, 0.00063, 0.00045, 0.03319, 0.04571, 0.12888, 0.37073, 0.07255
1991-02-23, 0.00437, 0.00340, 0.25397, 0.08983, 0.00066, 0.00031, 0.03539, 0.04478, 0.12532, 0.37065, 0.07133
1991-02-24, 0.00410, 0.00311, 0.25368, 0.08941, 0.00071, 0.00028, 0.03396, 0.04477, 0.12452, 0.37400, 0.07144
1991-02-25, 0.00393, 0.00288, 0.25680, 0.08615, 0.00075, 0.00031, 0.03356, 0.04557, 0.12521, 0.37385, 0.07098
1991-02-26, 0.00402, 0.00391, 0.24886, 0.08921, 0.00074, 0.00033, 0.04385, 0.04264, 0.12362, 0.37164, 0.07116
1991-02-27, 0.00397, 0.00379, 0.23347, 0.09402, 0.00067, 0.00025, 0.05188, 0.03703, 0.12283, 0.37953, 0.07256
1991-02-28, 0.00393, 0.00344, 0.23901, 0.09020, 0.00058, 0.00017, 0.04842, 0.03804, 0.12591, 0.37613, 0.07416
