date, Precipitation Correction $W$, Rain-Snow Partitioning $V$, Percolation $U$, Potential Melt $T$, Convolution (dlyd runoff) $S$, Convolution (srfc runoff) $R$, Snow Balance $Q$, Baseflow $P$, Evaporation $O$, Quickflow $N$, Infiltration $M$
1991-01-01, 0.00418, 0.00560, 0.24587, 0.00333, 0.00000, 0.00002, 0.00045, 0.06780, 0.15657, 0.43296, 0.08321
1991-01-02, 0.00414, 0.00544, 0.24840, 0.00322, 0.00000, 0.00001, 0.00043, 0.06823, 0.15622, 0.43103, 0.08289
1991-01-03, 0.00409, 0.00529, 0.25091, 0.00312, 0.00000, 0.00000, 0.00041, 0.06864, 0.15587, 0.42910, 0.08257
1991-01-04, 0.00405, 0.00515, 0.25341, 0.00302, 0.00000, 0.00000, 0.00039, 0.06903, 0.15554, 0.42712, 0.08228
1991-01-05, 0.00401, 0.00501, 0.25592, 0.00292, 0.00000, 0.00000, 0.00038, 0.06941, 0.15523, 0.42514, 0.08199
1991-01-06, 0.00397, 0.00489, 0.25841, 0.00282, 0.00000, 0.00000, 0.00036, 0.06977, 0.15489, 0.42319, 0.08170
1991-01-07, 0.00392, 0.00478, 0.26090, 0.00273, 0.00000, 0.00000, 0.00035, 0.07012, 0.15453, 0.42126, 0.08141
1991-01-08, 0.00424, 0.00656, 0.25373, 0.01450, 0.00000, 0.00000, 0.01223, 0.06760, 0.14803, 0.41422, 0.07889
1991-01-09, 0.00384, 0.00477, 0.25617, 0.01892, 0.00000, 0.00000, 0.00695, 0.06764, 0.14807, 0.41413, 0.07951
1991-01-10, 0.00383, 0.00463, 0.25857, 0.02014, 0.00000, 0.00000, 0.00725, 0.06815, 0.14745, 0.41121, 0.07876
1991-01-11, 0.00380, 0.00453, 0.26178, 0.02057, 0.00000, 0.00001, 0.00737, 0.06875, 0.14749, 0.40717, 0.07853
1991-01-12, 0.00375, 0.00443, 0.26506, 0.01907, 0.00000, 0.00002, 0.00688, 0.06918, 0.14786, 0.40493, 0.07882
1991-01-13, 0.00371, 0.00432, 0.26767, 0.01848, 0.00000, 0.00001, 0.00654, 0.06950, 0.14775, 0.40328, 0.07874
1991-01-14, 0.00367, 0.00422, 0.26993, 0.01808, 0.00000, 0.00004, 0.00638, 0.06977, 0.14739, 0.40210, 0.07842
1991-01-15, 0.00363, 0.00412, 0.27221, 0.01751, 0.00001, 0.00003, 0.00614, 0.07005, 0.14703, 0.40120, 0.07807
