date, weight 
1991-01-01, 5.22226e-06
1991-01-02, 2.61864e-06
1991-01-03, 1.61199e-06
1991-01-04, 1.11282e-06
1991-01-05, 8.05686e-07
1991-01-06, 6.33992e-07
1991-01-07, 5.49628e-07
1991-01-08, 7.11411e-07
1991-01-09, 7.01933e-07
1991-01-10, 3.85989e-07
1991-01-11, 3.11979e-07
1991-01-12, 2.72624e-07
1991-01-13, 2.44007e-07
1991-01-14, 2.20906e-07
1991-01-15, 2.02201e-07
1991-01-16, 1.87399e-07
1991-01-17, 1.78800e-07
1991-01-18, 1.77951e-07
1991-01-19, 2.21337e-07
1991-01-20, 2.43083e-07
1991-01-21, 1.53379e-07
1991-01-22, 1.36048e-07
1991-01-23, 1.27026e-07
1991-01-24, 1.20361e-07
1991-01-25, 1.14786e-07
1991-01-26, 1.09892e-07
1991-01-27, 1.05500e-07
1991-01-28, 1.01508e-07
1991-01-29, 9.82883e-08
1991-01-30, 1.20719e-07
1991-01-31, 2.17718e-07
1991-02-01, 2.95046e-07
1991-02-02, 5.01315e-07
1991-02-03, 4.78778e-07
1991-02-04, 1.84270e-07
1991-02-05, 1.26826e-07
1991-02-06, 1.01209e-07
1991-02-07, 9.08899e-08
1991-02-08, 8.44898e-08
1991-02-09, 7.94738e-08
1991-02-10, 8.27757e-08
1991-02-11, 2.98922e-07
1991-02-12, 4.32823e-07
1991-02-13, 1.41277e-07
1991-02-14, 1.02211e-07
1991-02-15, 8.60847e-08
1991-02-16, 9.07363e-08
1991-02-17, 9.41960e-08
1991-02-18, 9.70128e-08
1991-02-19, 6.67767e-08
1991-02-20, 6.20322e-08
1991-02-21, 6.89959e-08
1991-02-22, 1.74743e-07
1991-02-23, 8.17517e-07
1991-02-24, 1.15842e-06
1991-02-25, 3.83275e-07
1991-02-26, 7.64065e-07
1991-02-27, 1.59155e-06
1991-02-28, 1.21846e-05
1991-03-01, 6.34531e-05
1991-03-02, 3.60603e-05
1991-03-03, 1.35979e-05
1991-03-04, 7.89882e-06
1991-03-05, 3.67385e-06
1991-03-06, 2.18860e-06
1991-03-07, 1.51510e-06
1991-03-08, 1.05876e-06
1991-03-09, 1.04526e-06
1991-03-10, 9.82318e-07
1991-03-11, 8.25676e-07
1991-03-12, 3.70011e-06
1991-03-13, 7.24774e-06
1991-03-14, 4.50032e-06
1991-03-15, 3.82677e-06
1991-03-16, 3.66966e-06
1991-03-17, 2.31034e-06
1991-03-18, 9.75267e-07
1991-03-19, 9.06816e-07
1991-03-20, 1.40732e-06
1991-03-21, 7.86828e-07
1991-03-22, 4.80540e-07
1991-03-23, 1.25785e-06
1991-03-24, 5.13593e-06
1991-03-25, 8.18494e-06
1991-03-26, 3.88253e-06
1991-03-27, 1.61610e-06
1991-03-28, 2.63758e-06
1991-03-29, 7.25491e-06
1991-03-30, 5.16441e-06
1991-03-31, 5.21769e-06
1991-04-01, 2.13564e-05
1991-04-02, 4.59978e-05
1991-04-03, 3.58001e-05
1991-04-04, 1.96974e-05
1991-04-05, 2.87218e-05
1991-04-06, 3.23661e-05
1991-04-07, 1.30849e-05
1991-04-08, 6.98901e-06
1991-04-09, 6.30190e-06
1991-04-10, 1.70775e-05
1991-04-11, 2.15628e-05
1991-04-12, 1.52776e-05
1991-04-13, 1.78190e-05
1991-04-14, 1.27496e-05
1991-04-15, 8.43895e-06
1991-04-16, 7.21589e-06
1991-04-17, 4.03584e-05
1991-04-18, 1.76525e-04
1991-04-19, 3.33055e-04
1991-04-20, 4.77866e-04
1991-04-21, 5.69304e-04
1991-04-22, 5.23425e-04
1991-04-23, 4.67530e-04
1991-04-24, 4.82589e-04
1991-04-25, 5.35503e-04
1991-04-26, 7.83628e-04
1991-04-27, 0.00102
1991-04-28, 0.00100
1991-04-29, 8.78582e-04
1991-04-30, 8.42782e-04
1991-05-01, 8.79038e-04
1991-05-02, 0.00111
1991-05-03, 0.00135
1991-05-04, 0.00119
1991-05-05, 0.00107
1991-05-06, 0.00102
1991-05-07, 9.13286e-04
1991-05-08, 8.81581e-04
1991-05-09, 7.92508e-04
