date, weight 
1991-01-01, 3.55415e-06
1991-01-02, 2.89196e-06
1991-01-03, 2.20889e-06
1991-01-04, 2.63757e-06
1991-01-05, 2.78637e-06
1991-01-06, 7.04513e-06
1991-01-07, 2.09819e-05
1991-01-08, 1.53500e-05
1991-01-09, 6.55788e-06
1991-01-10, 3.02646e-06
1991-01-11, 1.67025e-06
1991-01-12, 1.04439e-06
1991-01-13, 9.53555e-07
1991-01-14, 1.22927e-06
1991-01-15, 1.12482e-06
1991-01-16, 1.06551e-06
1991-01-17, 9.44811e-07
1991-01-18, 9.73607e-07
1991-01-19, 1.10303e-06
1991-01-20, 1.33554e-06
1991-01-21, 7.23531e-07
1991-01-22, 4.83934e-07
1991-01-23, 4.19117e-07
1991-01-24, 6.60631e-07
1991-01-25, 1.02191e-06
1991-01-26, 9.27363e-07
1991-01-27, 7.89005e-07
1991-01-28, 1.41163e-06
1991-01-29, 2.05783e-06
1991-01-30, 5.24741e-06
1991-01-31, 1.23632e-05
1991-02-01, 1.41949e-05
1991-02-02, 1.70456e-05
1991-02-03, 1.70583e-05
1991-02-04, 1.26864e-05
1991-02-05, 8.11684e-06
1991-02-06, 5.25605e-06
1991-02-07, 6.70620e-06
1991-02-08, 2.50471e-05
1991-02-09, 3.19262e-05
1991-02-10, 1.80070e-05
1991-02-11, 8.16303e-06
1991-02-12, 4.39815e-06
1991-02-13, 3.98166e-06
1991-02-14, 4.51768e-06
1991-02-15, 3.69891e-06
1991-02-16, 5.75490e-06
1991-02-17, 7.55570e-06
1991-02-18, 7.23329e-06
1991-02-19, 7.10135e-06
1991-02-20, 4.19560e-06
1991-02-21, 2.67815e-06
1991-02-22, 2.21813e-06
1991-02-23, 1.55729e-06
1991-02-24, 1.33527e-06
1991-02-25, 1.51794e-06
1991-02-26, 2.44907e-06
1991-02-27, 3.62594e-06
1991-02-28, 9.17173e-06
1991-03-01, 1.36846e-05
1991-03-02, 9.44117e-06
1991-03-03, 5.96333e-06
1991-03-04, 7.63297e-06
1991-03-05, 7.02427e-06
1991-03-06, 5.00505e-06
1991-03-07, 3.91146e-06
1991-03-08, 3.15215e-06
1991-03-09, 3.19769e-06
1991-03-10, 3.27268e-06
1991-03-11, 3.86480e-06
1991-03-12, 4.28297e-06
1991-03-13, 3.88665e-06
1991-03-14, 3.91160e-06
1991-03-15, 6.31775e-06
1991-03-16, 9.69475e-06
1991-03-17, 7.91475e-06
1991-03-18, 4.76464e-06
1991-03-19, 3.44244e-06
1991-03-20, 3.00208e-06
1991-03-21, 2.90209e-06
1991-03-22, 2.45757e-06
1991-03-23, 2.76510e-06
1991-03-24, 5.13130e-06
1991-03-25, 5.52476e-06
1991-03-26, 5.55138e-06
1991-03-27, 8.45870e-06
1991-03-28, 8.62959e-06
1991-03-29, 6.92429e-06
1991-03-30, 6.11870e-06
1991-03-31, 7.70342e-06
1991-04-01, 1.22222e-05
1991-04-02, 2.07912e-05
1991-04-03, 1.94472e-05
1991-04-04, 1.37740e-05
1991-04-05, 1.13912e-05
1991-04-06, 8.61214e-06
1991-04-07, 6.47961e-06
1991-04-08, 6.10723e-06
1991-04-09, 6.23203e-06
1991-04-10, 7.43549e-06
1991-04-11, 1.01514e-05
1991-04-12, 9.79541e-06
1991-04-13, 1.00813e-05
1991-04-14, 1.25579e-05
1991-04-15, 1.32901e-05
1991-04-16, 1.16015e-05
1991-04-17, 2.08602e-05
1991-04-18, 4.62261e-05
1991-04-19, 6.20891e-05
1991-04-20, 6.44361e-05
1991-04-21, 7.01989e-05
1991-04-22, 7.41386e-05
1991-04-23, 7.28530e-05
1991-04-24, 8.58663e-05
1991-04-25, 1.08950e-04
1991-04-26, 1.52252e-04
1991-04-27, 2.24495e-04
1991-04-28, 2.84580e-04
1991-04-29, 2.68505e-04
1991-04-30, 2.29237e-04
1991-05-01, 2.11591e-04
1991-05-02, 2.33408e-04
1991-05-03, 2.86442e-04
1991-05-04, 3.02424e-04
1991-05-05, 2.72329e-04
1991-05-06, 2.59632e-04
1991-05-07, 2.49299e-04
1991-05-08, 2.17890e-04
1991-05-09, 1.85224e-04
1991-05-10, 2.00726e-04
1991-05-11, 2.63210e-04
1991-05-12, 3.04649e-04
1991-05-13, 3.23662e-04
1991-05-14, 3.46370e-04
1991-05-15, 4.21047e-04
1991-05-16, 4.52521e-04
1991-05-17, 4.29262e-04
1991-05-18, 4.37579e-04
1991-05-19, 4.33763e-04
1991-05-20, 4.25064e-04
1991-05-21, 5.15081e-04
1991-05-22, 5.66926e-04
1991-05-23, 5.32574e-04
1991-05-24, 5.20189e-04
1991-05-25, 5.75090e-04
1991-05-26, 6.64422e-04
1991-05-27, 7.37401e-04
1991-05-28, 7.64374e-04
1991-05-29, 7.83013e-04
1991-05-30, 7.71156e-04
1991-05-31, 7.22723e-04
1991-06-01, 6.81702e-04
1991-06-02, 6.77344e-04
1991-06-03, 7.32344e-04
1991-06-04, 7.86511e-04
1991-06-05, 8.35441e-04
1991-06-06, 8.99969e-04
1991-06-07, 9.07149e-04
1991-06-08, 8.61263e-04
1991-06-09, 7.70998e-04
1991-06-10, 7.25870e-04
1991-06-11, 7.63077e-04
1991-06-12, 8.13679e-04
1991-06-13, 8.61120e-04
1991-06-14, 9.24176e-04
1991-06-15, 9.83386e-04
1991-06-16, 9.24517e-04
1991-06-17, 8.79101e-04
1991-06-18, 8.12949e-04
1991-06-19, 7.15328e-04
1991-06-20, 6.60502e-04
1991-06-21, 6.41086e-04
1991-06-22, 6.58602e-04
1991-06-23, 6.34069e-04
1991-06-24, 5.76469e-04
1991-06-25, 5.53105e-04
1991-06-26, 5.57039e-04
1991-06-27, 5.98900e-04
1991-06-28, 6.34465e-04
1991-06-29, 6.21625e-04
1991-06-30, 6.02368e-04
1991-07-01, 5.86433e-04
1991-07-02, 5.47674e-04
1991-07-03, 4.92344e-04
1991-07-04, 4.76203e-04
1991-07-05, 4.73166e-04
1991-07-06, 4.45142e-04
1991-07-07, 4.05943e-04
1991-07-08, 3.49694e-04
1991-07-09, 3.10487e-04
1991-07-10, 2.87665e-04
1991-07-11, 2.62065e-04
1991-07-12, 2.47157e-04
1991-07-13, 2.53008e-04
1991-07-14, 2.58984e-04
1991-07-15, 2.48888e-04
1991-07-16, 2.24772e-04
1991-07-17, 1.95290e-04
1991-07-18, 1.76414e-04
1991-07-19, 1.73114e-04
1991-07-20, 1.76431e-04
1991-07-21, 1.72209e-04
1991-07-22, 1.59919e-04
1991-07-23, 1.44655e-04
1991-07-24, 1.30459e-04
1991-07-25, 1.21679e-04
1991-07-26, 1.10156e-04
1991-07-27, 9.21044e-05
1991-07-28, 8.01503e-05
1991-07-29, 7.11001e-05
1991-07-30, 6.43182e-05
1991-07-31, 5.66882e-05
1991-08-01, 4.62184e-05
1991-08-02, 4.19352e-05
1991-08-03, 4.88853e-05
1991-08-04, 5.12334e-05
1991-08-05, 4.49300e-05
1991-08-06, 4.30462e-05
1991-08-07, 3.85453e-05
1991-08-08, 3.09430e-05
1991-08-09, 3.12758e-05
1991-08-10, 2.89609e-05
1991-08-11, 2.42343e-05
1991-08-12, 2.62010e-05
1991-08-13, 2.84188e-05
1991-08-14, 2.97781e-05
1991-08-15, 2.93612e-05
1991-08-16, 2.12178e-05
1991-08-17, 1.85922e-05
1991-08-18, 1.66216e-05
1991-08-19, 1.77314e-05
1991-08-20, 2.17769e-05
1991-08-21, 2.24149e-05
1991-08-22, 4.30685e-05
1991-08-23, 5.90589e-05
1991-08-24, 5.10493e-05
1991-08-25, 3.34279e-05
1991-08-26, 2.97474e-05
1991-08-27, 2.98903e-05
1991-08-28, 2.58431e-05
1991-08-29, 3.97879e-05
1991-08-30, 4.05952e-05
1991-08-31, 2.01009e-05
1991-09-01, 1.41868e-05
1991-09-02, 2.20232e-05
1991-09-03, 2.41674e-05
