date, Precipitation Correction $W$, Rain-Snow Partitioning $V$, Percolation $U$, Potential Melt $T$, Convolution (dlyd runoff) $S$, Convolution (srfc runoff) $R$, Snow Balance $Q$, Baseflow $P$, Evaporation $O$, Quickflow $N$, Infiltration $M$
1991-01-01, 0.00502, 0.04072, 0.18052, 0.03322, 0.00014, 0.00021, 0.05550, 0.06005, 0.10506, 0.43627, 0.08330
1991-01-02, 0.00505, 0.05008, 0.17792, 0.02981, 0.00014, 0.00026, 0.06303, 0.05892, 0.10277, 0.43059, 0.08142
1991-01-03, 0.00536, 0.05776, 0.17544, 0.02723, 0.00014, 0.00027, 0.06787, 0.05794, 0.10070, 0.42757, 0.07972
1991-01-04, 0.00603, 0.06605, 0.17335, 0.02536, 0.00016, 0.00029, 0.07236, 0.05710, 0.09862, 0.42268, 0.07799
1991-01-05, 0.00594, 0.05867, 0.17900, 0.02552, 0.00018, 0.00035, 0.06641, 0.05917, 0.10072, 0.42471, 0.07933
1991-01-06, 0.00571, 0.04209, 0.18448, 0.02618, 0.00018, 0.00043, 0.06335, 0.06040, 0.10361, 0.43176, 0.08181
1991-01-07, 0.00499, 0.03228, 0.19237, 0.02207, 0.00016, 0.00052, 0.04970, 0.06303, 0.10717, 0.44308, 0.08462
1991-01-08, 0.00449, 0.02804, 0.19657, 0.02360, 0.00013, 0.00060, 0.03745, 0.06425, 0.10886, 0.45010, 0.08592
1991-01-09, 0.00399, 0.02320, 0.19995, 0.02767, 0.00010, 0.00066, 0.03095, 0.06559, 0.10948, 0.45238, 0.08603
1991-01-10, 0.00367, 0.02342, 0.20276, 0.02949, 0.00007, 0.00056, 0.03022, 0.06694, 0.10936, 0.44819, 0.08532
1991-01-11, 0.00359, 0.02405, 0.20539, 0.02650, 0.00006, 0.00051, 0.02910, 0.06747, 0.11023, 0.44716, 0.08595
1991-01-12, 0.00355, 0.01953, 0.20943, 0.02397, 0.00006, 0.00054, 0.02454, 0.06879, 0.11144, 0.45128, 0.08687
1991-01-13, 0.00343, 0.01764, 0.21218, 0.02204, 0.00010, 0.00035, 0.02221, 0.06971, 0.11185, 0.45359, 0.08690
1991-01-14, 0.00337, 0.02106, 0.21099, 0.02056, 0.00021, 0.00018, 0.02534, 0.06942, 0.11030, 0.45298, 0.08560
1991-01-15, 0.00330, 0.02328, 0.21133, 0.01915, 0.00038, 0.00021, 0.02690, 0.06956, 0.10970, 0.45132, 0.08487
1991-01-16, 0.00310, 0.01789, 0.21519, 0.02372, 0.00050, 0.00025, 0.02242, 0.07054, 0.11100, 0.44989, 0.08548
1991-01-17, 0.00343, 0.02820, 0.20977, 0.02510, 0.00049, 0.00024, 0.02943, 0.06869, 0.10818, 0.44338, 0.08309
1991-01-18, 0.00393, 0.02433, 0.20934, 0.01962, 0.00037, 0.00023, 0.03854, 0.06832, 0.10764, 0.44527, 0.08241
1991-01-19, 0.00341, 0.02333, 0.20911, 0.02653, 0.00021, 0.00022, 0.03500, 0.06729, 0.10790, 0.44394, 0.08306
1991-01-20, 0.00366, 0.02331, 0.21212, 0.02682, 0.00010, 0.00021, 0.03483, 0.06838, 0.10820, 0.43950, 0.08287
1991-01-21, 0.00327, 0.01792, 0.21814, 0.02793, 0.00004, 0.00020, 0.02899, 0.07042, 0.11042, 0.43850, 0.08416
1991-01-22, 0.00295, 0.01397, 0.22269, 0.02597, 0.00004, 0.00019, 0.02436, 0.07184, 0.11177, 0.44106, 0.08516
1991-01-23, 0.00282, 0.01493, 0.22400, 0.02380, 0.00008, 0.00018, 0.02529, 0.07211, 0.11154, 0.44028, 0.08498
1991-01-24, 0.00351, 0.02504, 0.21833, 0.02195, 0.00014, 0.00013, 0.03527, 0.07016, 0.10788, 0.43539, 0.08221
1991-01-25, 0.00360, 0.04393, 0.20898, 0.02480, 0.00018, 0.00007, 0.05221, 0.06679, 0.10207, 0.41986, 0.07751
1991-01-26, 0.00310, 0.03664, 0.20774, 0.04430, 0.00021, 0.00007, 0.05179, 0.06591, 0.10078, 0.41306, 0.07640
1991-01-27, 0.00301, 0.02357, 0.21907, 0.03794, 0.00024, 0.00009, 0.04134, 0.06961, 0.10552, 0.41956, 0.08005
1991-01-28, 0.00314, 0.02588, 0.22525, 0.02489, 0.00027, 0.00011, 0.03684, 0.07171, 0.10719, 0.42371, 0.08101
1991-01-29, 0.00405, 0.03473, 0.22229, 0.02639, 0.00028, 0.00012, 0.04368, 0.07017, 0.10491, 0.41436, 0.07902
1991-01-30, 0.00626, 0.07578, 0.19129, 0.02040, 0.00029, 0.00010, 0.09103, 0.05879, 0.09258, 0.39326, 0.07024
1991-01-31, 0.00612, 0.08045, 0.18820, 0.02491, 0.00030, 0.00007, 0.08985, 0.05789, 0.09053, 0.39278, 0.06892
1991-02-01, 0.00498, 0.07092, 0.19632, 0.02973, 0.00030, 0.00005, 0.08224, 0.06099, 0.09323, 0.39023, 0.07101
1991-02-02, 0.00575, 0.07806, 0.19615, 0.02711, 0.00029, 0.00004, 0.08278, 0.06042, 0.09363, 0.38451, 0.07126
1991-02-03, 0.00585, 0.07462, 0.19620, 0.03514, 0.00029, 0.00003, 0.08321, 0.06066, 0.09259, 0.38139, 0.07002
1991-02-04, 0.00576, 0.07256, 0.19068, 0.05195, 0.00028, 0.00006, 0.09283, 0.05811, 0.09083, 0.36836, 0.06857
1991-02-05, 0.00526, 0.06499, 0.19618, 0.05156, 0.00026, 0.00016, 0.08601, 0.05894, 0.09405, 0.37106, 0.07156
1991-02-06, 0.00533, 0.06488, 0.20146, 0.04469, 0.00024, 0.00022, 0.08163, 0.06071, 0.09536, 0.37315, 0.07232
