date, Precipitation Correction $W$, Rain-Snow Partitioning $V$, Percolation $U$, Potential Melt $T$, Convolution (dlyd runoff) $S$, Convolution (srfc runoff) $R$, Snow Balance $Q$, Baseflow $P$, Evaporation $O$, Quickflow $N$, Infiltration $M$
1991-01-01, 0.00818, 0.16736, 0.10586, 0.04804, 0.00150, 0.01410, 0.09220, 0.02270, 0.08094, 0.36715, 0.09197
1991-01-02, 0.00951, 0.22553, 0.09037, 0.03800, 0.00123, 0.00816, 0.13932, 0.01902, 0.06868, 0.32241, 0.07778
1991-01-03, 0.01143, 0.23044, 0.08693, 0.03481, 0.00108, 0.00548, 0.15994, 0.01830, 0.06569, 0.31309, 0.07282
1991-01-04, 0.01294, 0.21994, 0.09119, 0.03799, 0.00129, 0.00469, 0.15168, 0.01836, 0.06976, 0.31645, 0.07570
1991-01-05, 0.01311, 0.22372, 0.09266, 0.04371, 0.00164, 0.00468, 0.13990, 0.01990, 0.06930, 0.31712, 0.07425
1991-01-06, 0.01162, 0.22433, 0.09254, 0.04777, 0.00185, 0.00516, 0.13864, 0.02106, 0.06814, 0.31563, 0.07325
1991-01-07, 0.01065, 0.21619, 0.09295, 0.04995, 0.00163, 0.00454, 0.14589, 0.02074, 0.06854, 0.31599, 0.07293
1991-01-08, 0.01072, 0.20633, 0.09428, 0.05724, 0.00128, 0.00383, 0.14489, 0.02164, 0.06824, 0.31992, 0.07163
1991-01-09, 0.01204, 0.23221, 0.08615, 0.05115, 0.00088, 0.00241, 0.17166, 0.01916, 0.06270, 0.29659, 0.06505
1991-01-10, 0.01326, 0.25297, 0.07835, 0.04838, 0.00076, 0.00240, 0.19731, 0.01741, 0.05713, 0.27243, 0.05960
1991-01-11, 0.01327, 0.24815, 0.08100, 0.04269, 0.00073, 0.00245, 0.19975, 0.01733, 0.06002, 0.27137, 0.06323
1991-01-12, 0.01399, 0.25470, 0.07967, 0.04850, 0.00079, 0.00237, 0.19500, 0.01656, 0.05945, 0.26666, 0.06231
1991-01-13, 0.01421, 0.25713, 0.07806, 0.04637, 0.00094, 0.00207, 0.19522, 0.01584, 0.05823, 0.27105, 0.06089
1991-01-14, 0.01259, 0.24471, 0.07888, 0.05093, 0.00110, 0.00177, 0.19084, 0.01560, 0.05877, 0.28322, 0.06159
1991-01-15, 0.01143, 0.22804, 0.08221, 0.06948, 0.00123, 0.00170, 0.17415, 0.01589, 0.06150, 0.29057, 0.06381
1991-01-16, 0.01142, 0.22308, 0.08555, 0.07530, 0.00132, 0.00183, 0.16034, 0.01661, 0.06376, 0.29495, 0.06584
1991-01-17, 0.01134, 0.20708, 0.09261, 0.07339, 0.00134, 0.00192, 0.14538, 0.01909, 0.06774, 0.31022, 0.06988
1991-01-18, 0.01101, 0.20802, 0.09201, 0.06528, 0.00122, 0.00203, 0.16307, 0.01857, 0.06737, 0.30159, 0.06981
1991-01-19, 0.01135, 0.20868, 0.09047, 0.07343, 0.00121, 0.00222, 0.16033, 0.01618, 0.06819, 0.29651, 0.07144
1991-01-20, 0.01157, 0.20722, 0.08683, 0.08903, 0.00130, 0.00209, 0.16370, 0.01575, 0.06477, 0.28904, 0.06871
1991-01-21, 0.01361, 0.20552, 0.08879, 0.08901, 0.00152, 0.00211, 0.15498, 0.01765, 0.06424, 0.29403, 0.06855
1991-01-22, 0.01734, 0.20018, 0.09139, 0.08143, 0.00164, 0.00240, 0.14797, 0.01957, 0.06442, 0.30512, 0.06854
1991-01-23, 0.01714, 0.19999, 0.09142, 0.07425, 0.00168, 0.00271, 0.15681, 0.01855, 0.06594, 0.30122, 0.07028
1991-01-24, 0.01538, 0.20440, 0.09091, 0.06454, 0.00190, 0.00307, 0.16652, 0.01771, 0.06643, 0.29835, 0.07079
