date, Precipitation Correction $W$, Rain-Snow Partitioning $V$, Percolation $U$, Potential Melt $T$, Convolution (dlyd runoff) $S$, Convolution (srfc runoff) $R$, Snow Balance $Q$, Baseflow $P$, Evaporation $O$, Quickflow $N$, Infiltration $M$
1991-01-01, 0.10931, 0.20247, 0.09223, 0.07174, 0.00201, 0.01331, 0.03847, 0.00570, 0.08266, 0.28122, 0.10089
1991-01-02, 0.07504, 0.15284, 0.11585, 0.06065, 0.00163, 0.00872, 0.03382, 0.00362, 0.10967, 0.30916, 0.12900
1991-01-03, 0.09475, 0.14824, 0.10463, 0.07308, 0.00202, 0.01061, 0.03754, 0.00452, 0.09738, 0.31036, 0.11686
1991-01-04, 0.07965, 0.17645, 0.10070, 0.07937, 0.00165, 0.01031, 0.03636, 0.00391, 0.09452, 0.30365, 0.11343
1991-01-05, 0.07640, 0.17445, 0.10478, 0.06779, 0.00159, 0.01095, 0.03657, 0.00363, 0.09845, 0.30769, 0.11770
1991-01-06, 0.05980, 0.18461, 0.10866, 0.05989, 0.00156, 0.01235, 0.03157, 0.00366, 0.10358, 0.31129, 0.12304
1991-01-07, 0.04857, 0.19421, 0.11046, 0.05017, 0.00153, 0.01141, 0.02914, 0.00376, 0.10570, 0.31828, 0.12678
1991-01-08, 0.04950, 0.21565, 0.10550, 0.04734, 0.00145, 0.01136, 0.04130, 0.00348, 0.10063, 0.30455, 0.11925
1991-01-09, 0.06676, 0.24678, 0.09660, 0.06585, 0.00118, 0.00862, 0.04293, 0.00317, 0.09060, 0.27190, 0.10561
1991-01-10, 0.07534, 0.22216, 0.09615, 0.07651, 0.00117, 0.00788, 0.03885, 0.00339, 0.08955, 0.28437, 0.10464
1991-01-11, 0.08139, 0.21088, 0.09866, 0.07274, 0.00121, 0.00790, 0.03044, 0.00366, 0.09186, 0.29469, 0.10657
1991-01-12, 0.07761, 0.21006, 0.09902, 0.07534, 0.00119, 0.00840, 0.02962, 0.00404, 0.09252, 0.29394, 0.10827
1991-01-13, 0.07987, 0.19209, 0.09570, 0.09165, 0.00125, 0.00901, 0.03689, 0.00457, 0.08912, 0.29324, 0.10662
1991-01-14, 0.08738, 0.15920, 0.10743, 0.08284, 0.00122, 0.01007, 0.03542, 0.00452, 0.09990, 0.29408, 0.11793
1991-01-15, 0.05939, 0.14988, 0.11432, 0.06968, 0.00124, 0.00782, 0.03186, 0.00399, 0.10841, 0.32247, 0.13094
1991-01-16, 0.06730, 0.15925, 0.10105, 0.08428, 0.00161, 0.00931, 0.03838, 0.00445, 0.09528, 0.32384, 0.11526
1991-01-17, 0.05112, 0.19200, 0.10877, 0.07140, 0.00144, 0.00919, 0.03582, 0.00338, 0.10432, 0.30125, 0.12130
1991-01-18, 0.04713, 0.20611, 0.10632, 0.06313, 0.00156, 0.01040, 0.02977, 0.00360, 0.10146, 0.31055, 0.11998
1991-01-19, 0.05389, 0.21154, 0.10434, 0.06308, 0.00161, 0.01041, 0.03873, 0.00313, 0.09964, 0.29537, 0.11827
1991-01-20, 0.05814, 0.23001, 0.09693, 0.07066, 0.00151, 0.00978, 0.03717, 0.00260, 0.09288, 0.28765, 0.11267
1991-01-21, 0.05191, 0.25580, 0.09254, 0.07738, 0.00152, 0.01011, 0.03810, 0.00276, 0.08846, 0.27356, 0.10788
1991-01-22, 0.05027, 0.28030, 0.08757, 0.08033, 0.00159, 0.01011, 0.03797, 0.00214, 0.08402, 0.26404, 0.10166
1991-01-23, 0.05392, 0.21961, 0.09993, 0.07902, 0.00175, 0.01064, 0.03892, 0.00191, 0.09646, 0.28106, 0.11679
1991-01-24, 0.05467, 0.19868, 0.10229, 0.07585, 0.00211, 0.01291, 0.03940, 0.00212, 0.09859, 0.29412, 0.11926
1991-01-25, 0.05454, 0.19054, 0.10248, 0.06928, 0.00233, 0.01501, 0.03409, 0.00247, 0.09877, 0.31137, 0.11910
1991-01-26, 0.05298, 0.18337, 0.10576, 0.07113, 0.00252, 0.01564, 0.03167, 0.00277, 0.10150, 0.30995, 0.12272
1991-01-27, 0.06672, 0.17429, 0.10054, 0.07211, 0.00339, 0.02111, 0.03078, 0.00395, 0.09479, 0.31420, 0.11811
1991-01-28, 0.04659, 0.16506, 0.11056, 0.06252, 0.00330, 0.01624, 0.02706, 0.00345, 0.10589, 0.32952, 0.12981
1991-01-29, 0.04851, 0.15562, 0.11367, 0.05638, 0.00337, 0.01484, 0.02390, 0.00329, 0.10894, 0.33993, 0.13155
1991-01-30, 0.05792, 0.15718, 0.11187, 0.06065, 0.00358, 0.01610, 0.02626, 0.00362, 0.10638, 0.32729, 0.12915
1991-01-31, 0.07535, 0.20177, 0.09839, 0.07191, 0.00354, 0.01727, 0.03355, 0.00377, 0.09225, 0.28942, 0.11279
1991-02-01, 0.08287, 0.21200, 0.09440, 0.07673, 0.00282, 0.01754, 0.04000, 0.00377, 0.08916, 0.27237, 0.10835
1991-02-02, 0.07163, 0.21946, 0.09906, 0.07047, 0.00210, 0.01500, 0.03620, 0.00399, 0.09436, 0.27326, 0.11446
