date, weight 
1991-01-01, 1.54838e-04
1991-01-02, 4.08045e-04
1991-01-03, 4.57334e-04
1991-01-04, 2.84548e-04
1991-01-05, 3.10085e-04
1991-01-06, 2.66588e-04
1991-01-07, 3.57037e-04
1991-01-08, 3.66180e-04
1991-01-09, 2.72488e-04
1991-01-10, 2.81211e-04
1991-01-11, 3.23518e-04
1991-01-12, 4.07286e-04
1991-01-13, 3.50553e-04
1991-01-14, 3.24882e-04
1991-01-15, 4.79543e-04
1991-01-16, 3.83506e-04
1991-01-17, 3.21767e-04
1991-01-18, 4.12326e-04
1991-01-19, 5.87105e-04
1991-01-20, 6.21389e-04
1991-01-21, 4.62617e-04
1991-01-22, 3.54215e-04
1991-01-23, 3.75251e-04
1991-01-24, 4.13892e-04
1991-01-25, 3.58909e-04
1991-01-26, 3.80300e-04
1991-01-27, 2.37798e-04
1991-01-28, 2.21222e-04
1991-01-29, 3.56800e-04
1991-01-30, 5.22143e-04
1991-01-31, 3.92484e-04
1991-02-01, 2.92566e-04
1991-02-02, 4.27488e-04
1991-02-03, 3.08926e-04
1991-02-04, 2.32116e-04
1991-02-05, 2.52824e-04
1991-02-06, 2.64307e-04
1991-02-07, 3.42524e-04
1991-02-08, 2.76671e-04
1991-02-09, 2.08621e-04
1991-02-10, 1.77610e-04
1991-02-11, 1.58337e-04
1991-02-12, 1.67545e-04
1991-02-13, 2.48531e-04
1991-02-14, 2.34234e-04
1991-02-15, 2.56809e-04
1991-02-16, 2.45203e-04
1991-02-17, 1.66553e-04
1991-02-18, 1.88001e-04
1991-02-19, 3.21466e-04
1991-02-20, 3.64058e-04
1991-02-21, 1.98954e-04
1991-02-22, 2.77640e-04
1991-02-23, 2.59354e-04
1991-02-24, 1.92525e-04
1991-02-25, 1.61980e-04
1991-02-26, 1.33872e-04
1991-02-27, 1.22399e-04
1991-02-28, 1.17762e-04
1991-03-01, 2.19819e-04
1991-03-02, 3.34114e-04
1991-03-03, 2.46875e-04
1991-03-04, 2.17263e-04
1991-03-05, 1.63216e-04
1991-03-06, 1.10467e-04
1991-03-07, 1.53676e-04
1991-03-08, 1.40488e-04
1991-03-09, 1.33922e-04
1991-03-10, 1.59174e-04
1991-03-11, 1.61378e-04
1991-03-12, 3.02563e-04
1991-03-13, 2.98308e-04
1991-03-14, 2.72300e-04
1991-03-15, 1.38518e-04
1991-03-16, 1.15414e-04
1991-03-17, 1.10027e-04
1991-03-18, 1.80356e-04
1991-03-19, 3.57918e-04
1991-03-20, 2.31808e-04
1991-03-21, 2.02124e-04
1991-03-22, 2.17803e-04
1991-03-23, 2.04681e-04
1991-03-24, 1.89169e-04
1991-03-25, 1.68528e-04
1991-03-26, 1.34615e-04
1991-03-27, 1.32761e-04
1991-03-28, 1.05643e-04
1991-03-29, 1.01937e-04
1991-03-30, 9.39621e-05
1991-03-31, 5.03257e-05
1991-04-01, 4.30447e-05
1991-04-02, 4.67092e-05
1991-04-03, 6.70725e-05
1991-04-04, 1.59174e-04
1991-04-05, 1.54066e-04
1991-04-06, 8.31658e-05
1991-04-07, 9.54121e-05
1991-04-08, 9.13268e-05
1991-04-09, 1.09403e-04
1991-04-10, 6.45707e-05
1991-04-11, 4.22371e-05
1991-04-12, 4.11322e-05
1991-04-13, 5.45129e-05
1991-04-14, 8.92506e-05
1991-04-15, 7.46943e-05
1991-04-16, 9.53530e-05
1991-04-17, 1.12807e-04
1991-04-18, 6.87345e-05
1991-04-19, 5.67245e-05
1991-04-20, 5.26455e-05
1991-04-21, 4.40016e-05
1991-04-22, 3.06118e-05
1991-04-23, 3.66607e-05
1991-04-24, 6.20795e-05
1991-04-25, 4.96134e-05
1991-04-26, 5.27794e-05
1991-04-27, 8.00957e-05
1991-04-28, 5.81661e-05
1991-04-29, 4.53177e-05
1991-04-30, 5.93279e-05
1991-05-01, 3.84219e-05
1991-05-02, 2.79466e-05
1991-05-03, 3.56665e-05
1991-05-04, 3.91287e-05
1991-05-05, 4.23982e-05
1991-05-06, 5.36041e-05
1991-05-07, 3.65374e-05
1991-05-08, 3.12276e-05
1991-05-09, 2.10831e-05
1991-05-10, 1.70888e-05
1991-05-11, 1.91975e-05
1991-05-12, 1.28535e-05
1991-05-13, 1.13430e-05
1991-05-14, 1.64261e-05
1991-05-15, 3.04170e-05
1991-05-16, 3.35322e-05
1991-05-17, 1.92239e-05
1991-05-18, 2.31324e-05
1991-05-19, 3.74114e-05
1991-05-20, 6.99643e-05
1991-05-21, 7.22380e-05
1991-05-22, 4.26044e-05
1991-05-23, 4.49593e-05
1991-05-24, 2.89625e-05
1991-05-25, 2.51003e-05
1991-05-26, 2.56395e-05
1991-05-27, 4.59220e-05
1991-05-28, 5.63976e-05
1991-05-29, 4.61993e-05
1991-05-30, 4.96653e-05
1991-05-31, 3.53156e-05
1991-06-01, 3.91081e-05
1991-06-02, 3.64886e-05
1991-06-03, 4.05233e-05
1991-06-04, 2.09636e-05
1991-06-05, 1.55558e-05
1991-06-06, 1.87197e-05
1991-06-07, 1.63659e-05
1991-06-08, 8.78693e-06
1991-06-09, 1.06680e-05
1991-06-10, 4.15257e-05
1991-06-11, 4.48791e-05
1991-06-12, 6.51394e-05
1991-06-13, 8.41613e-05
1991-06-14, 7.42209e-05
1991-06-15, 3.64481e-05
1991-06-16, 2.05178e-05
1991-06-17, 3.02999e-05
1991-06-18, 4.22518e-05
1991-06-19, 1.75816e-05
1991-06-20, 7.85338e-06
1991-06-21, 7.57014e-06
1991-06-22, 1.53122e-05
1991-06-23, 1.21469e-05
1991-06-24, 1.05120e-05
1991-06-25, 1.83778e-05
1991-06-26, 1.22695e-05
1991-06-27, 7.49741e-06
1991-06-28, 8.30750e-06
1991-06-29, 2.92742e-05
1991-06-30, 5.05952e-05
1991-07-01, 2.56973e-05
1991-07-02, 1.59653e-05
1991-07-03, 7.31771e-06
1991-07-04, 1.72271e-05
1991-07-05, 1.64359e-05
1991-07-06, 2.76100e-05
1991-07-07, 3.00212e-05
1991-07-08, 3.90560e-05
1991-07-09, 7.59323e-05
1991-07-10, 2.69002e-05
1991-07-11, 1.70138e-05
1991-07-12, 9.68598e-06
1991-07-13, 1.45401e-05
1991-07-14, 2.14631e-05
1991-07-15, 2.16163e-05
1991-07-16, 2.15938e-05
1991-07-17, 8.68627e-06
1991-07-18, 5.83630e-06
1991-07-19, 6.90183e-06
1991-07-20, 8.46376e-06
1991-07-21, 9.28572e-06
1991-07-22, 4.47832e-05
1991-07-23, 3.89668e-05
1991-07-24, 9.40964e-06
1991-07-25, 5.05782e-06
1991-07-26, 8.89017e-06
1991-07-27, 1.38226e-05
1991-07-28, 3.44056e-05
1991-07-29, 3.24494e-05
1991-07-30, 1.47313e-05
1991-07-31, 8.09078e-06
1991-08-01, 6.66729e-06
1991-08-02, 8.59799e-06
1991-08-03, 2.33182e-05
1991-08-04, 3.54872e-05
1991-08-05, 2.32572e-05
1991-08-06, 1.57279e-05
1991-08-07, 4.99963e-05
1991-08-08, 6.58291e-05
1991-08-09, 6.05638e-05
1991-08-10, 2.77982e-05
1991-08-11, 1.72263e-05
1991-08-12, 8.39052e-06
1991-08-13, 3.59003e-06
1991-08-14, 3.02265e-06
1991-08-15, 4.77160e-06
1991-08-16, 7.34859e-06
1991-08-17, 1.08022e-05
1991-08-18, 1.05609e-05
1991-08-19, 6.28772e-06
1991-08-20, 1.30533e-05
1991-08-21, 2.62494e-05
1991-08-22, 5.55112e-05
1991-08-23, 7.04958e-05
1991-08-24, 2.53088e-05
1991-08-25, 3.51640e-05
1991-08-26, 6.28734e-05
1991-08-27, 8.64532e-05
1991-08-28, 1.00294e-04
1991-08-29, 7.09027e-05
1991-08-30, 2.17131e-04
1991-08-31, 1.46362e-04
1991-09-01, 5.50462e-05
1991-09-02, 3.58821e-05
1991-09-03, 2.66140e-05
1991-09-04, 2.82752e-05
1991-09-05, 1.95674e-05
1991-09-06, 1.94492e-05
1991-09-07, 4.02275e-05
1991-09-08, 5.41636e-05
1991-09-09, 5.56345e-05
1991-09-10, 3.86172e-05
1991-09-11, 3.58784e-05
1991-09-12, 3.31319e-05
1991-09-13, 1.86125e-05
1991-09-14, 1.80897e-05
1991-09-15, 4.01888e-05
1991-09-16, 3.23706e-05
1991-09-17, 3.65382e-05
1991-09-18, 5.61017e-05
1991-09-19, 5.32241e-05
1991-09-20, 2.85637e-05
1991-09-21, 1.68590e-05
1991-09-22, 1.21248e-05
1991-09-23, 7.58691e-06
1991-09-24, 3.04439e-05
1991-09-25, 4.70897e-05
1991-09-26, 5.77958e-05
1991-09-27, 7.72520e-05
1991-09-28, 6.33170e-05
1991-09-29, 5.98122e-05
1991-09-30, 1.60987e-04
1991-10-01, 1.22043e-04
1991-10-02, 7.71207e-05
1991-10-03, 6.46420e-05
1991-10-04, 9.78652e-05
1991-10-05, 8.18829e-05
1991-10-06, 3.75737e-05
1991-10-07, 5.28144e-05
1991-10-08, 7.19588e-05
1991-10-09, 7.55250e-05
1991-10-10, 1.41107e-04
1991-10-11, 1.18577e-04
1991-10-12, 6.87811e-05
1991-10-13, 9.15490e-05
1991-10-14, 9.71222e-05
1991-10-15, 7.08282e-05
1991-10-16, 8.74860e-05
1991-10-17, 5.37526e-04
1991-10-18, 5.39702e-04
1991-10-19, 2.16739e-04
1991-10-20, 1.59180e-04
1991-10-21, 1.16492e-04
1991-10-22, 1.06354e-04
1991-10-23, 1.85236e-04
1991-10-24, 2.02361e-04
1991-10-25, 1.65518e-04
1991-10-26, 1.79172e-04
1991-10-27, 1.47924e-04
1991-10-28, 9.35849e-05
1991-10-29, 1.03474e-04
1991-10-30, 2.12292e-04
1991-10-31, 2.59806e-04
1991-11-01, 1.40627e-04
1991-11-02, 1.09236e-04
1991-11-03, 1.08318e-04
1991-11-04, 1.55204e-04
1991-11-05, 1.77858e-04
1991-11-06, 2.18052e-04
1991-11-07, 2.62417e-04
1991-11-08, 4.70873e-04
