date, weight 
1991-01-01, 8.62391e-07
1991-01-02, 5.13954e-07
1991-01-03, 3.78172e-07
1991-01-04, 3.06687e-07
1991-01-05, 2.61716e-07
1991-01-06, 2.30225e-07
1991-01-07, 2.07575e-07
1991-01-08, 1.09407e-06
1991-01-09, 4.24511e-06
1991-01-10, 2.50344e-06
1991-01-11, 8.47656e-07
1991-01-12, 6.43659e-07
1991-01-13, 8.40111e-07
1991-01-14, 1.28602e-06
1991-01-15, 1.03552e-06
1991-01-16, 8.16027e-07
1991-01-17, 1.86477e-06
1991-01-18, 1.29836e-06
1991-01-19, 5.95483e-07
1991-01-20, 1.74879e-06
1991-01-21, 3.18422e-06
1991-01-22, 2.17806e-06
1991-01-23, 1.38281e-06
1991-01-24, 2.40239e-06
1991-01-25, 9.01655e-06
1991-01-26, 1.47469e-05
1991-01-27, 8.21725e-06
1991-01-28, 4.50776e-06
1991-01-29, 4.67024e-06
1991-01-30, 2.73993e-06
1991-01-31, 1.48193e-06
1991-02-01, 1.40443e-06
1991-02-02, 2.54035e-06
1991-02-03, 2.34138e-06
1991-02-04, 2.60066e-06
1991-02-05, 4.90297e-06
1991-02-06, 4.11156e-06
1991-02-07, 4.14249e-06
1991-02-08, 7.26287e-06
1991-02-09, 6.36401e-06
1991-02-10, 3.02963e-06
1991-02-11, 1.28566e-06
1991-02-12, 8.06896e-07
1991-02-13, 7.17821e-07
1991-02-14, 6.84864e-07
1991-02-15, 2.30683e-06
1991-02-16, 2.91995e-06
1991-02-17, 1.54409e-06
1991-02-18, 1.44696e-06
1991-02-19, 9.00087e-07
1991-02-20, 4.74872e-07
1991-02-21, 3.16732e-07
1991-02-22, 2.47613e-07
1991-02-23, 1.93534e-07
1991-02-24, 1.61160e-07
1991-02-25, 2.61044e-07
1991-02-26, 5.34188e-07
1991-02-27, 5.78530e-07
1991-02-28, 5.30024e-06
1991-03-01, 4.40117e-05
1991-03-02, 3.25332e-05
1991-03-03, 1.52713e-05
1991-03-04, 1.29288e-05
1991-03-05, 1.54566e-05
1991-03-06, 9.61786e-06
1991-03-07, 6.57788e-06
1991-03-08, 4.08529e-06
1991-03-09, 3.56022e-06
1991-03-10, 3.85948e-06
1991-03-11, 3.89215e-06
1991-03-12, 9.20975e-06
1991-03-13, 1.98259e-05
1991-03-14, 2.38660e-05
1991-03-15, 3.36897e-05
1991-03-16, 4.99234e-05
1991-03-17, 4.79393e-05
1991-03-18, 2.31230e-05
1991-03-19, 1.09029e-05
1991-03-20, 6.18006e-06
1991-03-21, 4.32093e-06
1991-03-22, 3.30223e-06
1991-03-23, 3.14574e-06
1991-03-24, 4.45239e-06
1991-03-25, 3.32527e-06
1991-03-26, 2.31115e-06
1991-03-27, 1.86219e-06
1991-03-28, 2.18045e-06
1991-03-29, 2.06437e-06
1991-03-30, 2.08740e-06
1991-03-31, 4.19527e-06
1991-04-01, 1.82224e-05
1991-04-02, 3.38494e-05
1991-04-03, 4.81947e-05
1991-04-04, 1.06484e-04
1991-04-05, 7.29504e-05
1991-04-06, 2.60401e-05
1991-04-07, 1.68050e-05
1991-04-08, 2.25856e-05
1991-04-09, 4.04942e-05
1991-04-10, 9.27077e-05
1991-04-11, 9.78514e-05
1991-04-12, 4.57058e-05
1991-04-13, 5.95406e-05
1991-04-14, 1.03121e-04
1991-04-15, 6.81351e-05
1991-04-16, 3.00501e-05
1991-04-17, 3.53672e-05
1991-04-18, 8.07171e-05
1991-04-19, 1.22242e-04
1991-04-20, 1.22058e-04
1991-04-21, 1.45468e-04
1991-04-22, 2.53734e-04
1991-04-23, 3.90394e-04
1991-04-24, 3.81728e-04
1991-04-25, 3.01573e-04
1991-04-26, 3.01285e-04
1991-04-27, 3.09995e-04
1991-04-28, 2.74533e-04
1991-04-29, 2.51439e-04
1991-04-30, 2.19857e-04
1991-05-01, 2.00984e-04
1991-05-02, 2.32424e-04
1991-05-03, 3.75259e-04
1991-05-04, 4.13020e-04
1991-05-05, 3.40936e-04
1991-05-06, 3.56135e-04
1991-05-07, 5.03627e-04
1991-05-08, 5.50152e-04
1991-05-09, 4.50359e-04
1991-05-10, 4.15873e-04
1991-05-11, 4.43856e-04
1991-05-12, 4.85047e-04
1991-05-13, 7.09220e-04
1991-05-14, 9.56107e-04
1991-05-15, 9.94026e-04
1991-05-16, 9.47991e-04
1991-05-17, 9.70543e-04
1991-05-18, 0.00123
1991-05-19, 0.00128
1991-05-20, 0.00114
1991-05-21, 0.00104
1991-05-22, 8.73714e-04
1991-05-23, 5.89550e-04
1991-05-24, 4.93094e-04
1991-05-25, 7.20868e-04
1991-05-26, 0.00105
1991-05-27, 0.00115
1991-05-28, 0.00102
1991-05-29, 9.77728e-04
1991-05-30, 0.00106
1991-05-31, 0.00107
1991-06-01, 0.00107
1991-06-02, 0.00109
1991-06-03, 0.00116
1991-06-04, 0.00115
1991-06-05, 0.00123
1991-06-06, 0.00133
1991-06-07, 0.00113
1991-06-08, 8.07022e-04
1991-06-09, 6.62221e-04
1991-06-10, 5.82528e-04
1991-06-11, 4.92368e-04
1991-06-12, 4.95272e-04
1991-06-13, 5.28029e-04
1991-06-14, 5.79164e-04
1991-06-15, 6.94122e-04
1991-06-16, 7.29421e-04
1991-06-17, 7.70101e-04
1991-06-18, 7.25080e-04
1991-06-19, 5.58828e-04
