date, Precipitation Correction $W$, Rain-Snow Partitioning $V$, Percolation $U$, Potential Melt $T$, Convolution (dlyd runoff) $S$, Convolution (srfc runoff) $R$, Snow Balance $Q$, Baseflow $P$, Evaporation $O$, Quickflow $N$, Infiltration $M$
1991-01-01, 0.00549, 0.04940, 0.13626, 0.08685, 0.00047, 0.00163, 0.04931, 0.03347, 0.09591, 0.45315, 0.08807
1991-01-02, 0.00620, 0.06528, 0.13436, 0.07986, 0.00055, 0.00177, 0.05611, 0.03313, 0.09412, 0.44303, 0.08560
1991-01-03, 0.00777, 0.05359, 0.13397, 0.07315, 0.00058, 0.00143, 0.07531, 0.03378, 0.09259, 0.44416, 0.08368
1991-01-04, 0.00630, 0.05832, 0.13263, 0.09141, 0.00054, 0.00136, 0.06723, 0.03321, 0.09138, 0.43513, 0.08249
1991-01-05, 0.00576, 0.05021, 0.12788, 0.11850, 0.00050, 0.00138, 0.07651, 0.03101, 0.08833, 0.41995, 0.07997
1991-01-06, 0.00662, 0.06025, 0.12858, 0.10516, 0.00047, 0.00126, 0.07926, 0.03120, 0.08835, 0.41929, 0.07958
1991-01-07, 0.00679, 0.06703, 0.13161, 0.11446, 0.00038, 0.00089, 0.07540, 0.03341, 0.08860, 0.40224, 0.07919
1991-01-08, 0.00773, 0.06573, 0.12914, 0.12173, 0.00039, 0.00060, 0.07511, 0.03360, 0.08504, 0.40505, 0.07587
1991-01-09, 0.00771, 0.06773, 0.12686, 0.11709, 0.00049, 0.00056, 0.07715, 0.03193, 0.08455, 0.40889, 0.07704
1991-01-10, 0.00752, 0.06251, 0.13160, 0.10692, 0.00055, 0.00054, 0.07304, 0.03389, 0.08650, 0.41850, 0.07843
1991-01-11, 0.00817, 0.06061, 0.13784, 0.09265, 0.00058, 0.00049, 0.07122, 0.03616, 0.08967, 0.42212, 0.08049
1991-01-12, 0.00865, 0.06542, 0.12043, 0.13229, 0.00060, 0.00043, 0.10564, 0.03022, 0.07958, 0.38517, 0.07156
1991-01-13, 0.00893, 0.06610, 0.12060, 0.13221, 0.00063, 0.00051, 0.10213, 0.02966, 0.08053, 0.38640, 0.07231
1991-01-14, 0.00998, 0.09566, 0.10589, 0.11194, 0.00068, 0.00052, 0.14582, 0.02521, 0.07232, 0.36663, 0.06536
1991-01-15, 0.00945, 0.09089, 0.09560, 0.14276, 0.00070, 0.00041, 0.15587, 0.02114, 0.06797, 0.35309, 0.06213
1991-01-16, 0.00859, 0.07318, 0.10058, 0.16132, 0.00075, 0.00041, 0.13568, 0.02150, 0.07240, 0.35884, 0.06675
1991-01-17, 0.00833, 0.07369, 0.10561, 0.15789, 0.00079, 0.00080, 0.12699, 0.02394, 0.07417, 0.35986, 0.06793
1991-01-18, 0.00858, 0.06803, 0.11123, 0.15176, 0.00080, 0.00100, 0.12080, 0.02642, 0.07613, 0.36612, 0.06913
1991-01-19, 0.00844, 0.05823, 0.11506, 0.14833, 0.00070, 0.00081, 0.12214, 0.02639, 0.07927, 0.36852, 0.07211
1991-01-20, 0.00775, 0.05246, 0.12086, 0.14773, 0.00077, 0.00075, 0.10431, 0.02834, 0.08200, 0.38096, 0.07408
1991-01-21, 0.00808, 0.05261, 0.12342, 0.14743, 0.00085, 0.00076, 0.09658, 0.03003, 0.08190, 0.38503, 0.07330
1991-01-22, 0.00709, 0.05178, 0.12783, 0.13656, 0.00093, 0.00085, 0.08929, 0.03177, 0.08366, 0.39566, 0.07458
1991-01-23, 0.00666, 0.05676, 0.13127, 0.11957, 0.00099, 0.00092, 0.08948, 0.03302, 0.08483, 0.40142, 0.07509
1991-01-24, 0.00631, 0.05163, 0.12526, 0.13625, 0.00091, 0.00082, 0.09875, 0.03038, 0.08231, 0.39417, 0.07321
1991-01-25, 0.00600, 0.04108, 0.12962, 0.13720, 0.00082, 0.00077, 0.08863, 0.03152, 0.08472, 0.40433, 0.07530
1991-01-26, 0.00627, 0.03631, 0.12603, 0.16224, 0.00076, 0.00077, 0.09798, 0.02978, 0.08225, 0.38472, 0.07289
1991-01-27, 0.00682, 0.03338, 0.12329, 0.17850, 0.00079, 0.00088, 0.09325, 0.02854, 0.08063, 0.38278, 0.07114
1991-01-28, 0.00786, 0.03217, 0.12487, 0.17203, 0.00082, 0.00110, 0.09263, 0.02832, 0.08201, 0.38543, 0.07275
1991-01-29, 0.01042, 0.05248, 0.12242, 0.17156, 0.00076, 0.00105, 0.10607, 0.02863, 0.07859, 0.35898, 0.06904
1991-01-30, 0.01110, 0.05997, 0.12168, 0.16159, 0.00084, 0.00122, 0.11007, 0.02840, 0.07841, 0.35735, 0.06937
1991-01-31, 0.01021, 0.06298, 0.11770, 0.16992, 0.00080, 0.00114, 0.11996, 0.02653, 0.07673, 0.34558, 0.06844
1991-02-01, 0.01149, 0.05598, 0.09781, 0.20083, 0.00085, 0.00099, 0.14730, 0.01865, 0.06838, 0.33489, 0.06284
1991-02-02, 0.01300, 0.07504, 0.08646, 0.21771, 0.00085, 0.00084, 0.16566, 0.01623, 0.05969, 0.31009, 0.05442
1991-02-03, 0.01224, 0.07820, 0.07486, 0.24202, 0.00086, 0.00080, 0.17692, 0.01228, 0.05627, 0.29385, 0.05170
1991-02-04, 0.01245, 0.05871, 0.08473, 0.25037, 0.00087, 0.00087, 0.15885, 0.01482, 0.06310, 0.29782, 0.05740
