date, weight 
1991-01-01, 3.93968e-06
1991-01-02, 3.31748e-06
1991-01-03, 5.30702e-06
1991-01-04, 6.71437e-06
1991-01-05, 7.19408e-06
1991-01-06, 6.71974e-06
1991-01-07, 6.66904e-06
1991-01-08, 6.25832e-06
1991-01-09, 7.79978e-06
1991-01-10, 1.15451e-05
1991-01-11, 8.00243e-06
1991-01-12, 4.90183e-06
1991-01-13, 2.42955e-05
1991-01-14, 7.14527e-05
1991-01-15, 5.63466e-05
1991-01-16, 3.56499e-05
1991-01-17, 3.39675e-05
1991-01-18, 1.84716e-05
1991-01-19, 1.08515e-05
1991-01-20, 2.58766e-05
1991-01-21, 3.86066e-05
1991-01-22, 3.02379e-05
1991-01-23, 2.30406e-05
1991-01-24, 3.39667e-05
1991-01-25, 7.46148e-05
1991-01-26, 9.75734e-05
1991-01-27, 5.35852e-05
1991-01-28, 2.29541e-05
1991-01-29, 2.42763e-05
1991-01-30, 2.34532e-05
1991-01-31, 2.67259e-05
1991-02-01, 4.20990e-05
1991-02-02, 4.12576e-05
1991-02-03, 5.84534e-05
1991-02-04, 8.84545e-05
1991-02-05, 1.03930e-04
1991-02-06, 1.20771e-04
1991-02-07, 8.32043e-05
1991-02-08, 6.45428e-05
1991-02-09, 6.37556e-05
1991-02-10, 4.23396e-05
1991-02-11, 2.71414e-05
1991-02-12, 2.54218e-05
1991-02-13, 2.53814e-05
1991-02-14, 2.63765e-05
1991-02-15, 3.70066e-05
1991-02-16, 5.35077e-05
1991-02-17, 4.95426e-05
1991-02-18, 4.28668e-05
1991-02-19, 3.49694e-05
1991-02-20, 2.51788e-05
1991-02-21, 2.63419e-05
1991-02-22, 3.83704e-05
1991-02-23, 3.88134e-05
1991-02-24, 2.40131e-05
1991-02-25, 1.14756e-05
1991-02-26, 1.20803e-05
1991-02-27, 1.71366e-05
1991-02-28, 3.94747e-05
1991-03-01, 1.18284e-04
1991-03-02, 1.20027e-04
1991-03-03, 1.01634e-04
1991-03-04, 1.57162e-04
1991-03-05, 1.90966e-04
1991-03-06, 1.26082e-04
1991-03-07, 1.10225e-04
1991-03-08, 1.31143e-04
1991-03-09, 1.58553e-04
1991-03-10, 1.31465e-04
1991-03-11, 1.05755e-04
1991-03-12, 1.45033e-04
1991-03-13, 2.11588e-04
1991-03-14, 2.12566e-04
1991-03-15, 2.33143e-04
1991-03-16, 2.83594e-04
1991-03-17, 3.26462e-04
1991-03-18, 2.40787e-04
1991-03-19, 1.55199e-04
1991-03-20, 1.04249e-04
1991-03-21, 8.81573e-05
1991-03-22, 1.11957e-04
1991-03-23, 1.56740e-04
1991-03-24, 2.03890e-04
1991-03-25, 1.95990e-04
1991-03-26, 1.83903e-04
1991-03-27, 1.40824e-04
1991-03-28, 1.19680e-04
1991-03-29, 1.33392e-04
1991-03-30, 1.64635e-04
1991-03-31, 2.63255e-04
1991-04-01, 5.05650e-04
1991-04-02, 5.04784e-04
1991-04-03, 4.55333e-04
1991-04-04, 4.89592e-04
1991-04-05, 4.73629e-04
1991-04-06, 3.72049e-04
1991-04-07, 2.78358e-04
1991-04-08, 3.42518e-04
1991-04-09, 4.80573e-04
1991-04-10, 7.99516e-04
1991-04-11, 7.47035e-04
1991-04-12, 4.42434e-04
1991-04-13, 4.64875e-04
1991-04-14, 5.27318e-04
1991-04-15, 5.27289e-04
1991-04-16, 3.96748e-04
1991-04-17, 3.40421e-04
1991-04-18, 5.56481e-04
1991-04-19, 9.32498e-04
1991-04-20, 9.57100e-04
1991-04-21, 9.24002e-04
1991-04-22, 0.00105
1991-04-23, 0.00127
1991-04-24, 0.00120
1991-04-25, 0.00112
1991-04-26, 0.00121
1991-04-27, 9.78021e-04
1991-04-28, 8.22878e-04
1991-04-29, 9.37599e-04
1991-04-30, 8.44633e-04
1991-05-01, 6.85612e-04
1991-05-02, 6.21185e-04
1991-05-03, 7.04603e-04
1991-05-04, 7.81356e-04
1991-05-05, 7.43682e-04
1991-05-06, 6.35672e-04
1991-05-07, 5.50708e-04
1991-05-08, 5.95403e-04
1991-05-09, 5.62108e-04
1991-05-10, 4.51762e-04
1991-05-11, 4.22569e-04
1991-05-12, 4.05912e-04
1991-05-13, 4.43531e-04
1991-05-14, 6.22539e-04
1991-05-15, 7.60313e-04
1991-05-16, 6.33672e-04
1991-05-17, 5.30558e-04
1991-05-18, 5.45903e-04
1991-05-19, 4.98278e-04
1991-05-20, 4.17072e-04
1991-05-21, 3.72703e-04
1991-05-22, 3.58750e-04
1991-05-23, 2.87682e-04
1991-05-24, 2.06740e-04
1991-05-25, 1.73783e-04
1991-05-26, 1.74781e-04
1991-05-27, 1.58718e-04
1991-05-28, 1.35409e-04
1991-05-29, 1.37919e-04
1991-05-30, 1.23077e-04
1991-05-31, 8.97221e-05
1991-06-01, 7.12860e-05
1991-06-02, 6.51641e-05
1991-06-03, 5.96793e-05
1991-06-04, 4.53180e-05
1991-06-05, 5.05459e-05
1991-06-06, 7.65568e-05
1991-06-07, 6.30655e-05
1991-06-08, 3.96215e-05
1991-06-09, 2.55464e-05
1991-06-10, 3.40107e-05
1991-06-11, 4.99495e-05
1991-06-12, 3.60159e-05
1991-06-13, 3.92872e-05
1991-06-14, 5.25865e-05
1991-06-15, 6.43844e-05
1991-06-16, 4.73634e-05
1991-06-17, 3.61242e-05
1991-06-18, 6.44087e-05
1991-06-19, 7.17235e-05
1991-06-20, 4.53081e-05
1991-06-21, 3.89763e-05
1991-06-22, 3.05821e-05
1991-06-23, 3.51774e-05
1991-06-24, 3.08452e-05
1991-06-25, 3.29781e-05
1991-06-26, 4.21340e-05
1991-06-27, 3.02321e-05
1991-06-28, 3.16292e-05
1991-06-29, 4.29562e-05
1991-06-30, 4.26837e-05
1991-07-01, 4.97662e-05
1991-07-02, 6.44919e-05
1991-07-03, 7.30072e-05
1991-07-04, 6.34916e-05
1991-07-05, 5.48649e-05
1991-07-06, 6.61829e-05
1991-07-07, 8.45184e-05
1991-07-08, 9.00168e-05
1991-07-09, 6.55807e-05
1991-07-10, 5.88543e-05
1991-07-11, 4.62214e-05
1991-07-12, 5.00760e-05
1991-07-13, 6.26400e-05
1991-07-14, 5.41111e-05
1991-07-15, 4.10490e-05
1991-07-16, 2.97669e-05
1991-07-17, 3.43568e-05
1991-07-18, 9.64060e-05
1991-07-19, 1.43869e-04
1991-07-20, 9.85659e-05
1991-07-21, 6.31639e-05
1991-07-22, 3.35882e-05
1991-07-23, 3.15485e-05
1991-07-24, 2.54650e-05
1991-07-25, 2.73418e-05
1991-07-26, 4.63050e-05
1991-07-27, 4.56829e-05
1991-07-28, 2.87274e-05
1991-07-29, 4.88975e-05
1991-07-30, 6.31682e-05
1991-07-31, 4.63891e-05
1991-08-01, 2.84809e-05
1991-08-02, 2.39522e-05
1991-08-03, 1.71162e-05
1991-08-04, 2.36606e-05
1991-08-05, 4.25502e-05
1991-08-06, 5.46652e-05
1991-08-07, 4.65821e-05
1991-08-08, 4.48588e-05
1991-08-09, 2.89191e-05
1991-08-10, 2.38390e-05
1991-08-11, 4.71939e-05
1991-08-12, 5.32013e-05
1991-08-13, 3.64430e-05
