date, weight 
1991-01-01, 4.41721e-06
1991-01-02, 3.61818e-06
1991-01-03, 5.09625e-06
1991-01-04, 6.94449e-06
1991-01-05, 6.32016e-06
1991-01-06, 5.25136e-06
1991-01-07, 5.97451e-06
1991-01-08, 6.12650e-06
1991-01-09, 8.15735e-06
1991-01-10, 1.41303e-05
1991-01-11, 8.78775e-06
1991-01-12, 6.27927e-06
1991-01-13, 2.65558e-05
1991-01-14, 8.87421e-05
1991-01-15, 7.41043e-05
1991-01-16, 4.10423e-05
1991-01-17, 4.49627e-05
1991-01-18, 2.51346e-05
1991-01-19, 1.27746e-05
1991-01-20, 4.12869e-05
1991-01-21, 8.30640e-05
1991-01-22, 8.06688e-05
1991-01-23, 6.91240e-05
1991-01-24, 7.43169e-05
1991-01-25, 1.10177e-04
1991-01-26, 1.17646e-04
1991-01-27, 6.43933e-05
1991-01-28, 3.20189e-05
1991-01-29, 2.79570e-05
1991-01-30, 2.75146e-05
1991-01-31, 4.23342e-05
1991-02-01, 6.82141e-05
1991-02-02, 5.93814e-05
1991-02-03, 6.56179e-05
1991-02-04, 1.02142e-04
1991-02-05, 1.33160e-04
1991-02-06, 1.51303e-04
1991-02-07, 9.65933e-05
1991-02-08, 7.50301e-05
1991-02-09, 7.14529e-05
1991-02-10, 5.33298e-05
1991-02-11, 4.25075e-05
1991-02-12, 4.43621e-05
1991-02-13, 4.01168e-05
1991-02-14, 4.13238e-05
1991-02-15, 5.11197e-05
1991-02-16, 8.20095e-05
1991-02-17, 7.50777e-05
1991-02-18, 7.10336e-05
1991-02-19, 6.46736e-05
1991-02-20, 4.38520e-05
1991-02-21, 5.32371e-05
1991-02-22, 7.39378e-05
1991-02-23, 6.19800e-05
1991-02-24, 3.00332e-05
1991-02-25, 1.55977e-05
1991-02-26, 1.86098e-05
1991-02-27, 2.70267e-05
1991-02-28, 3.19435e-05
1991-03-01, 1.03851e-04
1991-03-02, 1.15026e-04
1991-03-03, 1.13363e-04
1991-03-04, 2.08576e-04
1991-03-05, 2.49538e-04
1991-03-06, 1.59734e-04
1991-03-07, 1.43140e-04
1991-03-08, 1.75133e-04
1991-03-09, 2.32932e-04
1991-03-10, 1.83365e-04
1991-03-11, 1.40736e-04
1991-03-12, 1.72172e-04
1991-03-13, 2.35063e-04
1991-03-14, 2.51216e-04
1991-03-15, 2.78354e-04
1991-03-16, 3.55445e-04
1991-03-17, 4.38418e-04
1991-03-18, 3.30819e-04
1991-03-19, 2.10378e-04
1991-03-20, 1.44343e-04
1991-03-21, 1.52634e-04
1991-03-22, 1.85535e-04
1991-03-23, 2.11975e-04
1991-03-24, 2.60600e-04
1991-03-25, 2.90627e-04
1991-03-26, 3.18296e-04
1991-03-27, 2.31037e-04
1991-03-28, 1.78182e-04
1991-03-29, 2.01330e-04
1991-03-30, 2.36324e-04
1991-03-31, 3.37447e-04
1991-04-01, 6.72416e-04
1991-04-02, 6.52297e-04
1991-04-03, 5.76654e-04
1991-04-04, 6.07817e-04
1991-04-05, 5.61532e-04
1991-04-06, 4.36891e-04
1991-04-07, 3.16397e-04
1991-04-08, 3.39917e-04
1991-04-09, 5.24592e-04
1991-04-10, 8.83555e-04
1991-04-11, 8.28191e-04
1991-04-12, 5.28395e-04
1991-04-13, 5.33603e-04
1991-04-14, 6.42690e-04
1991-04-15, 7.21265e-04
1991-04-16, 5.13275e-04
1991-04-17, 3.96279e-04
1991-04-18, 6.54607e-04
1991-04-19, 0.00111
1991-04-20, 0.00114
1991-04-21, 9.82281e-04
1991-04-22, 0.00102
1991-04-23, 0.00119
1991-04-24, 0.00100
1991-04-25, 8.92260e-04
1991-04-26, 0.00104
1991-04-27, 9.20935e-04
1991-04-28, 7.86895e-04
1991-04-29, 8.65894e-04
1991-04-30, 7.35418e-04
1991-05-01, 6.24874e-04
1991-05-02, 5.90087e-04
1991-05-03, 6.26792e-04
1991-05-04, 6.94885e-04
1991-05-05, 6.45864e-04
1991-05-06, 5.06961e-04
1991-05-07, 4.18356e-04
1991-05-08, 4.41618e-04
1991-05-09, 3.90560e-04
1991-05-10, 3.03884e-04
1991-05-11, 2.74973e-04
1991-05-12, 2.73630e-04
1991-05-13, 2.96031e-04
1991-05-14, 4.04191e-04
1991-05-15, 4.89225e-04
1991-05-16, 4.02134e-04
1991-05-17, 3.38997e-04
1991-05-18, 3.41966e-04
1991-05-19, 2.97017e-04
1991-05-20, 2.27612e-04
1991-05-21, 1.98524e-04
1991-05-22, 1.87036e-04
1991-05-23, 1.26318e-04
1991-05-24, 8.16787e-05
1991-05-25, 6.61328e-05
1991-05-26, 7.20247e-05
1991-05-27, 6.72363e-05
1991-05-28, 5.48806e-05
1991-05-29, 6.49709e-05
1991-05-30, 5.77241e-05
1991-05-31, 4.01644e-05
1991-06-01, 3.94196e-05
1991-06-02, 4.03011e-05
1991-06-03, 4.18590e-05
1991-06-04, 3.13360e-05
1991-06-05, 3.80875e-05
1991-06-06, 7.28186e-05
1991-06-07, 7.38821e-05
1991-06-08, 4.41691e-05
1991-06-09, 2.44783e-05
1991-06-10, 4.17557e-05
1991-06-11, 6.70229e-05
1991-06-12, 4.09307e-05
1991-06-13, 3.75837e-05
1991-06-14, 5.72708e-05
1991-06-15, 7.86560e-05
1991-06-16, 5.38332e-05
1991-06-17, 4.01916e-05
1991-06-18, 7.71950e-05
1991-06-19, 9.58002e-05
1991-06-20, 5.66984e-05
1991-06-21, 3.74796e-05
1991-06-22, 2.81300e-05
1991-06-23, 4.48681e-05
1991-06-24, 4.17031e-05
1991-06-25, 5.17493e-05
1991-06-26, 5.51274e-05
1991-06-27, 4.02949e-05
1991-06-28, 6.52636e-05
1991-06-29, 6.77437e-05
1991-06-30, 5.06442e-05
1991-07-01, 7.10569e-05
1991-07-02, 1.07054e-04
1991-07-03, 1.01239e-04
1991-07-04, 7.45616e-05
1991-07-05, 6.91699e-05
1991-07-06, 6.75837e-05
1991-07-07, 7.96269e-05
1991-07-08, 7.77910e-05
1991-07-09, 5.72959e-05
1991-07-10, 6.15955e-05
1991-07-11, 5.00815e-05
1991-07-12, 4.96578e-05
1991-07-13, 6.89608e-05
1991-07-14, 5.00303e-05
1991-07-15, 4.29767e-05
1991-07-16, 4.08360e-05
1991-07-17, 4.76711e-05
