date, weight 
1991-01-01, 1.22743e-06
1991-01-02, 1.18392e-06
1991-01-03, 1.63041e-06
1991-01-04, 1.74099e-06
1991-01-05, 1.36286e-06
1991-01-06, 2.13328e-06
1991-01-07, 2.33883e-06
1991-01-08, 1.58705e-06
1991-01-09, 2.86001e-06
1991-01-10, 2.19327e-06
1991-01-11, 8.67594e-07
1991-01-12, 1.16165e-06
1991-01-13, 8.72131e-06
1991-01-14, 3.85780e-05
1991-01-15, 2.70129e-05
1991-01-16, 7.52477e-06
1991-01-17, 4.63564e-06
1991-01-18, 2.68417e-06
1991-01-19, 1.47464e-06
1991-01-20, 2.67555e-06
1991-01-21, 7.55541e-06
1991-01-22, 1.43309e-05
1991-01-23, 2.57331e-05
1991-01-24, 5.37498e-05
1991-01-25, 1.03108e-04
1991-01-26, 1.25128e-04
1991-01-27, 6.10661e-05
1991-01-28, 2.07766e-05
1991-01-29, 1.33998e-05
1991-01-30, 8.45308e-06
1991-01-31, 7.29098e-06
1991-02-01, 1.08148e-05
1991-02-02, 1.62435e-05
1991-02-03, 3.30609e-05
1991-02-04, 6.19180e-05
1991-02-05, 7.36777e-05
1991-02-06, 5.37637e-05
1991-02-07, 2.32627e-05
1991-02-08, 1.53547e-05
1991-02-09, 1.55996e-05
1991-02-10, 1.51391e-05
1991-02-11, 6.60387e-06
1991-02-12, 4.53385e-06
1991-02-13, 3.34512e-06
1991-02-14, 4.60119e-06
1991-02-15, 5.36091e-06
1991-02-16, 7.57669e-06
1991-02-17, 2.30398e-05
1991-02-18, 4.39336e-05
1991-02-19, 3.75448e-05
1991-02-20, 1.52647e-05
1991-02-21, 1.64650e-05
1991-02-22, 1.97607e-05
1991-02-23, 9.48549e-06
1991-02-24, 5.62641e-06
1991-02-25, 6.89694e-06
1991-02-26, 7.97017e-06
1991-02-27, 2.00358e-05
1991-02-28, 4.47251e-05
1991-03-01, 9.68412e-05
1991-03-02, 6.68799e-05
1991-03-03, 7.30617e-05
1991-03-04, 1.45373e-04
1991-03-05, 1.59987e-04
1991-03-06, 1.18343e-04
1991-03-07, 1.56500e-04
1991-03-08, 1.96784e-04
1991-03-09, 2.04091e-04
1991-03-10, 1.34418e-04
