date, weight 
1991-01-01, 4.36113e-06
1991-01-02, 3.29409e-06
1991-01-03, 3.18842e-06
1991-01-04, 3.58590e-06
1991-01-05, 3.11998e-06
1991-01-06, 3.85771e-06
1991-01-07, 4.38477e-06
1991-01-08, 6.47002e-06
1991-01-09, 7.70854e-06
1991-01-10, 6.32218e-06
1991-01-11, 4.34208e-06
1991-01-12, 3.69262e-06
1991-01-13, 1.65132e-05
1991-01-14, 4.25460e-05
1991-01-15, 3.57278e-05
1991-01-16, 2.33359e-05
1991-01-17, 2.22858e-05
1991-01-18, 1.34355e-05
1991-01-19, 6.16070e-06
1991-01-20, 1.15841e-05
1991-01-21, 2.62237e-05
1991-01-22, 4.07430e-05
1991-01-23, 4.46659e-05
1991-01-24, 5.87452e-05
1991-01-25, 1.03035e-04
1991-01-26, 1.14060e-04
1991-01-27, 6.80734e-05
1991-01-28, 4.01072e-05
1991-01-29, 3.71162e-05
1991-01-30, 2.63257e-05
1991-01-31, 2.96438e-05
1991-02-01, 5.15081e-05
1991-02-02, 5.61689e-05
1991-02-03, 5.70494e-05
1991-02-04, 7.79745e-05
1991-02-05, 1.16990e-04
1991-02-06, 1.16265e-04
1991-02-07, 7.08759e-05
1991-02-08, 4.15507e-05
1991-02-09, 4.99841e-05
1991-02-10, 6.02276e-05
1991-02-11, 5.02942e-05
1991-02-12, 4.02145e-05
1991-02-13, 2.86917e-05
1991-02-14, 2.65421e-05
1991-02-15, 2.97114e-05
1991-02-16, 4.55088e-05
1991-02-17, 4.68653e-05
1991-02-18, 4.60092e-05
1991-02-19, 5.05672e-05
1991-02-20, 3.04053e-05
1991-02-21, 3.44077e-05
1991-02-22, 6.44859e-05
1991-02-23, 5.60492e-05
1991-02-24, 2.31030e-05
1991-02-25, 1.15446e-05
1991-02-26, 1.24831e-05
1991-02-27, 1.50950e-05
1991-02-28, 1.93838e-05
1991-03-01, 6.07022e-05
1991-03-02, 7.66199e-05
1991-03-03, 7.99324e-05
1991-03-04, 1.53422e-04
1991-03-05, 1.81105e-04
1991-03-06, 1.12542e-04
1991-03-07, 9.60577e-05
1991-03-08, 1.05064e-04
1991-03-09, 1.46588e-04
1991-03-10, 1.13339e-04
1991-03-11, 9.35007e-05
1991-03-12, 1.36127e-04
1991-03-13, 2.36130e-04
1991-03-14, 2.68464e-04
1991-03-15, 2.71438e-04
1991-03-16, 3.56932e-04
1991-03-17, 3.94765e-04
1991-03-18, 2.69600e-04
1991-03-19, 1.69348e-04
1991-03-20, 1.15317e-04
1991-03-21, 1.31763e-04
1991-03-22, 1.33473e-04
1991-03-23, 1.49703e-04
1991-03-24, 1.96829e-04
1991-03-25, 2.40123e-04
1991-03-26, 2.90151e-04
1991-03-27, 2.12417e-04
1991-03-28, 1.40878e-04
1991-03-29, 1.33059e-04
1991-03-30, 1.63248e-04
1991-03-31, 2.50654e-04
1991-04-01, 5.03853e-04
1991-04-02, 5.30878e-04
1991-04-03, 5.19525e-04
1991-04-04, 5.47128e-04
1991-04-05, 4.72684e-04
1991-04-06, 3.75400e-04
1991-04-07, 2.87777e-04
1991-04-08, 3.64676e-04
1991-04-09, 5.49994e-04
1991-04-10, 8.17351e-04
1991-04-11, 7.69905e-04
1991-04-12, 5.16404e-04
1991-04-13, 5.25427e-04
1991-04-14, 6.27389e-04
1991-04-15, 6.13250e-04
1991-04-16, 4.32367e-04
1991-04-17, 3.57155e-04
1991-04-18, 5.82445e-04
1991-04-19, 9.77098e-04
1991-04-20, 0.00101
1991-04-21, 9.35141e-04
1991-04-22, 0.00107
1991-04-23, 0.00132
1991-04-24, 0.00117
1991-04-25, 0.00101
1991-04-26, 0.00115
1991-04-27, 0.00111
1991-04-28, 9.69997e-04
1991-04-29, 9.50131e-04
1991-04-30, 7.74574e-04
1991-05-01, 6.18557e-04
1991-05-02, 5.92693e-04
1991-05-03, 6.50036e-04
1991-05-04, 7.16813e-04
1991-05-05, 6.72269e-04
1991-05-06, 5.78976e-04
1991-05-07, 5.67946e-04
1991-05-08, 6.09411e-04
1991-05-09, 5.23707e-04
1991-05-10, 4.49156e-04
1991-05-11, 4.22864e-04
1991-05-12, 4.08206e-04
1991-05-13, 4.31061e-04
1991-05-14, 5.72684e-04
1991-05-15, 6.87743e-04
1991-05-16, 6.12958e-04
1991-05-17, 5.27111e-04
1991-05-18, 5.21436e-04
1991-05-19, 5.12064e-04
1991-05-20, 4.38582e-04
1991-05-21, 3.58361e-04
1991-05-22, 3.29682e-04
1991-05-23, 2.59487e-04
1991-05-24, 1.84604e-04
1991-05-25, 1.55985e-04
1991-05-26, 1.62610e-04
1991-05-27, 1.51300e-04
1991-05-28, 1.09566e-04
1991-05-29, 1.00723e-04
1991-05-30, 8.90173e-05
1991-05-31, 6.89001e-05
1991-06-01, 5.90507e-05
1991-06-02, 5.95010e-05
1991-06-03, 6.25133e-05
1991-06-04, 3.87280e-05
1991-06-05, 3.79536e-05
1991-06-06, 6.73112e-05
1991-06-07, 8.36317e-05
1991-06-08, 5.21794e-05
1991-06-09, 2.93658e-05
1991-06-10, 4.33420e-05
1991-06-11, 6.34184e-05
1991-06-12, 4.50197e-05
1991-06-13, 3.49503e-05
1991-06-14, 3.75111e-05
1991-06-15, 5.24362e-05
1991-06-16, 4.28515e-05
1991-06-17, 2.91893e-05
1991-06-18, 4.33087e-05
1991-06-19, 6.34030e-05
1991-06-20, 5.41027e-05
1991-06-21, 3.42428e-05
1991-06-22, 2.77306e-05
1991-06-23, 4.33102e-05
1991-06-24, 3.80394e-05
1991-06-25, 5.66911e-05
1991-06-26, 5.91318e-05
1991-06-27, 4.37841e-05
1991-06-28, 5.55904e-05
1991-06-29, 4.25373e-05
1991-06-30, 3.49697e-05
1991-07-01, 4.30438e-05
1991-07-02, 7.03761e-05
1991-07-03, 6.46973e-05
1991-07-04, 4.61232e-05
1991-07-05, 4.97028e-05
1991-07-06, 5.15674e-05
1991-07-07, 6.40019e-05
1991-07-08, 6.15057e-05
1991-07-09, 3.84139e-05
1991-07-10, 5.64913e-05
1991-07-11, 6.62713e-05
1991-07-12, 6.81062e-05
1991-07-13, 6.21104e-05
1991-07-14, 4.39209e-05
1991-07-15, 4.12336e-05
1991-07-16, 4.30922e-05
1991-07-17, 5.27300e-05
1991-07-18, 9.53420e-05
1991-07-19, 9.80276e-05
1991-07-20, 5.61064e-05
1991-07-21, 4.07392e-05
1991-07-22, 3.27648e-05
1991-07-23, 4.08852e-05
1991-07-24, 3.00765e-05
1991-07-25, 2.85658e-05
1991-07-26, 3.84269e-05
1991-07-27, 4.58926e-05
1991-07-28, 3.64927e-05
1991-07-29, 3.81628e-05
1991-07-30, 3.08925e-05
1991-07-31, 3.05210e-05
1991-08-01, 2.26305e-05
1991-08-02, 1.52376e-05
1991-08-03, 1.84037e-05
1991-08-04, 2.17159e-05
1991-08-05, 2.96370e-05
1991-08-06, 3.63904e-05
1991-08-07, 5.24098e-05
1991-08-08, 5.98094e-05
1991-08-09, 3.65381e-05
1991-08-10, 4.12826e-05
1991-08-11, 4.51646e-05
1991-08-12, 5.15702e-05
1991-08-13, 4.55244e-05
1991-08-14, 2.08408e-05
1991-08-15, 1.33069e-05
1991-08-16, 1.56978e-05
1991-08-17, 2.29239e-05
1991-08-18, 2.24230e-05
1991-08-19, 1.42387e-05
1991-08-20, 2.45816e-05
1991-08-21, 2.50065e-05
1991-08-22, 3.12841e-05
1991-08-23, 4.11381e-05
1991-08-24, 2.83126e-05
1991-08-25, 2.09970e-05
1991-08-26, 3.31703e-05
1991-08-27, 4.52430e-05
1991-08-28, 6.22052e-05
1991-08-29, 4.01379e-05
1991-08-30, 4.31485e-05
1991-08-31, 5.23694e-05
1991-09-01, 6.21763e-05
1991-09-02, 7.48578e-05
1991-09-03, 4.99697e-05
1991-09-04, 5.01825e-05
1991-09-05, 4.60848e-05
1991-09-06, 2.79396e-05
1991-09-07, 3.42170e-05
1991-09-08, 3.31395e-05
1991-09-09, 3.87390e-05
1991-09-10, 3.70674e-05
1991-09-11, 2.25761e-05
1991-09-12, 2.16678e-05
1991-09-13, 2.04894e-05
1991-09-14, 1.65882e-05
1991-09-15, 2.16037e-05
1991-09-16, 2.65920e-05
1991-09-17, 2.43891e-05
1991-09-18, 2.96872e-05
1991-09-19, 2.94402e-05
1991-09-20, 4.29095e-05
1991-09-21, 4.63782e-05
1991-09-22, 4.26841e-05
1991-09-23, 2.40567e-05
1991-09-24, 1.70955e-05
1991-09-25, 2.45499e-05
1991-09-26, 2.39830e-05
1991-09-27, 2.66687e-05
1991-09-28, 2.12722e-05
1991-09-29, 1.66354e-05
1991-09-30, 3.63569e-05
1991-10-01, 4.28564e-05
1991-10-02, 3.21240e-05
1991-10-03, 3.48037e-05
1991-10-04, 2.77678e-05
1991-10-05, 2.50019e-05
1991-10-06, 2.11348e-05
1991-10-07, 1.94118e-05
1991-10-08, 1.89345e-05
1991-10-09, 1.38687e-05
1991-10-10, 1.80669e-05
1991-10-11, 1.76727e-05
1991-10-12, 1.43329e-05
1991-10-13, 1.52821e-05
1991-10-14, 2.12299e-05
1991-10-15, 2.68127e-05
1991-10-16, 4.28941e-05
1991-10-17, 5.31006e-05
1991-10-18, 4.96600e-05
1991-10-19, 3.70324e-05
1991-10-20, 3.25480e-05
1991-10-21, 5.22764e-05
1991-10-22, 5.88825e-05
1991-10-23, 3.25240e-05
1991-10-24, 6.53272e-05
1991-10-25, 5.71353e-05
1991-10-26, 2.17848e-05
1991-10-27, 2.19803e-05
1991-10-28, 3.18773e-05
