date, Precipitation Correction $W$, Rain-Snow Partitioning $V$, Percolation $U$, Potential Melt $T$, Convolution (dlyd runoff) $S$, Convolution (srfc runoff) $R$, Snow Balance $Q$, Baseflow $P$, Evaporation $O$, Quickflow $N$, Infiltration $M$
1991-01-01, 0.00776, 0.06087, 0.13049, 0.08204, 0.00079, 0.00230, 0.05442, 0.02781, 0.09987, 0.44411, 0.08954
1991-01-02, 0.00694, 0.05581, 0.13122, 0.09451, 0.00079, 0.00261, 0.05358, 0.02873, 0.09887, 0.43884, 0.08808
1991-01-03, 0.00771, 0.06899, 0.12632, 0.09466, 0.00070, 0.00176, 0.07959, 0.02834, 0.09374, 0.41645, 0.08175
1991-01-04, 0.00840, 0.06236, 0.11300, 0.14032, 0.00070, 0.00145, 0.09260, 0.02271, 0.08468, 0.39758, 0.07621
1991-01-05, 0.00846, 0.08160, 0.10247, 0.15190, 0.00074, 0.00125, 0.11744, 0.01963, 0.07774, 0.36799, 0.07076
1991-01-06, 0.00868, 0.08158, 0.10389, 0.15275, 0.00087, 0.00116, 0.11709, 0.02040, 0.07811, 0.36483, 0.07064
1991-01-07, 0.01186, 0.07783, 0.10488, 0.17153, 0.00068, 0.00090, 0.11421, 0.02103, 0.07800, 0.34899, 0.07009
1991-01-08, 0.01395, 0.07812, 0.10723, 0.16658, 0.00060, 0.00076, 0.10715, 0.02289, 0.07777, 0.35589, 0.06906
1991-01-09, 0.01855, 0.08028, 0.11097, 0.14608, 0.00071, 0.00073, 0.10424, 0.02463, 0.07918, 0.36494, 0.06969
1991-01-10, 0.01107, 0.09122, 0.11499, 0.13112, 0.00075, 0.00061, 0.10113, 0.02618, 0.08096, 0.37105, 0.07093
1991-01-11, 0.01050, 0.10195, 0.11232, 0.14699, 0.00075, 0.00043, 0.10736, 0.02598, 0.07840, 0.34714, 0.06819
1991-01-12, 0.01101, 0.08891, 0.10619, 0.18519, 0.00040, 0.00033, 0.11483, 0.02351, 0.07534, 0.32867, 0.06561
1991-01-13, 0.01049, 0.07821, 0.10737, 0.17707, 0.00030, 0.00046, 0.12340, 0.02300, 0.07687, 0.33580, 0.06703
1991-01-14, 0.01141, 0.07588, 0.10134, 0.18149, 0.00049, 0.00052, 0.13513, 0.02021, 0.07560, 0.33198, 0.06595
1991-01-15, 0.01250, 0.08698, 0.09512, 0.18292, 0.00057, 0.00051, 0.14554, 0.01905, 0.07042, 0.32548, 0.06091
1991-01-16, 0.01247, 0.07994, 0.09670, 0.18952, 0.00068, 0.00051, 0.13860, 0.01915, 0.07169, 0.32882, 0.06192
1991-01-17, 0.01226, 0.06809, 0.10554, 0.17699, 0.00074, 0.00064, 0.12709, 0.02175, 0.07695, 0.34380, 0.06615
1991-01-18, 0.01159, 0.06130, 0.11341, 0.16165, 0.00076, 0.00070, 0.11604, 0.02477, 0.08049, 0.36086, 0.06845
1991-01-19, 0.01089, 0.05989, 0.11262, 0.15915, 0.00068, 0.00069, 0.12613, 0.02372, 0.08038, 0.35706, 0.06879
1991-01-20, 0.01518, 0.06224, 0.10896, 0.16007, 0.00064, 0.00066, 0.13817, 0.02298, 0.07688, 0.34848, 0.06574
1991-01-21, 0.01451, 0.05527, 0.11467, 0.15031, 0.00060, 0.00056, 0.12227, 0.02395, 0.08057, 0.36816, 0.06913
1991-01-22, 0.01265, 0.04403, 0.11848, 0.16201, 0.00059, 0.00057, 0.10647, 0.02493, 0.08230, 0.37723, 0.07075
1991-01-23, 0.01296, 0.06270, 0.11830, 0.14801, 0.00058, 0.00058, 0.11509, 0.02598, 0.08031, 0.36744, 0.06806
1991-01-24, 0.01076, 0.06834, 0.12097, 0.13677, 0.00055, 0.00054, 0.11894, 0.02662, 0.08159, 0.36579, 0.06912
1991-01-25, 0.00850, 0.05679, 0.12532, 0.14797, 0.00055, 0.00052, 0.10433, 0.02726, 0.08437, 0.37280, 0.07158
1991-01-26, 0.00782, 0.06323, 0.12487, 0.14982, 0.00057, 0.00057, 0.09810, 0.02650, 0.08383, 0.37278, 0.07189
1991-01-27, 0.00783, 0.05818, 0.12359, 0.16601, 0.00064, 0.00068, 0.10357, 0.02713, 0.08093, 0.36318, 0.06825
1991-01-28, 0.00775, 0.03134, 0.13003, 0.16914, 0.00072, 0.00083, 0.09307, 0.02806, 0.08543, 0.38129, 0.07233
1991-01-29, 0.00867, 0.02990, 0.12971, 0.17471, 0.00076, 0.00088, 0.09397, 0.02849, 0.08434, 0.37730, 0.07126
1991-01-30, 0.00907, 0.03014, 0.13311, 0.16380, 0.00083, 0.00090, 0.10078, 0.02925, 0.08641, 0.37294, 0.07277
1991-01-31, 0.01007, 0.04554, 0.13294, 0.15881, 0.00076, 0.00079, 0.09532, 0.02796, 0.08768, 0.36511, 0.07501
1991-02-01, 0.01001, 0.04271, 0.11357, 0.19602, 0.00094, 0.00090, 0.10796, 0.02179, 0.07908, 0.35741, 0.06962
1991-02-02, 0.01392, 0.05139, 0.10196, 0.22895, 0.00086, 0.00075, 0.12320, 0.02013, 0.06979, 0.32825, 0.06081
1991-02-03, 0.01344, 0.04896, 0.09452, 0.24635, 0.00062, 0.00069, 0.13237, 0.01679, 0.06927, 0.31709, 0.05991
1991-02-04, 0.01174, 0.03522, 0.09045, 0.28713, 0.00054, 0.00082, 0.13138, 0.01500, 0.06889, 0.29902, 0.05981
1991-02-05, 0.01476, 0.03260, 0.08858, 0.28731, 0.00053, 0.00070, 0.14060, 0.01508, 0.06784, 0.29372, 0.05828
1991-02-06, 0.01638, 0.03687, 0.08890, 0.27717, 0.00060, 0.00059, 0.14341, 0.01538, 0.06641, 0.29650, 0.05780
1991-02-07, 0.01418, 0.04116, 0.08467, 0.29421, 0.00053, 0.00072, 0.14840, 0.01355, 0.06493, 0.28041, 0.05726
1991-02-08, 0.01255, 0.04242, 0.08694, 0.29203, 0.00064, 0.00091, 0.14780, 0.01425, 0.06681, 0.27821, 0.05745
1991-02-09, 0.01119, 0.04610, 0.08832, 0.27322, 0.00089, 0.00107, 0.14996, 0.01343, 0.06870, 0.28747, 0.05964
1991-02-10, 0.00918, 0.03848, 0.09296, 0.26325, 0.00117, 0.00135, 0.13987, 0.01447, 0.07106, 0.30660, 0.06160
1991-02-11, 0.00993, 0.04193, 0.09646, 0.23427, 0.00135, 0.00167, 0.14373, 0.01563, 0.07267, 0.31925, 0.06310
1991-02-12, 0.00993, 0.03357, 0.10829, 0.21681, 0.00146, 0.00188, 0.12197, 0.01874, 0.07936, 0.34018, 0.06780
1991-02-13, 0.01121, 0.04500, 0.10493, 0.21360, 0.00143, 0.00194, 0.12635, 0.01757, 0.07739, 0.33409, 0.06648
1991-02-14, 0.01267, 0.04525, 0.10403, 0.22117, 0.00103, 0.00153, 0.12621, 0.01787, 0.07543, 0.33131, 0.06351
1991-02-15, 0.01655, 0.04137, 0.09903, 0.23428, 0.00113, 0.00131, 0.13439, 0.01606, 0.07371, 0.31946, 0.06270
1991-02-16, 0.01943, 0.05593, 0.09805, 0.21493, 0.00105, 0.00110, 0.14664, 0.01688, 0.07181, 0.31405, 0.06012
1991-02-17, 0.01909, 0.04254, 0.09413, 0.25756, 0.00098, 0.00104, 0.14450, 0.01581, 0.06920, 0.29719, 0.05796
1991-02-18, 0.01783, 0.04484, 0.09985, 0.24326, 0.00108, 0.00109, 0.13925, 0.01672, 0.07346, 0.30147, 0.06113
1991-02-19, 0.01700, 0.04128, 0.10176, 0.25555, 0.00116, 0.00114, 0.14053, 0.01732, 0.07434, 0.28909, 0.06084
1991-02-20, 0.01719, 0.03451, 0.10758, 0.25011, 0.00119, 0.00121, 0.12946, 0.01863, 0.07767, 0.29868, 0.06376
1991-02-21, 0.01766, 0.03816, 0.10934, 0.23652, 0.00100, 0.00107, 0.13160, 0.01886, 0.07809, 0.30296, 0.06475
1991-02-22, 0.01817, 0.04094, 0.11405, 0.21972, 0.00107, 0.00122, 0.12766, 0.02021, 0.08060, 0.31038, 0.06600
1991-02-23, 0.01911, 0.03889, 0.10332, 0.23593, 0.00119, 0.00132, 0.13784, 0.01678, 0.07636, 0.30520, 0.06407
1991-02-24, 0.01940, 0.03067, 0.10629, 0.24179, 0.00113, 0.00134, 0.12990, 0.01781, 0.07850, 0.30830, 0.06487
1991-02-25, 0.01698, 0.02612, 0.10673, 0.25022, 0.00111, 0.00161, 0.12425, 0.01777, 0.07987, 0.31003, 0.06531
1991-02-26, 0.01658, 0.02823, 0.10364, 0.25191, 0.00118, 0.00152, 0.12590, 0.01685, 0.07624, 0.31347, 0.06447
1991-02-27, 0.01911, 0.03402, 0.10728, 0.24189, 0.00102, 0.00137, 0.12456, 0.01827, 0.07685, 0.31202, 0.06361
1991-02-28, 0.02110, 0.04738, 0.10195, 0.22599, 0.00118, 0.00152, 0.14807, 0.01597, 0.07507, 0.30012, 0.06166
1991-03-01, 0.02259, 0.04624, 0.09574, 0.22820, 0.00140, 0.00153, 0.15316, 0.01349, 0.07442, 0.30171, 0.06151
1991-03-02, 0.02410, 0.05229, 0.08260, 0.26323, 0.00115, 0.00127, 0.16080, 0.01023, 0.06701, 0.28117, 0.05615
1991-03-03, 0.02640, 0.05881, 0.07582, 0.27502, 0.00112, 0.00114, 0.16737, 0.00854, 0.06364, 0.26722, 0.05491
1991-03-04, 0.02765, 0.06904, 0.07876, 0.24946, 0.00119, 0.00122, 0.16854, 0.00914, 0.06569, 0.27231, 0.05701
1991-03-05, 0.02808, 0.07553, 0.07334, 0.25327, 0.00136, 0.00129, 0.18177, 0.00869, 0.06177, 0.26142, 0.05349
1991-03-06, 0.02779, 0.06529, 0.07554, 0.26649, 0.00144, 0.00129, 0.17233, 0.00942, 0.06376, 0.26250, 0.05417
1991-03-07, 0.02592, 0.05307, 0.08191, 0.26133, 0.00147, 0.00137, 0.16371, 0.01016, 0.06940, 0.27260, 0.05908
1991-03-08, 0.02509, 0.04988, 0.08266, 0.25476, 0.00145, 0.00155, 0.16638, 0.00907, 0.07100, 0.27641, 0.06175
1991-03-09, 0.02411, 0.04353, 0.07304, 0.27604, 0.00144, 0.00143, 0.16440, 0.00590, 0.06683, 0.28103, 0.06225
1991-03-10, 0.02208, 0.04485, 0.07397, 0.27319, 0.00149, 0.00138, 0.16341, 0.00646, 0.06759, 0.28375, 0.06184
1991-03-11, 0.02408, 0.03767, 0.07369, 0.29100, 0.00146, 0.00149, 0.16492, 0.00650, 0.06784, 0.27061, 0.06073
1991-03-12, 0.02605, 0.03958, 0.07509, 0.28547, 0.00152, 0.00169, 0.16766, 0.00687, 0.06914, 0.26560, 0.06133
1991-03-13, 0.02905, 0.04451, 0.07075, 0.29673, 0.00139, 0.00140, 0.17068, 0.00569, 0.06615, 0.25389, 0.05977
1991-03-14, 0.03337, 0.05013, 0.06259, 0.30241, 0.00125, 0.00118, 0.18170, 0.00466, 0.05979, 0.24760, 0.05533
1991-03-15, 0.03506, 0.04877, 0.06125, 0.30922, 0.00146, 0.00162, 0.18417, 0.00305, 0.06205, 0.23572, 0.05763
1991-03-16, 0.03463, 0.04924, 0.06054, 0.32777, 0.00152, 0.00188, 0.18119, 0.00350, 0.06210, 0.22119, 0.05645
1991-03-17, 0.03787, 0.05498, 0.05798, 0.32587, 0.00146, 0.00182, 0.19132, 0.00353, 0.05980, 0.21136, 0.05399
1991-03-18, 0.04039, 0.05576, 0.05763, 0.32166, 0.00174, 0.00182, 0.19224, 0.00359, 0.05995, 0.21219, 0.05302
