date, Precipitation Correction $W$, Rain-Snow Partitioning $V$, Percolation $U$, Potential Melt $T$, Convolution (dlyd runoff) $S$, Convolution (srfc runoff) $R$, Snow Balance $Q$, Baseflow $P$, Evaporation $O$, Quickflow $N$, Infiltration $M$
1991-01-01, 0.00553, 0.06646, 0.13896, 0.06475, 0.00053, 0.00197, 0.06703, 0.03564, 0.09382, 0.43815, 0.08716
1991-01-02, 0.00593, 0.07551, 0.13755, 0.05866, 0.00063, 0.00203, 0.07200, 0.03577, 0.09212, 0.43460, 0.08521
1991-01-03, 0.00701, 0.10168, 0.12853, 0.05422, 0.00060, 0.00146, 0.10284, 0.03426, 0.08493, 0.40668, 0.07779
1991-01-04, 0.00629, 0.08693, 0.12831, 0.07537, 0.00050, 0.00106, 0.10121, 0.03449, 0.08415, 0.40531, 0.07637
1991-01-05, 0.00628, 0.08167, 0.12829, 0.09097, 0.00037, 0.00092, 0.10194, 0.03447, 0.08428, 0.39436, 0.07644
1991-01-06, 0.00573, 0.08081, 0.12993, 0.08499, 0.00024, 0.00075, 0.10673, 0.03549, 0.08441, 0.39497, 0.07595
1991-01-07, 0.00637, 0.07959, 0.13728, 0.07745, 0.00013, 0.00059, 0.09882, 0.03857, 0.08710, 0.39655, 0.07754
1991-01-08, 0.00711, 0.07075, 0.13996, 0.08728, 0.00010, 0.00035, 0.09570, 0.03969, 0.08733, 0.39478, 0.07695
1991-01-09, 0.00634, 0.06478, 0.13962, 0.08899, 0.00015, 0.00022, 0.09953, 0.03952, 0.08600, 0.39963, 0.07522
1991-01-10, 0.00613, 0.07701, 0.14153, 0.06971, 0.00020, 0.00016, 0.09825, 0.04048, 0.08641, 0.40497, 0.07514
1991-01-11, 0.00692, 0.09907, 0.13644, 0.06022, 0.00022, 0.00011, 0.11189, 0.03913, 0.08332, 0.39052, 0.07216
1991-01-12, 0.00720, 0.09573, 0.13147, 0.08954, 0.00026, 0.00011, 0.11692, 0.03794, 0.08040, 0.37100, 0.06943
1991-01-13, 0.00652, 0.08765, 0.13194, 0.09466, 0.00031, 0.00011, 0.11855, 0.03698, 0.08231, 0.36942, 0.07154
1991-01-14, 0.00802, 0.10595, 0.12249, 0.09450, 0.00032, 0.00010, 0.13866, 0.03443, 0.07601, 0.35400, 0.06551
1991-01-15, 0.00837, 0.11503, 0.11380, 0.10355, 0.00030, 0.00009, 0.15620, 0.03166, 0.07041, 0.34048, 0.06010
1991-01-16, 0.00766, 0.10355, 0.11341, 0.11611, 0.00032, 0.00010, 0.15696, 0.03051, 0.07152, 0.33824, 0.06162
1991-01-17, 0.00753, 0.09289, 0.12142, 0.11065, 0.00034, 0.00014, 0.14501, 0.03331, 0.07538, 0.34855, 0.06479
1991-01-18, 0.00703, 0.07976, 0.13262, 0.10531, 0.00035, 0.00015, 0.12718, 0.03776, 0.07983, 0.36217, 0.06785
1991-01-19, 0.00660, 0.08245, 0.13372, 0.10011, 0.00035, 0.00016, 0.12708, 0.03778, 0.08008, 0.36327, 0.06841
1991-01-20, 0.00692, 0.08746, 0.13251, 0.09130, 0.00035, 0.00019, 0.13744, 0.03720, 0.07871, 0.36060, 0.06731
1991-01-21, 0.00645, 0.08274, 0.13616, 0.08599, 0.00034, 0.00022, 0.12778, 0.03818, 0.08034, 0.37290, 0.06889
1991-01-22, 0.00553, 0.06453, 0.14318, 0.10206, 0.00034, 0.00025, 0.10470, 0.04038, 0.08341, 0.38442, 0.07120
1991-01-23, 0.00593, 0.07421, 0.14639, 0.08721, 0.00034, 0.00029, 0.10119, 0.04224, 0.08353, 0.38796, 0.07071
1991-01-24, 0.00606, 0.08951, 0.14275, 0.08458, 0.00034, 0.00030, 0.10627, 0.04110, 0.08059, 0.38033, 0.06817
1991-01-25, 0.00593, 0.07991, 0.14549, 0.09255, 0.00031, 0.00029, 0.09891, 0.04131, 0.08235, 0.38302, 0.06991
1991-01-26, 0.00536, 0.07011, 0.14214, 0.11167, 0.00027, 0.00029, 0.10586, 0.03974, 0.08048, 0.37601, 0.06806
1991-01-27, 0.00534, 0.06247, 0.14470, 0.12031, 0.00024, 0.00030, 0.10575, 0.04130, 0.07989, 0.37292, 0.06678
1991-01-28, 0.00450, 0.04943, 0.14534, 0.13488, 0.00021, 0.00032, 0.10007, 0.04011, 0.08185, 0.37429, 0.06901
1991-01-29, 0.00476, 0.04274, 0.14777, 0.13695, 0.00020, 0.00033, 0.09805, 0.04119, 0.08200, 0.37718, 0.06883
1991-01-30, 0.00474, 0.04061, 0.15269, 0.13336, 0.00019, 0.00033, 0.09577, 0.04293, 0.08385, 0.37532, 0.07022
1991-01-31, 0.00434, 0.04681, 0.14879, 0.13676, 0.00019, 0.00029, 0.10139, 0.04126, 0.08185, 0.36934, 0.06898
1991-02-01, 0.00464, 0.05077, 0.13374, 0.15714, 0.00022, 0.00031, 0.11996, 0.03564, 0.07678, 0.35491, 0.06589
1991-02-02, 0.00482, 0.04985, 0.13224, 0.17814, 0.00021, 0.00030, 0.11956, 0.03578, 0.07442, 0.34180, 0.06288
1991-02-03, 0.00609, 0.05131, 0.12254, 0.20412, 0.00016, 0.00025, 0.12999, 0.03276, 0.07022, 0.32375, 0.05881
1991-02-04, 0.00627, 0.04332, 0.13254, 0.17724, 0.00013, 0.00026, 0.12332, 0.03470, 0.07765, 0.33939, 0.06518
1991-02-05, 0.00618, 0.04814, 0.14123, 0.15843, 0.00010, 0.00023, 0.11943, 0.03724, 0.08019, 0.34233, 0.06649
1991-02-06, 0.00677, 0.05797, 0.13481, 0.16216, 0.00012, 0.00020, 0.12885, 0.03485, 0.07599, 0.33534, 0.06293
1991-02-07, 0.00606, 0.05792, 0.12095, 0.18839, 0.00017, 0.00027, 0.13724, 0.02933, 0.07089, 0.32807, 0.06071
1991-02-08, 0.00526, 0.05124, 0.12743, 0.18612, 0.00018, 0.00052, 0.12827, 0.03179, 0.07354, 0.33315, 0.06249
1991-02-09, 0.00508, 0.06593, 0.12599, 0.17520, 0.00021, 0.00062, 0.13605, 0.03051, 0.07253, 0.32610, 0.06177
1991-02-10, 0.00497, 0.06136, 0.13214, 0.16726, 0.00031, 0.00067, 0.12733, 0.03220, 0.07512, 0.33489, 0.06375
1991-02-11, 0.00483, 0.06384, 0.13423, 0.16182, 0.00042, 0.00090, 0.12513, 0.03231, 0.07578, 0.33627, 0.06447
1991-02-12, 0.00412, 0.05038, 0.14496, 0.15280, 0.00047, 0.00115, 0.10935, 0.03591, 0.08010, 0.35335, 0.06742
1991-02-13, 0.00497, 0.05682, 0.14483, 0.14779, 0.00044, 0.00125, 0.10624, 0.03568, 0.07978, 0.35550, 0.06671
1991-02-14, 0.00489, 0.05453, 0.14452, 0.15618, 0.00034, 0.00119, 0.10703, 0.03603, 0.07885, 0.35116, 0.06529
1991-02-15, 0.00453, 0.04662, 0.14431, 0.17080, 0.00031, 0.00084, 0.11248, 0.03647, 0.07802, 0.34161, 0.06402
