date, weight 
1991-01-01, 9.06528e-07
1991-01-02, 7.19822e-07
1991-01-03, 6.56908e-07
1991-01-04, 6.68869e-07
1991-01-05, 1.15029e-06
1991-01-06, 1.32778e-06
1991-01-07, 6.68997e-07
1991-01-08, 5.61139e-07
1991-01-09, 7.07914e-07
1991-01-10, 2.51611e-06
1991-01-11, 7.82287e-06
1991-01-12, 6.64537e-06
1991-01-13, 2.94439e-06
1991-01-14, 2.26562e-06
1991-01-15, 2.24974e-06
1991-01-16, 1.82852e-06
1991-01-17, 2.14000e-06
1991-01-18, 1.72876e-06
1991-01-19, 8.16000e-07
1991-01-20, 7.71967e-07
1991-01-21, 1.24978e-06
1991-01-22, 2.77110e-06
1991-01-23, 8.94440e-06
1991-01-24, 1.65442e-05
1991-01-25, 2.19549e-05
1991-01-26, 2.31336e-05
1991-01-27, 2.18817e-05
1991-01-28, 1.95566e-05
1991-01-29, 1.68880e-05
1991-01-30, 1.06860e-05
1991-01-31, 8.27713e-06
1991-02-01, 1.01741e-05
1991-02-02, 1.44356e-05
1991-02-03, 1.58851e-05
1991-02-04, 1.71105e-05
1991-02-05, 3.31424e-05
1991-02-06, 2.73992e-05
1991-02-07, 1.59551e-05
1991-02-08, 9.18930e-06
1991-02-09, 7.36888e-06
1991-02-10, 8.06765e-06
1991-02-11, 8.02599e-06
1991-02-12, 6.27377e-06
1991-02-13, 4.28601e-06
1991-02-14, 3.49068e-06
1991-02-15, 4.22906e-06
1991-02-16, 5.86686e-06
1991-02-17, 6.74535e-06
1991-02-18, 7.75230e-06
1991-02-19, 6.68137e-06
1991-02-20, 4.09209e-06
1991-02-21, 3.60808e-06
1991-02-22, 4.67576e-06
1991-02-23, 3.89612e-06
1991-02-24, 2.30626e-06
1991-02-25, 1.55596e-06
1991-02-26, 1.23796e-06
1991-02-27, 1.65198e-06
1991-02-28, 6.15038e-06
1991-03-01, 1.67226e-05
1991-03-02, 1.61886e-05
1991-03-03, 1.48504e-05
1991-03-04, 2.28400e-05
1991-03-05, 3.36377e-05
1991-03-06, 3.48067e-05
1991-03-07, 3.30141e-05
1991-03-08, 4.09118e-05
1991-03-09, 5.17987e-05
1991-03-10, 3.51406e-05
1991-03-11, 3.38168e-05
1991-03-12, 5.63773e-05
1991-03-13, 7.94866e-05
1991-03-14, 1.15217e-04
1991-03-15, 1.29169e-04
1991-03-16, 1.52411e-04
1991-03-17, 1.75399e-04
1991-03-18, 1.34457e-04
1991-03-19, 9.00466e-05
1991-03-20, 6.78186e-05
1991-03-21, 6.45667e-05
1991-03-22, 6.03004e-05
1991-03-23, 7.98221e-05
1991-03-24, 1.18777e-04
1991-03-25, 1.35533e-04
1991-03-26, 1.45950e-04
1991-03-27, 1.55142e-04
1991-03-28, 1.39378e-04
1991-03-29, 1.06232e-04
1991-03-30, 1.09804e-04
1991-03-31, 1.50324e-04
1991-04-01, 2.52443e-04
1991-04-02, 3.31129e-04
1991-04-03, 4.10840e-04
1991-04-04, 4.55557e-04
1991-04-05, 4.03079e-04
1991-04-06, 3.71480e-04
1991-04-07, 3.44068e-04
1991-04-08, 3.62537e-04
1991-04-09, 4.42656e-04
1991-04-10, 5.72985e-04
1991-04-11, 6.27922e-04
1991-04-12, 5.11577e-04
1991-04-13, 5.09239e-04
1991-04-14, 5.93263e-04
1991-04-15, 5.85734e-04
1991-04-16, 4.83157e-04
1991-04-17, 4.54741e-04
1991-04-18, 5.78360e-04
1991-04-19, 8.09754e-04
1991-04-20, 8.32157e-04
1991-04-21, 8.69505e-04
1991-04-22, 0.00113
1991-04-23, 0.00138
1991-04-24, 0.00140
1991-04-25, 0.00133
1991-04-26, 0.00131
1991-04-27, 0.00122
1991-04-28, 0.00109
1991-04-29, 0.00105
1991-04-30, 9.71118e-04
1991-05-01, 8.71719e-04
1991-05-02, 8.28924e-04
1991-05-03, 8.09961e-04
1991-05-04, 8.15492e-04
