date, weight 
1991-01-01, 2.33378e-06
1991-01-02, 2.62318e-06
1991-01-03, 1.86329e-06
1991-01-04, 2.19099e-06
1991-01-05, 1.12139e-06
1991-01-06, 6.90352e-07
1991-01-07, 8.23542e-07
1991-01-08, 1.70880e-06
1991-01-09, 5.41837e-06
1991-01-10, 3.71763e-06
1991-01-11, 1.35020e-06
1991-01-12, 7.15336e-06
1991-01-13, 1.03697e-05
1991-01-14, 7.31348e-06
1991-01-15, 4.69085e-06
1991-01-16, 3.36666e-06
1991-01-17, 2.33433e-06
1991-01-18, 1.78003e-06
1991-01-19, 3.41526e-06
1991-01-20, 1.49212e-05
1991-01-21, 2.42801e-05
1991-01-22, 2.88794e-05
1991-01-23, 3.25086e-05
1991-01-24, 3.56514e-05
1991-01-25, 5.49523e-05
1991-01-26, 5.58405e-05
1991-01-27, 3.45327e-05
1991-01-28, 2.16643e-05
1991-01-29, 1.40394e-05
1991-01-30, 8.06996e-06
1991-01-31, 6.28241e-06
1991-02-01, 6.21376e-06
1991-02-02, 7.68844e-06
1991-02-03, 7.43999e-06
1991-02-04, 1.67905e-05
1991-02-05, 3.00485e-05
1991-02-06, 1.88681e-05
1991-02-07, 1.00063e-05
1991-02-08, 6.45781e-06
1991-02-09, 7.59852e-06
1991-02-10, 6.92188e-06
1991-02-11, 2.95281e-06
1991-02-12, 2.05155e-06
1991-02-13, 1.54563e-06
1991-02-14, 2.32418e-06
1991-02-15, 1.36285e-05
1991-02-16, 3.20213e-05
1991-02-17, 4.46845e-05
1991-02-18, 4.31849e-05
1991-02-19, 2.82560e-05
1991-02-20, 1.48795e-05
1991-02-21, 7.90415e-06
1991-02-22, 4.54391e-06
1991-02-23, 2.87517e-06
1991-02-24, 1.99389e-06
1991-02-25, 1.59326e-06
1991-02-26, 2.71183e-06
1991-02-27, 7.89239e-06
1991-02-28, 2.25531e-05
1991-03-01, 6.31366e-05
1991-03-02, 3.77330e-05
1991-03-03, 1.44057e-05
1991-03-04, 9.87964e-06
1991-03-05, 7.93135e-06
1991-03-06, 6.44467e-06
1991-03-07, 6.54222e-06
1991-03-08, 7.40053e-06
1991-03-09, 1.24724e-05
1991-03-10, 1.91750e-05
1991-03-11, 2.88673e-05
1991-03-12, 3.82089e-05
1991-03-13, 5.61638e-05
1991-03-14, 5.91531e-05
1991-03-15, 7.37477e-05
1991-03-16, 8.91331e-05
1991-03-17, 7.82223e-05
1991-03-18, 4.00902e-05
1991-03-19, 2.16401e-05
1991-03-20, 1.43690e-05
1991-03-21, 1.02243e-05
1991-03-22, 9.30847e-06
1991-03-23, 1.01067e-05
1991-03-24, 1.25113e-05
1991-03-25, 1.25530e-05
1991-03-26, 8.63365e-06
1991-03-27, 8.48189e-06
1991-03-28, 1.25136e-05
1991-03-29, 2.22563e-05
1991-03-30, 3.42353e-05
1991-03-31, 5.30531e-05
1991-04-01, 1.04399e-04
1991-04-02, 1.40679e-04
1991-04-03, 1.56914e-04
1991-04-04, 1.98910e-04
1991-04-05, 1.34997e-04
1991-04-06, 6.50598e-05
1991-04-07, 4.12519e-05
1991-04-08, 5.07807e-05
1991-04-09, 8.92271e-05
1991-04-10, 1.58406e-04
1991-04-11, 1.36890e-04
1991-04-12, 1.09276e-04
1991-04-13, 1.43573e-04
1991-04-14, 1.81773e-04
1991-04-15, 1.21472e-04
1991-04-16, 5.76294e-05
1991-04-17, 5.65205e-05
1991-04-18, 9.42872e-05
1991-04-19, 1.61887e-04
1991-04-20, 1.97702e-04
1991-04-21, 2.27486e-04
1991-04-22, 3.37398e-04
1991-04-23, 4.79420e-04
1991-04-24, 4.02134e-04
1991-04-25, 3.27512e-04
1991-04-26, 3.50722e-04
1991-04-27, 3.72250e-04
1991-04-28, 4.61705e-04
1991-04-29, 4.32251e-04
1991-04-30, 3.48880e-04
1991-05-01, 3.62031e-04
1991-05-02, 4.61510e-04
1991-05-03, 6.54841e-04
1991-05-04, 6.24044e-04
1991-05-05, 4.98066e-04
1991-05-06, 4.97345e-04
1991-05-07, 6.12933e-04
1991-05-08, 6.06739e-04
1991-05-09, 5.10383e-04
1991-05-10, 4.57804e-04
1991-05-11, 4.21568e-04
1991-05-12, 4.59750e-04
1991-05-13, 6.63508e-04
1991-05-14, 9.39371e-04
1991-05-15, 0.00101
1991-05-16, 0.00101
1991-05-17, 0.00112
1991-05-18, 0.00144
1991-05-19, 0.00155
1991-05-20, 0.00140
1991-05-21, 0.00110
1991-05-22, 7.83857e-04
1991-05-23, 6.16334e-04
1991-05-24, 6.27843e-04
1991-05-25, 7.84196e-04
1991-05-26, 0.00101
1991-05-27, 0.00107
1991-05-28, 9.33924e-04
1991-05-29, 8.20464e-04
1991-05-30, 7.66784e-04
1991-05-31, 7.30778e-04
1991-06-01, 7.83166e-04
1991-06-02, 9.03881e-04
1991-06-03, 9.24978e-04
1991-06-04, 9.60577e-04
1991-06-05, 0.00104
1991-06-06, 0.00106
1991-06-07, 8.35303e-04
1991-06-08, 5.45998e-04
1991-06-09, 4.33364e-04
1991-06-10, 3.77535e-04
1991-06-11, 3.49329e-04
1991-06-12, 3.79046e-04
1991-06-13, 4.11690e-04
1991-06-14, 4.73393e-04
1991-06-15, 5.24992e-04
1991-06-16, 4.83477e-04
1991-06-17, 4.36719e-04
1991-06-18, 4.01426e-04
1991-06-19, 3.40474e-04
1991-06-20, 3.10234e-04
1991-06-21, 2.91873e-04
1991-06-22, 2.92981e-04
1991-06-23, 2.79399e-04
1991-06-24, 2.20196e-04
1991-06-25, 1.90102e-04
1991-06-26, 1.73230e-04
1991-06-27, 1.44458e-04
1991-06-28, 1.24233e-04
1991-06-29, 1.15194e-04
1991-06-30, 1.19791e-04
1991-07-01, 1.01289e-04
1991-07-02, 8.88184e-05
1991-07-03, 8.04135e-05
1991-07-04, 6.01710e-05
1991-07-05, 6.39485e-05
1991-07-06, 6.63247e-05
1991-07-07, 6.86365e-05
1991-07-08, 7.97304e-05
1991-07-09, 7.38401e-05
1991-07-10, 6.63475e-05
1991-07-11, 6.31729e-05
1991-07-12, 5.78726e-05
1991-07-13, 4.97310e-05
1991-07-14, 3.76480e-05
1991-07-15, 3.01686e-05
1991-07-16, 2.74821e-05
1991-07-17, 2.72378e-05
1991-07-18, 2.21426e-05
1991-07-19, 1.78674e-05
1991-07-20, 1.52793e-05
1991-07-21, 1.41740e-05
1991-07-22, 1.38458e-05
1991-07-23, 9.62759e-06
1991-07-24, 6.84917e-06
1991-07-25, 7.68412e-06
1991-07-26, 1.02306e-05
1991-07-27, 6.90668e-06
1991-07-28, 1.07536e-05
1991-07-29, 1.60770e-05
1991-07-30, 1.25022e-05
1991-07-31, 5.65149e-06
1991-08-01, 6.24983e-06
1991-08-02, 9.74027e-06
1991-08-03, 1.02313e-05
1991-08-04, 1.11045e-05
1991-08-05, 2.33786e-05
1991-08-06, 1.72370e-05
1991-08-07, 2.86668e-05
1991-08-08, 3.85099e-05
1991-08-09, 2.25986e-05
1991-08-10, 2.54238e-05
1991-08-11, 1.90173e-05
1991-08-12, 1.32102e-05
1991-08-13, 1.04246e-05
