date, weight 
1991-01-01, 1.11718e-06
1991-01-02, 1.41351e-06
1991-01-03, 1.68985e-06
1991-01-04, 1.93369e-06
1991-01-05, 8.33266e-07
1991-01-06, 1.11534e-06
1991-01-07, 1.50346e-06
1991-01-08, 2.63243e-06
1991-01-09, 8.82736e-06
1991-01-10, 6.02825e-06
1991-01-11, 1.74530e-06
1991-01-12, 4.29044e-06
1991-01-13, 1.17348e-05
1991-01-14, 2.35228e-05
1991-01-15, 1.34174e-05
1991-01-16, 6.35704e-06
1991-01-17, 4.23313e-06
1991-01-18, 2.07301e-06
1991-01-19, 1.43785e-06
1991-01-20, 5.09380e-06
1991-01-21, 1.04659e-05
1991-01-22, 1.48237e-05
1991-01-23, 2.09472e-05
1991-01-24, 2.69454e-05
1991-01-25, 5.58784e-05
1991-01-26, 7.97352e-05
1991-01-27, 4.95992e-05
1991-01-28, 2.46156e-05
1991-01-29, 1.53027e-05
1991-01-30, 8.31010e-06
1991-01-31, 5.95599e-06
1991-02-01, 7.26142e-06
1991-02-02, 1.18142e-05
1991-02-03, 1.77897e-05
1991-02-04, 5.23719e-05
1991-02-05, 9.37237e-05
1991-02-06, 5.51858e-05
1991-02-07, 2.04800e-05
1991-02-08, 1.19151e-05
1991-02-09, 9.94501e-06
1991-02-10, 8.14746e-06
1991-02-11, 4.49487e-06
1991-02-12, 3.33308e-06
1991-02-13, 2.50484e-06
1991-02-14, 2.14785e-06
1991-02-15, 3.86886e-06
1991-02-16, 1.31285e-05
1991-02-17, 2.89779e-05
1991-02-18, 4.60111e-05
1991-02-19, 3.89225e-05
1991-02-20, 1.56635e-05
1991-02-21, 1.07646e-05
1991-02-22, 6.60902e-06
1991-02-23, 3.67766e-06
1991-02-24, 2.19476e-06
1991-02-25, 1.80607e-06
1991-02-26, 3.60178e-06
1991-02-27, 1.07428e-05
1991-02-28, 3.00747e-05
1991-03-01, 1.01132e-04
1991-03-02, 7.18138e-05
1991-03-03, 3.54748e-05
1991-03-04, 4.09870e-05
1991-03-05, 3.88588e-05
1991-03-06, 2.77521e-05
1991-03-07, 4.06709e-05
1991-03-08, 7.35930e-05
1991-03-09, 9.78318e-05
1991-03-10, 8.92393e-05
1991-03-11, 9.59695e-05
