date, Precipitation Correction $W$, Rain-Snow Partitioning $V$, Percolation $U$, Potential Melt $T$, Convolution (dlyd runoff) $S$, Convolution (srfc runoff) $R$, Snow Balance $Q$, Baseflow $P$, Evaporation $O$, Quickflow $N$, Infiltration $M$
1991-01-01, 0.00644, 0.08238, 0.15531, 0.03505, 0.00024, 0.00209, 0.05765, 0.04128, 0.09560, 0.43764, 0.08632
1991-01-02, 0.00619, 0.08932, 0.15493, 0.03113, 0.00025, 0.00182, 0.05922, 0.04185, 0.09331, 0.43784, 0.08414
1991-01-03, 0.00780, 0.12872, 0.14058, 0.02527, 0.00016, 0.00114, 0.11040, 0.03820, 0.08231, 0.39297, 0.07245
1991-01-04, 0.00925, 0.13254, 0.14084, 0.02190, 0.00013, 0.00097, 0.11711, 0.03867, 0.08108, 0.38643, 0.07108
1991-01-05, 0.01025, 0.11845, 0.14985, 0.02290, 0.00012, 0.00103, 0.10186, 0.04104, 0.08770, 0.38942, 0.07739
1991-01-06, 0.00836, 0.09868, 0.15540, 0.02227, 0.00009, 0.00077, 0.09379, 0.04372, 0.08997, 0.40785, 0.07910
1991-01-07, 0.00677, 0.09378, 0.15479, 0.03156, 0.00006, 0.00044, 0.09412, 0.04406, 0.08802, 0.40972, 0.07668
1991-01-08, 0.00775, 0.09314, 0.15092, 0.04633, 0.00005, 0.00036, 0.10498, 0.04287, 0.08478, 0.39557, 0.07325
1991-01-09, 0.00793, 0.09513, 0.15132, 0.04087, 0.00005, 0.00036, 0.11141, 0.04312, 0.08385, 0.39401, 0.07195
1991-01-10, 0.00729, 0.08534, 0.15640, 0.04764, 0.00006, 0.00037, 0.09971, 0.04497, 0.08601, 0.39848, 0.07372
1991-01-11, 0.00743, 0.10249, 0.14729, 0.04288, 0.00007, 0.00035, 0.11520, 0.04219, 0.08174, 0.38967, 0.07069
1991-01-12, 0.00895, 0.09673, 0.15307, 0.03219, 0.00007, 0.00032, 0.11170, 0.04376, 0.08510, 0.39441, 0.07369
1991-01-13, 0.00884, 0.08461, 0.15887, 0.04068, 0.00006, 0.00012, 0.10099, 0.04487, 0.08762, 0.39839, 0.07495
1991-01-14, 0.00863, 0.09035, 0.15951, 0.04359, 0.00007, 0.00009, 0.09404, 0.04517, 0.08654, 0.39874, 0.07328
1991-01-15, 0.00876, 0.08548, 0.15891, 0.05649, 0.00007, 0.00009, 0.09064, 0.04525, 0.08549, 0.39603, 0.07279
1991-01-16, 0.00783, 0.08480, 0.14934, 0.06730, 0.00007, 0.00011, 0.10016, 0.04101, 0.08395, 0.39229, 0.07315
1991-01-17, 0.00774, 0.08357, 0.14924, 0.08042, 0.00007, 0.00016, 0.09900, 0.04109, 0.08255, 0.38481, 0.07134
1991-01-18, 0.00811, 0.08400, 0.15198, 0.08668, 0.00007, 0.00016, 0.09881, 0.04181, 0.08274, 0.37476, 0.07087
1991-01-19, 0.00903, 0.08900, 0.15230, 0.07772, 0.00007, 0.00013, 0.11364, 0.04108, 0.08245, 0.36417, 0.07042
1991-01-20, 0.00867, 0.08670, 0.15791, 0.07403, 0.00007, 0.00015, 0.10676, 0.04294, 0.08311, 0.36914, 0.07052
1991-01-21, 0.00735, 0.08108, 0.16679, 0.06612, 0.00007, 0.00018, 0.08979, 0.04591, 0.08608, 0.38397, 0.07267
1991-01-22, 0.00622, 0.07011, 0.17665, 0.06163, 0.00007, 0.00019, 0.07286, 0.04947, 0.08943, 0.39827, 0.07510
1991-01-23, 0.00749, 0.08802, 0.17200, 0.05432, 0.00007, 0.00022, 0.08095, 0.04848, 0.08503, 0.39271, 0.07071
1991-01-24, 0.00697, 0.10126, 0.16781, 0.04864, 0.00007, 0.00024, 0.09133, 0.04682, 0.08222, 0.38631, 0.06834
1991-01-25, 0.00587, 0.08228, 0.17649, 0.05357, 0.00006, 0.00023, 0.08344, 0.04907, 0.08617, 0.39118, 0.07163
1991-01-26, 0.00763, 0.07810, 0.17749, 0.05520, 0.00005, 0.00020, 0.09381, 0.04879, 0.08677, 0.38020, 0.07177
1991-01-27, 0.00818, 0.08553, 0.16998, 0.05556, 0.00005, 0.00024, 0.10354, 0.04762, 0.08202, 0.38004, 0.06724
1991-01-28, 0.00682, 0.07068, 0.17385, 0.06863, 0.00007, 0.00028, 0.09128, 0.04854, 0.08444, 0.38587, 0.06954
1991-01-29, 0.00577, 0.06446, 0.17968, 0.06659, 0.00010, 0.00031, 0.08462, 0.05038, 0.08653, 0.39029, 0.07125
1991-01-30, 0.00650, 0.10204, 0.16155, 0.05599, 0.00016, 0.00034, 0.11375, 0.04434, 0.07965, 0.36842, 0.06725
1991-01-31, 0.00644, 0.09493, 0.15662, 0.07394, 0.00024, 0.00038, 0.11708, 0.04230, 0.07790, 0.36371, 0.06646
