date, Precipitation Correction $W$, Rain-Snow Partitioning $V$, Percolation $U$, Potential Melt $T$, Convolution (dlyd runoff) $S$, Convolution (srfc runoff) $R$, Snow Balance $Q$, Baseflow $P$, Evaporation $O$, Quickflow $N$, Infiltration $M$
1991-01-01, 0.00912, 0.17207, 0.10112, 0.05108, 0.00086, 0.00706, 0.11077, 0.02125, 0.07561, 0.36755, 0.08351
1991-01-02, 0.01017, 0.21686, 0.08938, 0.04685, 0.00083, 0.00506, 0.14521, 0.01874, 0.06627, 0.32804, 0.07258
1991-01-03, 0.01150, 0.22192, 0.08533, 0.04000, 0.00076, 0.00308, 0.17481, 0.01715, 0.06391, 0.31319, 0.06836
1991-01-04, 0.01271, 0.21526, 0.08657, 0.03645, 0.00088, 0.00320, 0.17672, 0.01712, 0.06518, 0.31631, 0.06960
1991-01-05, 0.01376, 0.21887, 0.08716, 0.04141, 0.00098, 0.00349, 0.16930, 0.01745, 0.06525, 0.31308, 0.06926
1991-01-06, 0.01342, 0.23021, 0.08681, 0.04531, 0.00094, 0.00317, 0.16467, 0.01915, 0.06294, 0.30671, 0.06667
1991-01-07, 0.01238, 0.21635, 0.08823, 0.05789, 0.00081, 0.00281, 0.16463, 0.01860, 0.06455, 0.30590, 0.06783
1991-01-08, 0.01141, 0.19575, 0.09222, 0.06712, 0.00071, 0.00269, 0.15741, 0.02028, 0.06601, 0.31750, 0.06891
1991-01-09, 0.01199, 0.22405, 0.08691, 0.05775, 0.00055, 0.00179, 0.17369, 0.01930, 0.06117, 0.30004, 0.06278
1991-01-10, 0.01236, 0.24777, 0.08023, 0.05592, 0.00049, 0.00157, 0.19347, 0.01809, 0.05622, 0.27627, 0.05761
1991-01-11, 0.01275, 0.24603, 0.07612, 0.06822, 0.00048, 0.00159, 0.20645, 0.01617, 0.05470, 0.26090, 0.05659
1991-01-12, 0.01310, 0.25276, 0.07249, 0.08311, 0.00052, 0.00146, 0.20165, 0.01445, 0.05320, 0.25274, 0.05451
1991-01-13, 0.01335, 0.24864, 0.07398, 0.07616, 0.00061, 0.00112, 0.20447, 0.01505, 0.05347, 0.25893, 0.05422
1991-01-14, 0.01232, 0.23887, 0.07499, 0.07255, 0.00069, 0.00091, 0.20345, 0.01478, 0.05437, 0.27176, 0.05532
1991-01-15, 0.01266, 0.23267, 0.07614, 0.08305, 0.00077, 0.00084, 0.19164, 0.01385, 0.05645, 0.27452, 0.05741
1991-01-16, 0.01340, 0.23716, 0.07609, 0.08856, 0.00085, 0.00089, 0.18123, 0.01392, 0.05634, 0.27409, 0.05747
1991-01-17, 0.01251, 0.22892, 0.07987, 0.09358, 0.00088, 0.00099, 0.17109, 0.01533, 0.05805, 0.27977, 0.05901
1991-01-18, 0.01211, 0.23558, 0.07859, 0.08844, 0.00073, 0.00116, 0.18576, 0.01455, 0.05731, 0.26751, 0.05825
1991-01-19, 0.01238, 0.22249, 0.08003, 0.08695, 0.00070, 0.00137, 0.18678, 0.01291, 0.06055, 0.27352, 0.06231
1991-01-20, 0.01302, 0.21411, 0.08162, 0.08872, 0.00072, 0.00139, 0.18194, 0.01402, 0.06032, 0.28152, 0.06263
1991-01-21, 0.01311, 0.20582, 0.08519, 0.09296, 0.00079, 0.00137, 0.16933, 0.01558, 0.06137, 0.29046, 0.06400
1991-01-22, 0.01231, 0.19472, 0.08865, 0.09432, 0.00089, 0.00155, 0.15794, 0.01716, 0.06241, 0.30500, 0.06505
1991-01-23, 0.01250, 0.19398, 0.08838, 0.09080, 0.00102, 0.00188, 0.16597, 0.01705, 0.06226, 0.30117, 0.06500
1991-01-24, 0.01228, 0.19661, 0.08759, 0.08187, 0.00108, 0.00216, 0.17691, 0.01589, 0.06335, 0.29575, 0.06653
1991-01-25, 0.01154, 0.19294, 0.08761, 0.09044, 0.00116, 0.00217, 0.17384, 0.01663, 0.06222, 0.29651, 0.06495
1991-01-26, 0.01210, 0.19437, 0.08405, 0.10327, 0.00118, 0.00200, 0.18383, 0.01524, 0.06027, 0.28137, 0.06232
1991-01-27, 0.01340, 0.19986, 0.07813, 0.10594, 0.00142, 0.00236, 0.18800, 0.01274, 0.05805, 0.27992, 0.06019
1991-01-28, 0.01372, 0.19572, 0.08146, 0.10553, 0.00161, 0.00266, 0.17474, 0.01419, 0.05922, 0.28989, 0.06126
1991-01-29, 0.01397, 0.19789, 0.08368, 0.09669, 0.00170, 0.00289, 0.16786, 0.01510, 0.06045, 0.29715, 0.06262
1991-01-30, 0.01522, 0.21554, 0.07870, 0.08053, 0.00167, 0.00287, 0.18897, 0.01325, 0.05920, 0.28177, 0.06228
1991-01-31, 0.01461, 0.20909, 0.07668, 0.09959, 0.00158, 0.00283, 0.19553, 0.01368, 0.05660, 0.27005, 0.05975
1991-02-01, 0.01422, 0.20477, 0.07519, 0.12393, 0.00152, 0.00263, 0.19247, 0.01363, 0.05515, 0.25904, 0.05746
1991-02-02, 0.01557, 0.20999, 0.06972, 0.12786, 0.00140, 0.00247, 0.21074, 0.01145, 0.05288, 0.24296, 0.05496
1991-02-03, 0.01541, 0.21161, 0.06975, 0.12291, 0.00146, 0.00265, 0.20772, 0.01220, 0.05179, 0.25078, 0.05372
1991-02-04, 0.01656, 0.21464, 0.07338, 0.12048, 0.00149, 0.00259, 0.19630, 0.01338, 0.05345, 0.25267, 0.05506
1991-02-05, 0.01706, 0.21261, 0.07332, 0.12833, 0.00109, 0.00174, 0.19476, 0.01404, 0.05214, 0.25121, 0.05371
1991-02-06, 0.01765, 0.20684, 0.07165, 0.13963, 0.00090, 0.00140, 0.20153, 0.01398, 0.05026, 0.24498, 0.05119
1991-02-07, 0.01391, 0.18696, 0.07679, 0.13545, 0.00099, 0.00163, 0.19611, 0.01379, 0.05552, 0.26194, 0.05690
1991-02-08, 0.01377, 0.18519, 0.07562, 0.14203, 0.00094, 0.00178, 0.19952, 0.01393, 0.05367, 0.25828, 0.05525
1991-02-09, 0.01174, 0.18028, 0.07492, 0.16093, 0.00083, 0.00174, 0.19633, 0.01314, 0.05311, 0.25257, 0.05442
1991-02-10, 0.01095, 0.16947, 0.07877, 0.16543, 0.00092, 0.00214, 0.17952, 0.01417, 0.05519, 0.26680, 0.05664
1991-02-11, 0.01057, 0.17324, 0.07811, 0.15917, 0.00105, 0.00271, 0.18190, 0.01398, 0.05463, 0.26812, 0.05652
1991-02-12, 0.00950, 0.17776, 0.07824, 0.14973, 0.00117, 0.00312, 0.18396, 0.01377, 0.05491, 0.27077, 0.05707
1991-02-13, 0.00967, 0.17865, 0.07520, 0.16671, 0.00119, 0.00292, 0.19218, 0.01365, 0.05211, 0.25343, 0.05428
1991-02-14, 0.00888, 0.16340, 0.07762, 0.17480, 0.00118, 0.00219, 0.18963, 0.01396, 0.05396, 0.25865, 0.05575
1991-02-15, 0.00892, 0.15942, 0.08124, 0.17755, 0.00125, 0.00209, 0.18132, 0.01532, 0.05566, 0.25980, 0.05743
1991-02-16, 0.00842, 0.15930, 0.07749, 0.18542, 0.00125, 0.00214, 0.18438, 0.01398, 0.05385, 0.25777, 0.05599
1991-02-17, 0.00760, 0.16508, 0.06998, 0.19354, 0.00092, 0.00200, 0.19843, 0.01070, 0.05154, 0.24644, 0.05375
1991-02-18, 0.00809, 0.17618, 0.07685, 0.16665, 0.00089, 0.00196, 0.18784, 0.01371, 0.05391, 0.25811, 0.05582
1991-02-19, 0.00936, 0.19609, 0.07964, 0.13616, 0.00095, 0.00168, 0.19610, 0.01584, 0.05382, 0.25471, 0.05567
1991-02-20, 0.00888, 0.19938, 0.07539, 0.12910, 0.00108, 0.00172, 0.20238, 0.01340, 0.05328, 0.25980, 0.05559
1991-02-21, 0.00843, 0.19922, 0.07868, 0.12646, 0.00120, 0.00191, 0.19272, 0.01434, 0.05502, 0.26483, 0.05718
1991-02-22, 0.00830, 0.19441, 0.07926, 0.12500, 0.00134, 0.00219, 0.19477, 0.01385, 0.05612, 0.26605, 0.05870
1991-02-23, 0.01040, 0.19858, 0.07406, 0.13201, 0.00127, 0.00227, 0.21324, 0.01238, 0.05283, 0.24755, 0.05542
1991-02-24, 0.01099, 0.18927, 0.07549, 0.15000, 0.00146, 0.00222, 0.20450, 0.01254, 0.05332, 0.24523, 0.05498
1991-02-25, 0.01127, 0.19052, 0.07033, 0.15958, 0.00142, 0.00199, 0.20800, 0.01101, 0.05054, 0.24344, 0.05189
1991-02-26, 0.01203, 0.18264, 0.07170, 0.16787, 0.00147, 0.00193, 0.20930, 0.01158, 0.05083, 0.23881, 0.05185
1991-02-27, 0.01335, 0.17052, 0.07604, 0.16979, 0.00131, 0.00191, 0.20135, 0.01301, 0.05291, 0.24614, 0.05369
1991-02-28, 0.01380, 0.17573, 0.07616, 0.16857, 0.00108, 0.00208, 0.20481, 0.01335, 0.05214, 0.23924, 0.05304
1991-03-01, 0.01398, 0.15852, 0.07446, 0.18124, 0.00077, 0.00217, 0.21100, 0.01200, 0.05217, 0.24007, 0.05363
1991-03-02, 0.01485, 0.15686, 0.06753, 0.21339, 0.00069, 0.00216, 0.21390, 0.01040, 0.04804, 0.22282, 0.04934
1991-03-03, 0.01445, 0.16627, 0.06924, 0.19888, 0.00080, 0.00235, 0.21252, 0.01118, 0.04901, 0.22485, 0.05044
1991-03-04, 0.01331, 0.17240, 0.07549, 0.17079, 0.00095, 0.00250, 0.20922, 0.01256, 0.05268, 0.23587, 0.05422
1991-03-05, 0.01385, 0.16459, 0.07702, 0.17631, 0.00109, 0.00246, 0.20054, 0.01338, 0.05244, 0.24436, 0.05396
1991-03-06, 0.01354, 0.17507, 0.07545, 0.18137, 0.00117, 0.00228, 0.20334, 0.01308, 0.05121, 0.23121, 0.05227
1991-03-07, 0.01228, 0.17731, 0.06202, 0.21433, 0.00126, 0.00237, 0.21721, 0.00826, 0.04604, 0.21143, 0.04748
1991-03-08, 0.01177, 0.15969, 0.06568, 0.20076, 0.00134, 0.00245, 0.21722, 0.00800, 0.05042, 0.23022, 0.05245
1991-03-09, 0.01223, 0.14661, 0.06971, 0.20022, 0.00123, 0.00229, 0.21112, 0.00904, 0.05278, 0.23987, 0.05491
1991-03-10, 0.01304, 0.13711, 0.06973, 0.21654, 0.00066, 0.00193, 0.21106, 0.00987, 0.05172, 0.23524, 0.05311
1991-03-11, 0.01422, 0.14220, 0.06712, 0.22225, 0.00039, 0.00165, 0.22500, 0.01007, 0.04896, 0.21823, 0.04989
1991-03-12, 0.01578, 0.14600, 0.06820, 0.20840, 0.00032, 0.00162, 0.23060, 0.00957, 0.05072, 0.21672, 0.05208
1991-03-13, 0.01591, 0.14313, 0.06132, 0.22116, 0.00037, 0.00174, 0.22559, 0.00599, 0.05055, 0.22192, 0.05232
