date, Precipitation Correction $W$, Rain-Snow Partitioning $V$, Percolation $U$, Potential Melt $T$, Convolution (dlyd runoff) $S$, Convolution (srfc runoff) $R$, Snow Balance $Q$, Baseflow $P$, Evaporation $O$, Quickflow $N$, Infiltration $M$
1991-01-01, 0.00702, 0.12733, 0.12192, 0.03934, 0.00090, 0.00914, 0.07539, 0.02876, 0.08768, 0.41010, 0.09241
1991-01-02, 0.00785, 0.17033, 0.10803, 0.03471, 0.00080, 0.00646, 0.11308, 0.02517, 0.07749, 0.37357, 0.08251
1991-01-03, 0.01031, 0.19016, 0.09872, 0.02963, 0.00057, 0.00337, 0.15452, 0.02307, 0.07004, 0.34647, 0.07314
1991-01-04, 0.01190, 0.19094, 0.09886, 0.03370, 0.00055, 0.00270, 0.15937, 0.02280, 0.07023, 0.33674, 0.07220
1991-01-05, 0.01335, 0.18687, 0.10190, 0.04146, 0.00065, 0.00290, 0.14860, 0.02439, 0.07144, 0.33557, 0.07286
1991-01-06, 0.01172, 0.18416, 0.10381, 0.04803, 0.00074, 0.00309, 0.14598, 0.02591, 0.07214, 0.33102, 0.07340
1991-01-07, 0.01018, 0.18069, 0.10492, 0.04758, 0.00066, 0.00263, 0.14521, 0.02638, 0.07228, 0.33635, 0.07312
1991-01-08, 0.00960, 0.17056, 0.10602, 0.05331, 0.00053, 0.00225, 0.14531, 0.02717, 0.07160, 0.34196, 0.07170
1991-01-09, 0.01002, 0.19361, 0.09800, 0.04807, 0.00038, 0.00160, 0.16654, 0.02462, 0.06594, 0.32591, 0.06532
1991-01-10, 0.01197, 0.21843, 0.08835, 0.04897, 0.00034, 0.00159, 0.18880, 0.02202, 0.05936, 0.30126, 0.05891
1991-01-11, 0.01327, 0.20949, 0.09226, 0.04272, 0.00032, 0.00145, 0.19335, 0.02222, 0.06285, 0.29918, 0.06288
1991-01-12, 0.01207, 0.20454, 0.09867, 0.04176, 0.00035, 0.00144, 0.17541, 0.02431, 0.06640, 0.30853, 0.06653
1991-01-13, 0.01208, 0.20169, 0.09800, 0.04361, 0.00042, 0.00107, 0.17435, 0.02405, 0.06588, 0.31349, 0.06535
1991-01-14, 0.01166, 0.19551, 0.09436, 0.05512, 0.00051, 0.00084, 0.17567, 0.02224, 0.06410, 0.31652, 0.06347
1991-01-15, 0.01074, 0.17714, 0.09685, 0.06515, 0.00061, 0.00085, 0.17029, 0.02237, 0.06652, 0.32358, 0.06588
1991-01-16, 0.01076, 0.17400, 0.09900, 0.07294, 0.00069, 0.00094, 0.15733, 0.02313, 0.06757, 0.32705, 0.06658
1991-01-17, 0.00896, 0.16417, 0.10575, 0.07188, 0.00072, 0.00097, 0.14111, 0.02505, 0.07148, 0.33965, 0.07026
1991-01-18, 0.00921, 0.16886, 0.10356, 0.07005, 0.00066, 0.00102, 0.15640, 0.02433, 0.06978, 0.32721, 0.06891
1991-01-19, 0.00999, 0.15517, 0.10648, 0.07514, 0.00064, 0.00111, 0.14754, 0.02383, 0.07287, 0.33472, 0.07250
1991-01-20, 0.01003, 0.16628, 0.10183, 0.07625, 0.00067, 0.00117, 0.15060, 0.02249, 0.06914, 0.33203, 0.06949
1991-01-21, 0.00977, 0.16599, 0.10612, 0.07021, 0.00074, 0.00116, 0.14160, 0.02485, 0.06975, 0.33958, 0.07023
1991-01-22, 0.01120, 0.16301, 0.11190, 0.05785, 0.00083, 0.00123, 0.13692, 0.02753, 0.07169, 0.34589, 0.07195
1991-01-23, 0.01228, 0.17539, 0.10438, 0.06303, 0.00092, 0.00144, 0.15163, 0.02556, 0.06707, 0.33068, 0.06762
1991-01-24, 0.01126, 0.18225, 0.10208, 0.05880, 0.00093, 0.00171, 0.16302, 0.02372, 0.06713, 0.32103, 0.06807
1991-01-25, 0.01010, 0.17040, 0.10668, 0.06276, 0.00100, 0.00180, 0.15725, 0.02533, 0.06933, 0.32559, 0.06976
1991-01-26, 0.01045, 0.17145, 0.10219, 0.06959, 0.00108, 0.00164, 0.17735, 0.02368, 0.06707, 0.30849, 0.06701
1991-01-27, 0.01022, 0.17730, 0.09732, 0.06976, 0.00139, 0.00183, 0.18280, 0.02241, 0.06416, 0.30863, 0.06419
1991-01-28, 0.00947, 0.17345, 0.10288, 0.07130, 0.00172, 0.00206, 0.16375, 0.02427, 0.06707, 0.31716, 0.06686
1991-01-29, 0.00903, 0.16298, 0.10837, 0.06825, 0.00188, 0.00217, 0.15168, 0.02649, 0.06917, 0.33138, 0.06861
1991-01-30, 0.01146, 0.16745, 0.09852, 0.05880, 0.00181, 0.00224, 0.18390, 0.02188, 0.06647, 0.32027, 0.06719
1991-01-31, 0.01000, 0.16693, 0.09526, 0.08612, 0.00162, 0.00239, 0.17652, 0.02165, 0.06354, 0.31155, 0.06443
1991-02-01, 0.01197, 0.15862, 0.09146, 0.11288, 0.00148, 0.00250, 0.17664, 0.02024, 0.06209, 0.29966, 0.06245
1991-02-02, 0.01486, 0.16834, 0.08663, 0.10036, 0.00144, 0.00244, 0.19804, 0.01902, 0.05934, 0.29020, 0.05935
1991-02-03, 0.01526, 0.16929, 0.08816, 0.09883, 0.00143, 0.00238, 0.19421, 0.02037, 0.05882, 0.29256, 0.05867
1991-02-04, 0.01472, 0.16897, 0.09443, 0.09842, 0.00133, 0.00207, 0.17835, 0.02230, 0.06187, 0.29616, 0.06138
1991-02-05, 0.01356, 0.15831, 0.09945, 0.11345, 0.00110, 0.00172, 0.16418, 0.02430, 0.06323, 0.29806, 0.06264
1991-02-06, 0.01329, 0.16440, 0.09440, 0.13170, 0.00063, 0.00150, 0.17125, 0.02398, 0.05786, 0.28388, 0.05711
1991-02-07, 0.01189, 0.15877, 0.09907, 0.11337, 0.00060, 0.00185, 0.16939, 0.02440, 0.06180, 0.29738, 0.06147
1991-02-08, 0.01185, 0.16351, 0.09871, 0.11210, 0.00063, 0.00224, 0.16829, 0.02469, 0.06056, 0.29695, 0.06048
1991-02-09, 0.01224, 0.16498, 0.09859, 0.10926, 0.00064, 0.00259, 0.17132, 0.02422, 0.06045, 0.29549, 0.06023
1991-02-10, 0.01230, 0.16368, 0.10203, 0.09954, 0.00070, 0.00316, 0.16859, 0.02534, 0.06193, 0.30115, 0.06159
1991-02-11, 0.01064, 0.16070, 0.10425, 0.09746, 0.00076, 0.00359, 0.16794, 0.02570, 0.06341, 0.30215, 0.06339
