date, weight 
1991-01-01, 7.37674e-06
1991-01-02, 6.34701e-06
1991-01-03, 7.33586e-06
1991-01-04, 9.48468e-06
1991-01-05, 9.67116e-06
1991-01-06, 7.12980e-06
1991-01-07, 6.47691e-06
1991-01-08, 9.81220e-06
1991-01-09, 9.95477e-06
1991-01-10, 6.78385e-06
1991-01-11, 5.30527e-06
1991-01-12, 2.27869e-05
1991-01-13, 3.27355e-05
1991-01-14, 1.92349e-05
1991-01-15, 1.58701e-05
1991-01-16, 1.48208e-05
1991-01-17, 1.13396e-05
1991-01-18, 1.46360e-05
1991-01-19, 4.28708e-05
1991-01-20, 1.12097e-04
1991-01-21, 1.04699e-04
1991-01-22, 7.10848e-05
1991-01-23, 5.80917e-05
1991-01-24, 4.82397e-05
1991-01-25, 4.36921e-05
1991-01-26, 3.74440e-05
1991-01-27, 2.96721e-05
1991-01-28, 2.58337e-05
1991-01-29, 1.90780e-05
1991-01-30, 1.59214e-05
1991-01-31, 1.86727e-05
1991-02-01, 1.51836e-05
1991-02-02, 1.62650e-05
1991-02-03, 1.51768e-05
1991-02-04, 1.45482e-05
1991-02-05, 1.99503e-05
1991-02-06, 1.64212e-05
1991-02-07, 1.21519e-05
1991-02-08, 9.84401e-06
1991-02-09, 9.89261e-06
1991-02-10, 7.88103e-06
1991-02-11, 4.57905e-06
1991-02-12, 4.19447e-06
1991-02-13, 3.55345e-06
1991-02-14, 5.69371e-06
1991-02-15, 1.91819e-05
1991-02-16, 3.66099e-05
1991-02-17, 5.46345e-05
1991-02-18, 5.62002e-05
1991-02-19, 3.55482e-05
1991-02-20, 2.04089e-05
1991-02-21, 1.29213e-05
1991-02-22, 9.30904e-06
1991-02-23, 6.40892e-06
1991-02-24, 5.34139e-06
1991-02-25, 6.39862e-06
1991-02-26, 1.26593e-05
1991-02-27, 2.01109e-05
1991-02-28, 3.29546e-05
1991-03-01, 6.32364e-05
1991-03-02, 4.19685e-05
1991-03-03, 1.93962e-05
1991-03-04, 1.49020e-05
1991-03-05, 1.32289e-05
1991-03-06, 9.23426e-06
1991-03-07, 7.27447e-06
1991-03-08, 1.09019e-05
1991-03-09, 2.01967e-05
1991-03-10, 2.34575e-05
1991-03-11, 3.71921e-05
1991-03-12, 6.40909e-05
1991-03-13, 8.36158e-05
1991-03-14, 8.59588e-05
1991-03-15, 8.98872e-05
1991-03-16, 1.02814e-04
1991-03-17, 9.58338e-05
1991-03-18, 5.67573e-05
1991-03-19, 3.31935e-05
1991-03-20, 2.72830e-05
1991-03-21, 2.43341e-05
1991-03-22, 2.42494e-05
1991-03-23, 2.94340e-05
1991-03-24, 4.15203e-05
1991-03-25, 4.45773e-05
1991-03-26, 3.59628e-05
1991-03-27, 3.45516e-05
1991-03-28, 3.47649e-05
1991-03-29, 3.88606e-05
1991-03-30, 5.32084e-05
1991-03-31, 8.62067e-05
1991-04-01, 1.34578e-04
1991-04-02, 1.45198e-04
1991-04-03, 1.49360e-04
1991-04-04, 1.70060e-04
1991-04-05, 1.46248e-04
1991-04-06, 9.44402e-05
1991-04-07, 7.32651e-05
1991-04-08, 9.84034e-05
1991-04-09, 1.54482e-04
1991-04-10, 2.03244e-04
1991-04-11, 1.75688e-04
1991-04-12, 1.54922e-04
1991-04-13, 1.78152e-04
1991-04-14, 1.95656e-04
1991-04-15, 1.62496e-04
1991-04-16, 9.80466e-05
1991-04-17, 9.22781e-05
1991-04-18, 1.36733e-04
1991-04-19, 2.04010e-04
1991-04-20, 2.44986e-04
1991-04-21, 2.62655e-04
1991-04-22, 3.36287e-04
1991-04-23, 4.46326e-04
1991-04-24, 4.15831e-04
1991-04-25, 3.43980e-04
1991-04-26, 3.50013e-04
1991-04-27, 3.94481e-04
1991-04-28, 4.81611e-04
1991-04-29, 4.83430e-04
1991-04-30, 4.31693e-04
1991-05-01, 4.45894e-04
1991-05-02, 5.43094e-04
1991-05-03, 6.77315e-04
1991-05-04, 6.57424e-04
1991-05-05, 5.36493e-04
1991-05-06, 5.26167e-04
1991-05-07, 6.03275e-04
1991-05-08, 5.96990e-04
1991-05-09, 5.37545e-04
1991-05-10, 5.18503e-04
1991-05-11, 5.02598e-04
1991-05-12, 5.29502e-04
1991-05-13, 7.11343e-04
1991-05-14, 9.36513e-04
1991-05-15, 9.88173e-04
1991-05-16, 9.68864e-04
1991-05-17, 0.00107
1991-05-18, 0.00128
1991-05-19, 0.00131
1991-05-20, 0.00116
1991-05-21, 9.60690e-04
1991-05-22, 7.32995e-04
1991-05-23, 5.99325e-04
1991-05-24, 6.26686e-04
1991-05-25, 7.63325e-04
1991-05-26, 9.38946e-04
1991-05-27, 9.69401e-04
1991-05-28, 8.38132e-04
1991-05-29, 7.46342e-04
1991-05-30, 7.17788e-04
1991-05-31, 6.83419e-04
1991-06-01, 7.10897e-04
1991-06-02, 7.76687e-04
1991-06-03, 7.72358e-04
1991-06-04, 7.67293e-04
1991-06-05, 8.16886e-04
1991-06-06, 8.11625e-04
1991-06-07, 6.43196e-04
1991-06-08, 4.69787e-04
1991-06-09, 3.87677e-04
1991-06-10, 3.45387e-04
1991-06-11, 3.21356e-04
1991-06-12, 3.26144e-04
1991-06-13, 3.46576e-04
1991-06-14, 3.94586e-04
1991-06-15, 4.33856e-04
1991-06-16, 4.27802e-04
1991-06-17, 4.00945e-04
1991-06-18, 3.70454e-04
1991-06-19, 3.13487e-04
1991-06-20, 2.82832e-04
1991-06-21, 2.60965e-04
1991-06-22, 2.47148e-04
1991-06-23, 2.38359e-04
1991-06-24, 1.93494e-04
1991-06-25, 1.69889e-04
1991-06-26, 1.56995e-04
1991-06-27, 1.36008e-04
1991-06-28, 1.23666e-04
1991-06-29, 1.21541e-04
1991-06-30, 1.22648e-04
1991-07-01, 1.03737e-04
1991-07-02, 8.98886e-05
1991-07-03, 8.03416e-05
1991-07-04, 6.70886e-05
1991-07-05, 6.48898e-05
1991-07-06, 6.64560e-05
1991-07-07, 6.86448e-05
1991-07-08, 7.71738e-05
1991-07-09, 8.23926e-05
1991-07-10, 7.53964e-05
1991-07-11, 7.14105e-05
1991-07-12, 6.61793e-05
1991-07-13, 6.40249e-05
1991-07-14, 5.53082e-05
1991-07-15, 4.34885e-05
1991-07-16, 3.47922e-05
1991-07-17, 2.72543e-05
1991-07-18, 2.33437e-05
1991-07-19, 1.93417e-05
1991-07-20, 1.72175e-05
1991-07-21, 1.80407e-05
1991-07-22, 2.22272e-05
1991-07-23, 1.61910e-05
1991-07-24, 1.09917e-05
1991-07-25, 1.00081e-05
1991-07-26, 1.08385e-05
