date, Precipitation Correction $W$, Rain-Snow Partitioning $V$, Percolation $U$, Potential Melt $T$, Convolution (dlyd runoff) $S$, Convolution (srfc runoff) $R$, Snow Balance $Q$, Baseflow $P$, Evaporation $O$, Quickflow $N$, Infiltration $M$
1991-01-01, 0.00268, 0.03242, 0.20129, 0.00340, 0.00005, 0.00075, 0.01518, 0.07570, 0.11053, 0.46251, 0.09550
1991-01-02, 0.00262, 0.03775, 0.19978, 0.00322, 0.00003, 0.00056, 0.02005, 0.07519, 0.10881, 0.45829, 0.09370
1991-01-03, 0.00273, 0.04167, 0.19907, 0.00306, 0.00002, 0.00030, 0.02347, 0.07493, 0.10760, 0.45497, 0.09219
1991-01-04, 0.00311, 0.04051, 0.20171, 0.00328, 0.00001, 0.00020, 0.02235, 0.07602, 0.10812, 0.45253, 0.09215
1991-01-05, 0.00326, 0.03730, 0.20597, 0.00565, 0.00001, 0.00014, 0.01771, 0.07727, 0.11006, 0.44917, 0.09346
1991-01-06, 0.00258, 0.03290, 0.21008, 0.00560, 0.00000, 0.00008, 0.01370, 0.07949, 0.11065, 0.45137, 0.09355
1991-01-07, 0.00237, 0.02937, 0.21328, 0.00493, 0.00000, 0.00003, 0.01147, 0.08096, 0.11124, 0.45273, 0.09361
1991-01-08, 0.00240, 0.03711, 0.20838, 0.00401, 0.00000, 0.00001, 0.02293, 0.07915, 0.10837, 0.44625, 0.09139
1991-01-09, 0.00237, 0.03716, 0.20985, 0.00354, 0.00000, 0.00001, 0.02377, 0.08000, 0.10803, 0.44441, 0.09085
1991-01-10, 0.00252, 0.03701, 0.21218, 0.00363, 0.00000, 0.00001, 0.02308, 0.08097, 0.10830, 0.44147, 0.09082
1991-01-11, 0.00297, 0.03796, 0.21543, 0.00530, 0.00000, 0.00003, 0.01931, 0.08153, 0.10994, 0.43539, 0.09214
1991-01-12, 0.00286, 0.03687, 0.21770, 0.00527, 0.00000, 0.00002, 0.01739, 0.08294, 0.10949, 0.43583, 0.09162
1991-01-13, 0.00257, 0.03573, 0.21930, 0.00501, 0.00000, 0.00001, 0.01759, 0.08375, 0.10916, 0.43585, 0.09104
1991-01-14, 0.00287, 0.05211, 0.20916, 0.00444, 0.00000, 0.00000, 0.03138, 0.07999, 0.10351, 0.43003, 0.08650
1991-01-15, 0.00343, 0.05864, 0.20750, 0.00392, 0.00000, 0.00000, 0.03710, 0.07931, 0.10168, 0.42383, 0.08459
1991-01-16, 0.00316, 0.05030, 0.21265, 0.00397, 0.00000, 0.00001, 0.03559, 0.08093, 0.10313, 0.42481, 0.08547
1991-01-17, 0.00275, 0.04091, 0.21908, 0.00440, 0.00000, 0.00001, 0.03047, 0.08352, 0.10547, 0.42606, 0.08734
1991-01-18, 0.00260, 0.03323, 0.22607, 0.00357, 0.00000, 0.00001, 0.02467, 0.08573, 0.10866, 0.42550, 0.08996
1991-01-19, 0.00219, 0.02788, 0.23029, 0.00308, 0.00000, 0.00001, 0.01891, 0.08771, 0.10926, 0.43060, 0.09007
1991-01-20, 0.00284, 0.04199, 0.22241, 0.00271, 0.00000, 0.00001, 0.03596, 0.08396, 0.10541, 0.41790, 0.08681
1991-01-21, 0.00316, 0.04580, 0.22136, 0.00249, 0.00000, 0.00001, 0.04070, 0.08354, 0.10400, 0.41338, 0.08555
1991-01-22, 0.00376, 0.04516, 0.22289, 0.00317, 0.00000, 0.00001, 0.03993, 0.08401, 0.10400, 0.41155, 0.08552
1991-01-23, 0.00328, 0.03764, 0.23038, 0.00304, 0.00000, 0.00002, 0.03017, 0.08677, 0.10674, 0.41422, 0.08776
1991-01-24, 0.00313, 0.03768, 0.23325, 0.00291, 0.00000, 0.00002, 0.02708, 0.08784, 0.10717, 0.41306, 0.08786
1991-01-25, 0.00304, 0.03929, 0.23411, 0.00510, 0.00000, 0.00003, 0.02508, 0.08803, 0.10683, 0.41103, 0.08746
1991-01-26, 0.00338, 0.04293, 0.23082, 0.00929, 0.00000, 0.00004, 0.02980, 0.08676, 0.10420, 0.40742, 0.08535
1991-01-27, 0.00300, 0.04537, 0.22912, 0.01213, 0.00000, 0.00005, 0.03264, 0.08595, 0.10261, 0.40519, 0.08395
