date, weight 
1991-01-01, 4.52216e-07
1991-01-02, 1.47894e-06
1991-01-03, 2.65555e-06
1991-01-04, 3.32842e-06
1991-01-05, 1.72110e-06
1991-01-06, 7.43548e-07
1991-01-07, 4.49137e-07
1991-01-08, 8.49216e-07
1991-01-09, 2.68815e-06
1991-01-10, 1.82063e-06
1991-01-11, 7.28829e-07
1991-01-12, 4.15189e-07
1991-01-13, 3.38051e-07
1991-01-14, 6.84901e-07
1991-01-15, 1.25038e-06
1991-01-16, 2.92646e-06
1991-01-17, 3.25349e-06
1991-01-18, 1.09363e-06
1991-01-19, 5.16380e-07
1991-01-20, 1.32407e-06
1991-01-21, 5.42487e-06
1991-01-22, 1.06666e-05
1991-01-23, 1.22249e-05
1991-01-24, 1.29846e-05
1991-01-25, 2.35833e-05
1991-01-26, 3.76485e-05
1991-01-27, 3.69079e-05
1991-01-28, 2.12522e-05
1991-01-29, 9.74559e-06
1991-01-30, 5.13016e-06
1991-01-31, 3.29718e-06
1991-02-01, 2.44906e-06
1991-02-02, 2.24721e-06
1991-02-03, 2.49044e-06
1991-02-04, 2.56992e-06
1991-02-05, 7.87701e-06
1991-02-06, 9.62412e-06
1991-02-07, 5.52850e-06
1991-02-08, 3.19365e-06
1991-02-09, 2.03808e-06
1991-02-10, 2.08333e-06
1991-02-11, 2.62589e-06
1991-02-12, 2.12634e-06
1991-02-13, 1.01264e-06
1991-02-14, 6.96785e-07
1991-02-15, 5.56447e-07
1991-02-16, 5.38242e-07
1991-02-17, 1.81511e-06
1991-02-18, 3.85999e-06
1991-02-19, 2.66029e-06
1991-02-20, 1.49836e-06
1991-02-21, 1.51408e-06
1991-02-22, 3.40576e-06
1991-02-23, 7.91552e-06
1991-02-24, 6.11451e-06
1991-02-25, 2.15453e-06
1991-02-26, 2.09140e-06
1991-02-27, 4.02839e-06
1991-02-28, 2.94373e-06
1991-03-01, 2.53968e-06
1991-03-02, 2.47543e-06
1991-03-03, 4.93613e-06
1991-03-04, 1.78980e-05
1991-03-05, 2.06064e-05
1991-03-06, 1.17415e-05
1991-03-07, 9.07935e-06
1991-03-08, 1.17558e-05
1991-03-09, 2.04301e-05
1991-03-10, 1.56312e-05
1991-03-11, 1.65191e-05
1991-03-12, 3.18388e-05
1991-03-13, 5.93149e-05
1991-03-14, 7.39528e-05
1991-03-15, 6.98085e-05
1991-03-16, 7.96332e-05
1991-03-17, 1.01254e-04
1991-03-18, 7.61365e-05
1991-03-19, 4.69030e-05
1991-03-20, 3.77622e-05
1991-03-21, 3.67331e-05
1991-03-22, 3.10655e-05
1991-03-23, 3.33907e-05
1991-03-24, 4.62406e-05
1991-03-25, 6.28996e-05
1991-03-26, 7.58731e-05
1991-03-27, 7.23443e-05
1991-03-28, 5.87916e-05
1991-03-29, 5.24090e-05
1991-03-30, 3.18429e-05
1991-03-31, 2.40986e-05
1991-04-01, 8.59231e-05
1991-04-02, 1.63808e-04
1991-04-03, 1.90536e-04
1991-04-04, 2.55454e-04
1991-04-05, 2.79109e-04
1991-04-06, 2.23581e-04
1991-04-07, 1.60791e-04
1991-04-08, 1.74567e-04
1991-04-09, 3.12329e-04
