date, Precipitation Correction $W$, Rain-Snow Partitioning $V$, Percolation $U$, Potential Melt $T$, Convolution (dlyd runoff) $S$, Convolution (srfc runoff) $R$, Snow Balance $Q$, Baseflow $P$, Evaporation $O$, Quickflow $N$, Infiltration $M$
1991-01-01, 0.00752, 0.11552, 0.12226, 0.08139, 0.00034, 0.00124, 0.10562, 0.02732, 0.08205, 0.38227, 0.07448
1991-01-02, 0.00750, 0.09804, 0.12242, 0.09628, 0.00038, 0.00116, 0.10797, 0.02725, 0.08169, 0.38417, 0.07314
1991-01-03, 0.00873, 0.11539, 0.11678, 0.08754, 0.00049, 0.00117, 0.13303, 0.02599, 0.07717, 0.36559, 0.06813
1991-01-04, 0.00966, 0.12693, 0.11661, 0.08474, 0.00065, 0.00098, 0.13532, 0.02611, 0.07618, 0.35562, 0.06721
1991-01-05, 0.01131, 0.13719, 0.11527, 0.07078, 0.00085, 0.00107, 0.14799, 0.02538, 0.07537, 0.34702, 0.06776
1991-01-06, 0.01167, 0.13383, 0.11901, 0.06519, 0.00096, 0.00111, 0.14536, 0.02763, 0.07555, 0.35243, 0.06727
1991-01-07, 0.01088, 0.13138, 0.11419, 0.09020, 0.00086, 0.00080, 0.15701, 0.02678, 0.07137, 0.33422, 0.06231
1991-01-08, 0.01002, 0.11741, 0.11660, 0.09778, 0.00072, 0.00056, 0.15351, 0.02710, 0.07264, 0.34064, 0.06302
1991-01-09, 0.00933, 0.11504, 0.12495, 0.08366, 0.00052, 0.00045, 0.13884, 0.02953, 0.07691, 0.35519, 0.06559
1991-01-10, 0.01011, 0.12982, 0.12594, 0.08153, 0.00038, 0.00046, 0.13905, 0.03011, 0.07667, 0.34144, 0.06450
1991-01-11, 0.01057, 0.13856, 0.12627, 0.07386, 0.00031, 0.00049, 0.13866, 0.03072, 0.07607, 0.34072, 0.06378
1991-01-12, 0.00949, 0.13785, 0.12200, 0.08637, 0.00032, 0.00057, 0.14150, 0.02885, 0.07434, 0.33618, 0.06253
1991-01-13, 0.00970, 0.14871, 0.12056, 0.07989, 0.00039, 0.00050, 0.14622, 0.02830, 0.07358, 0.33126, 0.06090
1991-01-14, 0.00986, 0.14618, 0.12138, 0.08526, 0.00050, 0.00035, 0.14468, 0.02875, 0.07369, 0.32797, 0.06138
