date, weight 
1991-01-01, 9.00128e-06
1991-01-02, 5.53693e-06
1991-01-03, 3.90988e-06
1991-01-04, 2.80925e-06
1991-01-05, 2.50082e-06
1991-01-06, 2.29135e-06
1991-01-07, 1.49092e-06
1991-01-08, 7.77984e-06
1991-01-09, 3.36740e-05
1991-01-10, 1.92346e-05
1991-01-11, 4.70484e-06
1991-01-12, 2.37866e-06
1991-01-13, 1.55100e-06
1991-01-14, 1.12864e-06
1991-01-15, 8.85524e-07
1991-01-16, 7.29584e-07
1991-01-17, 6.38990e-07
1991-01-18, 3.83520e-06
1991-01-19, 2.62618e-05
1991-01-20, 4.82586e-05
1991-01-21, 3.68816e-05
1991-01-22, 4.18828e-05
1991-01-23, 2.71339e-05
1991-01-24, 8.26391e-06
1991-01-25, 4.54783e-06
1991-01-26, 3.08381e-06
1991-01-27, 2.32073e-06
1991-01-28, 1.57588e-06
1991-01-29, 1.22941e-06
1991-01-30, 9.96020e-07
1991-01-31, 3.97865e-06
1991-02-01, 3.32051e-05
1991-02-02, 9.14870e-05
1991-02-03, 8.84897e-05
1991-02-04, 3.50193e-05
1991-02-05, 1.41682e-05
1991-02-06, 1.03453e-05
1991-02-07, 4.76749e-06
1991-02-08, 3.63616e-06
1991-02-09, 6.42705e-06
1991-02-10, 7.30030e-06
1991-02-11, 3.90627e-06
1991-02-12, 3.43744e-06
1991-02-13, 2.33579e-06
1991-02-14, 8.99455e-06
1991-02-15, 1.08029e-05
1991-02-16, 3.05050e-06
1991-02-17, 2.27145e-06
1991-02-18, 1.77094e-06
1991-02-19, 9.55017e-07
1991-02-20, 7.10580e-07
1991-02-21, 5.90760e-07
1991-02-22, 1.72282e-06
1991-02-23, 7.03914e-06
1991-02-24, 1.46910e-05
1991-02-25, 1.24202e-05
1991-02-26, 3.73771e-05
1991-02-27, 4.47259e-05
1991-02-28, 9.67556e-05
1991-03-01, 2.71733e-04
1991-03-02, 1.89796e-04
1991-03-03, 1.19557e-04
1991-03-04, 8.98425e-05
1991-03-05, 9.11018e-05
1991-03-06, 5.78718e-05
1991-03-07, 5.67557e-05
1991-03-08, 5.37843e-05
1991-03-09, 3.69468e-05
1991-03-10, 4.40089e-05
1991-03-11, 5.47105e-05
1991-03-12, 6.58014e-05
1991-03-13, 9.41780e-05
1991-03-14, 6.88144e-05
1991-03-15, 6.40507e-05
1991-03-16, 6.87068e-05
1991-03-17, 3.76748e-05
1991-03-18, 1.65483e-05
1991-03-19, 1.00764e-05
1991-03-20, 1.08095e-05
1991-03-21, 1.36102e-05
1991-03-22, 8.31866e-06
1991-03-23, 9.78526e-06
1991-03-24, 1.72811e-05
1991-03-25, 2.55703e-05
1991-03-26, 1.74695e-05
1991-03-27, 1.15828e-05
1991-03-28, 1.29068e-05
1991-03-29, 2.48581e-05
1991-03-30, 3.41268e-05
1991-03-31, 8.16777e-05
1991-04-01, 3.00927e-04
1991-04-02, 3.47969e-04
1991-04-03, 1.90320e-04
1991-04-04, 1.30644e-04
1991-04-05, 1.07064e-04
1991-04-06, 1.08875e-04
1991-04-07, 5.09894e-05
1991-04-08, 7.27138e-05
1991-04-09, 1.14884e-04
1991-04-10, 1.29783e-04
1991-04-11, 1.11382e-04
1991-04-12, 9.88576e-05
1991-04-13, 1.00861e-04
1991-04-14, 7.86583e-05
1991-04-15, 9.35834e-05
1991-04-16, 8.77897e-05
1991-04-17, 1.59137e-04
1991-04-18, 4.39934e-04
1991-04-19, 7.89938e-04
1991-04-20, 7.62967e-04
1991-04-21, 7.61837e-04
1991-04-22, 0.00102
1991-04-23, 0.00120
1991-04-24, 0.00104
1991-04-25, 8.23782e-04
1991-04-26, 8.14857e-04
1991-04-27, 7.66567e-04
1991-04-28, 6.38934e-04
1991-04-29, 6.86465e-04
1991-04-30, 7.27778e-04
1991-05-01, 6.45685e-04
1991-05-02, 7.63027e-04
1991-05-03, 0.00105
1991-05-04, 9.76426e-04
1991-05-05, 7.60938e-04
1991-05-06, 6.30180e-04
1991-05-07, 5.26003e-04
1991-05-08, 5.02330e-04
1991-05-09, 4.56628e-04
1991-05-10, 4.79524e-04
1991-05-11, 5.37476e-04
1991-05-12, 4.94406e-04
1991-05-13, 5.57502e-04
1991-05-14, 8.48161e-04
1991-05-15, 0.00102
1991-05-16, 8.25472e-04
1991-05-17, 7.02240e-04
1991-05-18, 7.20698e-04
1991-05-19, 5.76703e-04
1991-05-20, 4.48530e-04
1991-05-21, 4.19778e-04
1991-05-22, 4.68538e-04
1991-05-23, 4.78270e-04
1991-05-24, 4.78229e-04
1991-05-25, 5.34971e-04
1991-05-26, 6.71740e-04
1991-05-27, 8.04789e-04
1991-05-28, 7.67522e-04
1991-05-29, 5.74457e-04
1991-05-30, 4.39460e-04
1991-05-31, 3.92802e-04
1991-06-01, 3.74775e-04
1991-06-02, 3.33973e-04
1991-06-03, 2.82963e-04
1991-06-04, 3.03228e-04
1991-06-05, 3.00525e-04
1991-06-06, 2.11028e-04
1991-06-07, 2.40233e-04
1991-06-08, 2.28288e-04
1991-06-09, 1.60222e-04
1991-06-10, 2.20188e-04
1991-06-11, 2.63854e-04
1991-06-12, 1.68230e-04
1991-06-13, 1.11781e-04
1991-06-14, 2.01405e-04
1991-06-15, 3.43797e-04
1991-06-16, 2.88907e-04
1991-06-17, 1.54318e-04
1991-06-18, 9.52545e-05
1991-06-19, 6.40309e-05
1991-06-20, 6.14403e-05
1991-06-21, 8.48240e-05
1991-06-22, 8.87862e-05
1991-06-23, 2.04043e-04
1991-06-24, 1.59348e-04
1991-06-25, 1.07039e-04
1991-06-26, 1.17773e-04
1991-06-27, 7.15772e-05
1991-06-28, 7.12836e-05
1991-06-29, 7.19374e-05
1991-06-30, 5.40770e-05
1991-07-01, 1.64435e-04
1991-07-02, 2.94437e-04
1991-07-03, 2.94905e-04
1991-07-04, 1.95648e-04
1991-07-05, 1.65683e-04
1991-07-06, 1.43345e-04
1991-07-07, 1.48584e-04
1991-07-08, 1.47689e-04
1991-07-09, 7.36468e-05
1991-07-10, 5.43501e-05
1991-07-11, 7.43784e-05
1991-07-12, 7.31627e-05
1991-07-13, 1.18893e-04
1991-07-14, 2.13125e-04
1991-07-15, 2.12957e-04
1991-07-16, 1.08104e-04
1991-07-17, 1.45242e-04
1991-07-18, 1.31375e-04
1991-07-19, 1.94086e-04
1991-07-20, 2.61714e-04
1991-07-21, 1.50203e-04
1991-07-22, 8.72485e-05
1991-07-23, 8.14615e-05
1991-07-24, 7.95060e-05
1991-07-25, 6.84828e-05
1991-07-26, 4.85265e-05
1991-07-27, 3.92556e-05
1991-07-28, 4.45327e-05
1991-07-29, 8.57246e-05
1991-07-30, 1.16592e-04
1991-07-31, 1.24482e-04
1991-08-01, 9.02200e-05
1991-08-02, 9.78875e-05
1991-08-03, 1.10972e-04
1991-08-04, 7.91361e-05
1991-08-05, 6.04800e-05
1991-08-06, 7.29167e-05
1991-08-07, 1.02549e-04
1991-08-08, 1.13894e-04
1991-08-09, 1.40427e-04
1991-08-10, 1.54728e-04
1991-08-11, 2.56967e-04
1991-08-12, 1.22015e-04
1991-08-13, 5.28877e-05
1991-08-14, 3.16673e-05
1991-08-15, 4.37687e-05
1991-08-16, 1.44906e-04
1991-08-17, 1.62150e-04
1991-08-18, 6.07649e-05
1991-08-19, 3.33661e-05
1991-08-20, 3.83957e-05
1991-08-21, 7.82074e-05
1991-08-22, 7.66819e-05
1991-08-23, 5.35021e-05
1991-08-24, 8.30389e-05
1991-08-25, 9.65921e-05
1991-08-26, 8.51211e-05
1991-08-27, 1.37322e-04
1991-08-28, 1.18500e-04
1991-08-29, 8.88787e-05
1991-08-30, 5.81422e-05
1991-08-31, 7.28098e-05
1991-09-01, 6.79831e-05
1991-09-02, 3.34130e-05
1991-09-03, 6.57521e-05
1991-09-04, 9.43736e-05
1991-09-05, 4.57616e-05
1991-09-06, 7.10179e-05
1991-09-07, 1.43016e-04
1991-09-08, 9.90919e-05
1991-09-09, 4.56744e-05
1991-09-10, 3.13490e-05
1991-09-11, 5.47270e-05
1991-09-12, 1.21764e-04
1991-09-13, 7.49409e-05
1991-09-14, 4.50736e-05
1991-09-15, 4.22052e-05
1991-09-16, 2.52751e-05
1991-09-17, 3.63559e-05
1991-09-18, 4.17506e-05
1991-09-19, 2.12541e-05
1991-09-20, 2.34052e-05
1991-09-21, 3.03784e-05
1991-09-22, 2.84750e-05
1991-09-23, 2.41285e-05
1991-09-24, 5.06663e-05
1991-09-25, 4.97969e-05
1991-09-26, 3.15285e-05
1991-09-27, 2.17458e-05
1991-09-28, 1.92984e-05
1991-09-29, 2.29373e-05
1991-09-30, 1.96770e-05
1991-10-01, 1.65951e-05
1991-10-02, 3.58108e-05
1991-10-03, 2.79625e-05
1991-10-04, 1.33677e-05
1991-10-05, 1.18041e-05
1991-10-06, 1.79317e-05
1991-10-07, 1.80113e-05
1991-10-08, 2.38886e-05
1991-10-09, 2.19671e-05
1991-10-10, 1.31643e-05
1991-10-11, 9.10216e-06
1991-10-12, 8.43449e-06
1991-10-13, 8.44843e-06
1991-10-14, 8.08481e-06
1991-10-15, 9.10254e-06
1991-10-16, 1.27412e-05
1991-10-17, 1.34920e-05
1991-10-18, 9.50017e-06
1991-10-19, 8.24419e-06
1991-10-20, 6.60035e-06
1991-10-21, 1.27946e-05
1991-10-22, 4.58721e-05
1991-10-23, 5.13256e-05
1991-10-24, 3.45100e-05
1991-10-25, 2.73998e-05
1991-10-26, 1.81158e-05
1991-10-27, 1.88102e-05
1991-10-28, 3.14603e-05
1991-10-29, 2.18864e-05
1991-10-30, 8.24258e-06
1991-10-31, 4.88755e-06
1991-11-01, 3.75287e-06
1991-11-02, 3.28441e-06
1991-11-03, 4.89350e-06
1991-11-04, 7.61848e-06
1991-11-05, 5.96636e-06
1991-11-06, 1.58700e-05
1991-11-07, 1.96840e-05
1991-11-08, 5.70246e-06
1991-11-09, 2.92840e-06
1991-11-10, 2.14436e-06
1991-11-11, 1.72917e-06
1991-11-12, 1.44120e-06
1991-11-13, 1.25418e-06
1991-11-14, 1.11582e-06
1991-11-15, 3.39723e-06
1991-11-16, 5.29710e-06
1991-11-17, 1.92712e-06
1991-11-18, 1.64533e-06
1991-11-19, 3.68894e-06
1991-11-20, 1.16980e-05
1991-11-21, 9.12968e-06
1991-11-22, 2.58462e-06
1991-11-23, 1.46227e-06
1991-11-24, 2.13037e-06
1991-11-25, 4.62357e-06
1991-11-26, 2.60371e-06
1991-11-27, 1.18893e-06
1991-11-28, 1.28776e-06
1991-11-29, 1.10929e-06
1991-11-30, 6.69758e-07
1991-12-01, 5.58963e-07
1991-12-02, 4.97943e-07
1991-12-03, 4.55477e-07
1991-12-04, 8.73952e-07
1991-12-05, 1.19402e-06
1991-12-06, 5.31174e-07
1991-12-07, 4.23103e-07
1991-12-08, 2.07704e-06
1991-12-09, 3.15861e-06
1991-12-10, 1.30982e-06
1991-12-11, 1.58225e-06
1991-12-12, 8.68914e-07
1991-12-13, 8.26182e-07
1991-12-14, 7.97934e-07
1991-12-15, 3.99120e-06
1991-12-16, 5.67581e-06
1991-12-17, 1.22106e-06
1991-12-18, 6.18867e-07
1991-12-19, 4.40671e-07
1991-12-20, 3.59194e-07
1991-12-21, 3.14165e-07
1991-12-22, 2.82856e-07
1991-12-23, 5.94866e-07
1991-12-24, 1.39078e-05
1991-12-25, 6.13910e-05
1991-12-26, 5.78732e-05
1991-12-27, 4.37415e-05
1991-12-28, 4.75584e-05
1991-12-29, 4.73907e-05
1991-12-30, 5.42146e-05
1991-12-31, 2.22933e-05
